"fiscal_year","system_code","location_code","location_name","beds_number","managed_by_name","location_type_description","location_category_description","grades_text","grades_final_text","open_date","status_descriptions","primary_building_code","primary_address_line_1","state_code","x_coordinate","y_coordinate","longitude","latitude","community_district","council_district","census_tract","borough_block_lot","nta","nta_name","principal_name","principal_title","principal_phone_number","fax_number","geographical_district_code","admin_district_location_code","administrative_district_name","community_school_sup_name","field_support_center_name","field_support_center_leader","school_support_team_name","school_support_team_leader","highschool_network_location","highschool_network_name","highschool_network","geocoded_column"
"2019","310200011544","M544","Independence High School","310200011544","DOE","Transfer School","High school","09,10,11,12","09,10,11,12","2003-07-01T00:00:00.000","Open","M834","850 10TH AVENUE","NY","987405","219025","40.767848","-73.98861","104","3","13900","1010650001","MN15","Clinton","RON SMOLKIN","Principal","212-262-8067","212-262-8110","2","HS10",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 2- Manhattan",,"HS10","HS Network 10 Superintendent Office","ROTONDO, PAUL","POINT (40.767848 -73.98861)"
"2019","331300861079","K766","The International Charter School of New York","331300861079","Charter","General Academic","Elementary","0K,01,02,03,04","0K,01,02,03,04,05","2015-07-01T00:00:00.000","Open","KCQF","55 Willoughby Street","NY","987892","191549","40.692434","-73.986867","302","33","1100","3001470044","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Ellen Borenstein","Principal",,,"13",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.692434 -73.986867)"
"2019","300000010607","R601","Region 7","300000010607","DOE","General Academic","Region-Division",,,"2003-05-01T00:00:00.000","Open","R080","715 OCEAN TERRACE","NY","954850","160673","40.607637","-74.105883","502","50","17700","5006830001","SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",,,"718-556-8350",,"31",,"ABSENCE TEACHER RESERVE",,,,,,,,,"POINT (40.607637000000004 -74.105883)"
"2019","332300861007","K395","New Visions A.I.M. Charter High School I","332300861007","Charter","Transfer School","High school","09,10,11,12","09,10,11,12","2012-07-01T00:00:00.000","Open","K894","1495 HERKIMER STREET","NY","1010838","186133","40.677528","-73.904143","316","37","36700","3015540016","BK79","Ocean Hill","Kristin Greer","Principal","718-280-9819","718-498-0604","23",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.677528 -73.904143)"
"2019","321000860999","X539","New Visions Charter High School for Advanced Math","321000860999","Charter","General Academic","High school","09,10,11,12,SE","09,10,11,12","2011-07-01T00:00:00.000","Open","X475","99 TERRACE VIEW AVENUE","NY","1008396","258943","40.877379","-73.912686","208","10","30900","1022150080","MN01","Marble Hill-Inwood","Robert Hiller","PRINCIPAL","718-817-7683","718-817-7638","10",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.877379 -73.912686)"
"2019","342500861133","Q385","Elm Community Charter School","342500861133","Charter","General Academic","Elementary","0K,01",,"2018-07-01T00:00:00.000","Open","QBKP","149-34 35 AVENUE","NY","1035155","218579","40.766487","-73.816232","407","20","115700","0","QN51","Murray Hill","Priscilla Walton","Principal","347-474-3288",,"25",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.766487 -73.816232)"
"2019","320700860957","X491","Academic Leadership Charter School","320700860957","Charter","General Academic","K-8","0K,01,02,03,04,05,06,07,08","0K,01,02,03,04,05","2009-07-01T00:00:00.000","Open","X065","677 EAST 141 STREET","NY","1008457","233635","40.807916","-73.912557","201","8","3300","2025710001","BX39","Mott Haven-Port Morris","Norma Hurwitz/Leena Varghese","PRINCIPAL","718-585-4215","718-585-4837","7",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.807916 -73.912557)"
"2019","310500861088","M357","Success Academy Charter School - Harlem 6","310500861088","Charter","General Academic","Elementary","0K,01,02,SE","0K,01,02,03,04","2017-04-26T00:00:00.000","Open","M389","461 WEST 131 STREET","NY","997202","236682","40.816158","-73.95357","109","9","21303","1019700042","MN06","Manhattanville","Emily Rezin","PRINCIPAL","929-394-1347","164-696-1473","5",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.816158 -73.95357)"
"2019","310200011531","M531","Repertory Company High School for Theatre Arts","310200011531","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","1996-06-05T00:00:00.000","Open","M896","123 WEST  43 STREET","NY","988577","214741","40.756089","-73.984381","105","4","11900","1009960021","MN17","Midtown-Midtown South","Michael Fram","Principal","212-382-1875","212-382-2306","2","HS04",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan",,"HS04","HS Network 04 Superintendent Office","ORLEN, VIVIAN","POINT (40.756089 -73.984381)"
"2019","310200011459","M459","Manhattan International High School","310200011459","DOE","General Academic","High school","09,10,11,12","09,10,11,12","1996-06-05T00:00:00.000","Open","M480","317 EAST  67 STREET","NY","995392","218222","40.765638","-73.959777","108","5","11800","1014420001","MN31","Lenox Hill-Roosevelt Island","Gladys Rodriguez","Principal","212-517-6728","212-517-7147","2","HS12",,,"Affinity Group",,"School Support Team 4- Affinity Group",,"HS12","H.S. Network 12 Superintendent Office","PELLES, KATHY","POINT (40.765638 -73.959777)"
"2019","300000010005","M269","Chief Of Staff","300000010005","DOE","Not Applicable","Central-HQ-Citywide",,,"2004-05-04T00:00:00.000","Open","M860","52 CHAMBERS STREET","NY","982563","199047","40.713014","-74.006085","101","1","3100","1001220001","MN24","SoHo-TriBeCa-Civic Center-Little Italy",,,,,"2",,"OFFICE OF CHANCELLOR",,,,,,,,,"POINT (40.713014 -74.006085)"
"2019","310300011479","M479","Beacon High School","310300011479","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","1996-06-05T00:00:00.000","Open","M912","522 WEST 44TH STREET","NY","985320","216595","40.760858","-73.996262","104","3","12900","1010720015","MN15","Clinton","RUTH LACEY","Principal","212-465-4230","212-465-4235","2","HS12",,,"Affinity Group",,"School Support Team 5- Affinity Group",,"HS12","H.S. Network 12 Superintendent Office","PELLES, KATHY","POINT (40.760858 -73.996262)"
"2019","310600010000","M806","District 6 Superintendent Office","310600010000","DOE","General Academic","Community School District",,,"1999-07-01T00:00:00.000","Open","M048","4360-78 BROADWAY","NY","1002611","250126","40.853193","-73.933629","112","10","27100","1021670029","MN35","Washington Heights North","RAMIREZ, MANUEL","CSD Superintendent Acting","917-521-3757",,"6",,"THE CHANCELLOR'S DISTRICT 85",,,,,,,,,"POINT (40.853193 -73.933629)"
"2019","310400010000","M804","District 4 Superintendent Office","310400010000","DOE","General Academic","Community School District",,,"1999-07-01T00:00:00.000","Open","M007","160 EAST 120 STREET","NY","1001035","230969","40.800616","-73.939374","111","8","19600","1017680021","MN34","East Harlem North","ESTRELLA, ALEXANDRA","CSD Superintendent","212-348-2873",,"4",,"THE CHANCELLOR'S DISTRICT 85",,,,,,,,,"POINT (40.800616 -73.939374)"
"2019","320800010093","X093","P.S. 093 Albert G. Oliver","320800010093","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1930-07-01T00:00:00.000","Open","X093","1535 STORY AVENUE","NY","1018217","238968","40.822522","-73.877274","209","17","2800","2036520001","BX09","Soundview-Castle Hill-Clason Point-Harding Park","Jonathan Kaplan","Principal","718-430-1700","718-430-1705","8","X808","COMMUNITY SCHOOL DISTRICT 08","TOBIA, ERIKA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 7- Bronx",,,,,"POINT (40.822522000000006 -73.87727400000001)"
"2019","310300010009","M009","P.S. 009 Sarah Anderson","310300010009","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1965-07-01T00:00:00.000","Open","M009","100 WEST  84 STREET","NY","991379","225360","40.785234","-73.974256","107","6","16900","1012140029","MN12","Upper West Side","Katherine Witzke","Principal","212-678-2812","212-873-4681","3","M803","COMMUNITY SCHOOL DISTRICT 03","ALTSCHUL, ILENE","Field Support Center - Manhattan","CHU, YUET","School Support Team 5- Manhattan",,,,,"POINT (40.785234 -73.974256)"
"2019","320700010065","X065","P.S. 065 Mother Hale Academy","320700010065","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1924-07-01T00:00:00.000","Open","X065","677 EAST 141 STREET","NY","1008457","233635","40.807916","-73.912557","201","8","3300","2025710001","BX39","Mott Haven-Port Morris","Jasmine Gonzalez","Principal","718-292-4628","718-292-4695","7","X807","COMMUNITY SCHOOL DISTRICT 07","ALVAREZ, RAFAEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 6- Bronx",,,,,"POINT (40.807916 -73.912557)"
"2019","321100861126","X606","Emblaze Academy Charter School","321100861126","Charter","General Academic","Elementary","5",,"2018-07-01T00:00:00.000","Open","XACP","1734 WILLIAMSBRIDGE ROAD","NY","1025545","249023","40.850089","-73.850735","211","13","28600","2041140001","BX37","Van Nest-Morris Park-Westchester Square","Kristen Shroff","PRINCIPAL",,,"11",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.850089 -73.850735)"
"2019","310600010098","M098","P.S. 098 Shorac Kappock","310600010098","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1924-07-01T00:00:00.000","Open","M098","512 WEST 212 STREET","NY","1006981","255430","40.867741","-73.917814","112","10","30300","1022290012","MN01","Marble Hill-Inwood","MARITZA RODRIGUEZ","Principal","212-927-7870","212-569-1827","6","M806","COMMUNITY SCHOOL DISTRICT 06","RAMIREZ, MANUEL","Field Support Center - Manhattan","CHU, YUET","School Support Team 7- Manhattan",,,,,"POINT (40.867741 -73.917814)"
"2019","310200010276","M276","Battery Park City School","310200010276","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","2009-07-01T00:00:00.000","Open","M276","55 BATTERY PLACE","NY","979410","196632","40.706384","-74.017456","101","1","31704","1000160040","MN25","Battery Park City-Lower Manhattan","Theresa Ruyter","Principal","212-266-5800",,"2","M802","COMMUNITY SCHOOL DISTRICT 02","CHUMNEY, DONALDA","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan",,,,,"POINT (40.706384 -74.017456)"
"2019","320900011329","X329","DreamYard Preparatory School","320900011329","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2006-07-01T00:00:00.000","Open","X410","240 EAST 172 STREET","NY","1008775","245072","40.839307","-73.911366","204","16","22500","2028170002","BX14","East Concourse-Concourse Village","Alicia Wargo","Principal","718-410-4242","718-410-4312","9","HS09",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 2- Bronx",,"HS09","HS Network 09 Superintendent Office","ALCOFF, MICHAEL","POINT (40.839307 -73.911366)"
"2019","310300010245","M245","M.S. M245 The Computer School","310300010245","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1999-07-01T00:00:00.000","Open","M044","100 WEST  77 STREET","NY","990453","223648","40.780536","-73.977602","107","6","16100","1011480014","MN12","Upper West Side","HENRY ZYMECK","Principal","917-441-0873","212-678-5908","3","M803","COMMUNITY SCHOOL DISTRICT 03","ALTSCHUL, ILENE","Field Support Center - Manhattan","CHU, YUET","School Support Team 5- Manhattan",,,,,"POINT (40.780536 -73.977602)"
"2019","310200010347","M347","The 47 American Sign Language & English Lower Scho","310200010347","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","2005-07-01T00:00:00.000","Open","M047","223 EAST 23 STREET","NY","989424","208287","40.738374","-73.981329","106","2","6400","1009040024","MN21","Gramercy","DAVID BOWELL","Principal","917-326-6609",,"2","M802","COMMUNITY SCHOOL DISTRICT 02","CHUMNEY, DONALDA","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan",,,,,"POINT (40.738374 -73.981329)"
"2019","320800010119","X119","The Dr. Emmett W. Bassett School","320800010119","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1939-07-01T00:00:00.000","Open","X119","1075 PUGSLEY AVENUE","NY","1023716","241145","40.828474","-73.857392","209","18","4001","2037890021","BX55","Soundview-Bruckner","Michele Montana","Principal","718-822-5198","718-239-3112","8","X808","COMMUNITY SCHOOL DISTRICT 08","TOBIA, ERIKA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 7- Bronx",,,,,"POINT (40.828474 -73.857392)"
"2019","310500010514","M514","New Design Middle School","310500010514","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2011-07-01T00:00:00.000","Open","M195","625 WEST 133 STREET","NY","996203","237953","40.819793","-73.956814","109","7","22302","1020010005","MN06","Manhattanville","Marcellus Stovall","Principal","212-281-6339","212-281-6674","5","M805","COMMUNITY SCHOOL DISTRICT 05","RUX, DANIKA","Field Support Center - Manhattan","CHU, YUET","School Support Team 6- Manhattan",,,,,"POINT (40.819793 -73.956814)"
"2019","310200011408","M408","Professional Performing Arts High School","310200011408","DOE","General Academic","Secondary School","06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12","1996-06-05T00:00:00.000","Open","M017","328 WEST  48 STREET","NY","987390","216649","40.761327","-73.988665","104","3","12700","1010380014","MN15","Clinton","KEITH RYAN","Principal","212-247-8652","212-247-7514","2","HS04",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 2- Manhattan",,"HS04","HS Network 04 Superintendent Office","ORLEN, VIVIAN","POINT (40.761327 -73.988665)"
"2019","320800011559","X559","School for Tourism and Hospitality","320800011559","DOE","Career Technical","High school","09,10,11,12,SE","09,10,11,12","2012-07-01T00:00:00.000","Open","X650","900 TINTON AVENUE","NY","1011127","238668","40.821723","-73.902892","203","17","13300","2026680001","BX35","Morrisania-Melrose","Avis Terrell","I.A. Principal","718-401-4214","718-401-4219","8","HS02",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 2- Bronx",,"HS02","HS Network 02 Superintendent Office","STAPLE, CARRON","POINT (40.821723 -73.902892)"
"2019","342700010000","Q827","District 27 Superintendent Office","342700010000","DOE","General Academic","Community School District",,,"1999-07-01T00:00:00.000","Open","Q823","82-01 ROCKAWAY BOULEVARD","NY","1023579","188700","40.684527","-73.858194","409","32","3400","4090110014","QN53","Woodhaven","AMBERT, JENNIFER","CSD Superintendent Acting","718-642-5770",,"27",,"THE CHANCELLOR'S DISTRICT 85",,,,,,,,,"POINT (40.684527 -73.858194)"
"2019","320700011381","X381","Bronx Haven High School","320700011381","DOE","Transfer School","High school","09,10,11,12,SE","09,10,11,12","2008-07-01T00:00:00.000","Open","X600","333 EAST 151 STREET","NY","1006407","237542","40.818645","-73.919949","201","17","6700","2024110022","BX34","Melrose South-Mott Haven North","Jazmin Rivera-Polanco","Principal","718-292-3638","718-292-6065","7","HS10",,,"Affinity Group",,"School Support Team 2- Affinity Group",,"HS10","HS Network 10 Superintendent Office","ROTONDO, PAUL","POINT (40.818645 -73.919949)"
"2019","320700011522","X522","Bronx Design and Construction Academy","320700011522","DOE","Career Technical","High school","09,10,11,12,SE","09,10,11,12","2011-07-01T00:00:00.000","Open","X600","333 EAST 151 STREET","NY","1006407","237542","40.818645","-73.919949","201","17","6700","2024110022","BX34","Melrose South-Mott Haven North","JOYCE PULPHUS","Principal","718-402-7690","718-402-4216","7","HS09",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 1- Bronx",,"HS09","HS Network 09 Superintendent Office","ALCOFF, MICHAEL","POINT (40.818645 -73.919949)"
"2019","310200011308","M308","Lower Manhattan Arts Academy","310200011308","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2005-07-01T00:00:00.000","Open","M445","350 GRAND STREET","NY","987208","200619","40.717329","-73.989329","103","1","1800","1004080030","MN27","Chinatown","Luke Janka","I.A. Principal","212-505-0143","212-674-8021","2","HS04",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan",,"HS04","HS Network 04 Superintendent Office","ORLEN, VIVIAN","POINT (40.717329 -73.989329)"
"2019","320700861114","X585","Legacy College Preparatory","320700861114","Charter","General Academic","Secondary School","06,07","06,07,08,09,10","2017-04-26T00:00:00.000","Open","XATI","416 WILLIS AVENUE","NY","1006401","235510","40.813077","-73.919979","201","8","4300","0","BX39","Mott Haven-Port Morris","Summer Schneider","PRINCIPAL",,,"7",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.81307700000001 -73.919979)"
"2019","320700860926","X395","NYC Charter High School for Architecture, Engineer","320700860926","Charter","General Academic","High school","09,10,11,12","09,10,11,12","2008-07-01T00:00:00.000","Open","XAEU","838 BROOK AVENUE","NY","1009043","238651","40.821682","-73.910421","201","17","7100","2023600080","BX34","Melrose South-Mott Haven North","Colin Healy","Principal","646-400-5566","718-585-4780","7",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.821682 -73.910421)"
"2019","320700010001","X001","P.S. 001 Courtlandt School","320700010001","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1961-07-01T00:00:00.000","Open","X001","335 EAST 152 STREET","NY","1006494","237792","40.819331","-73.919634","201","17","6700","2024110119","BX34","Melrose South-Mott Haven North","JORGE PERDOMO","Principal","718-299-3700","718-292-2227","7","X807","COMMUNITY SCHOOL DISTRICT 07","ALVAREZ, RAFAEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 6- Bronx",,,,,"POINT (40.819331 -73.919634)"
"2019","320900860980","X494","Success Academy Charter School - Bronx 2","320900860980","Charter","General Academic","K-8","0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","2010-06-01T00:00:00.000","Open","X055","450 SAINT PAUL'S PLACE","NY","1010546","243845","40.835934","-73.90497","203","16","14702","2029020001","BX01","Claremont-Bathgate","Vanessa Bangser","Principal","347-286-7966","347-479-1194","9",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.835934 -73.90497)"
"2019","310200011420","M420","High School for Health Professions and Human Servi","310200011420","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","1996-06-05T00:00:00.000","Open","M475","345 EAST  15TH STREET","NY","989075","206207","40.732665","-73.98259","106","2","4800","1009220008","MN21","Gramercy","ROBERT GENTILE","Principal","212-780-9175","212-979-7261","2","HS04",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan",,"HS04","HS Network 04 Superintendent Office","ORLEN, VIVIAN","POINT (40.732665 -73.98259)"
"2019","310600010314","M314","Muscota","310600010314","DOE","General Academic","Elementary","0K,01,02,03,04,05","0K,01,02,03,04,05","2004-03-26T00:00:00.000","Open","M176","4862 BROADWAY","NY","1005321","254933","40.866381","-73.923818","112","10","29100","1022340007","MN01","Marble Hill-Inwood","Camille Wallin","Principal","212-544-0614","212-544-2678","6","M806","COMMUNITY SCHOOL DISTRICT 06","RAMIREZ, MANUEL","Field Support Center - Manhattan","CHU, YUET","School Support Team 7- Manhattan",,,,,"POINT (40.866381 -73.923818)"
"2019","310500860886","M341","Harlem Children's Zone Promise Academy II Charter","310500860886","Charter","General Academic","K-12 all grades","0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08,09,10,11,12","2005-07-01T00:00:00.000","Open","M501","2005 MADISON AVENUE","NY","1001216","233302","40.807019","-73.938714","111","9","20600","1017520022","MN03","Central Harlem North-Polo Grounds","Achil Petit/Anne Williams-Isom","Executive Director","212-360-3236","212-281-0804","5",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.807019 -73.938714)"
"2019","310300011860","M860","Frederick Douglass Academy II Secondary School","310300011860","DOE","General Academic","Secondary School","06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12","2001-07-01T00:00:00.000","Open","M088","215 WEST 114 STREET","NY","996943","231693","40.80261","-73.954152","110","9","21800","1018300019","MN11","Central Harlem South","OSEI OWUSU AFRIYIE","Principal","212-865-9260","212-865-9281","3","HS07",,,"Affinity Group",,"School Support Team 3- Affinity Group",,"HS07","HS Network 07 Superintendent Office","CINTRON, RICHARD","POINT (40.80261 -73.954152)"
"2019","310600010028","M028","P.S. 028 Wright Brothers","310600010028","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1960-07-01T00:00:00.000","Open","M028","475 WEST 155 STREET","NY","1000294","242268","40.83163","-73.942023","112","7","23900","1021070026","MN36","Washington Heights South","LUIS FERNANDEZ","I.A. Principal","212-690-3014","212-368-5978","6","M806","COMMUNITY SCHOOL DISTRICT 06","RAMIREZ, MANUEL","Field Support Center - Manhattan","CHU, YUET","School Support Team 7- Manhattan",,,,,"POINT (40.83163 -73.942023)"
"2019","321000011141","X141","Riverdale / Kingsbridge Academy (Middle School / H","321000011141","DOE","General Academic","Secondary School","06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12","1957-07-01T00:00:00.000","Open","X141","660 WEST 237 STREET","NY","1007990","262596","40.887407","-73.914141","208","11","30900","2059180376","BX22","North Riverdale-Fieldston-Riverdale","LORI OMARA","Principal","718-796-8516","718-796-8657","10","X810","COMMUNITY SCHOOL DISTRICT 10","HULLA, MARIBEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 4- Bronx",,,,,"POINT (40.887407 -73.91414100000001)"
"2019","321100861126","X606","Emblaze Academy Charter School","321100861126","Charter","General Academic","Elementary","5",,"2018-07-01T00:00:00.000","Open","XACP","1734 WILLIAMSBRIDGE ROAD","NY","1025545","249023","40.850089","-73.850735","211","13","28600","2041140001","BX37","Van Nest-Morris Park-Westchester Square","Kristen Shroff","PRINCIPAL",,,"11",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.850089 -73.850735)"
"2019","320900011250","X250","Eximius College Preparatory Academy: A College Boa","320900011250","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2005-07-01T00:00:00.000","Open","X002","1363 FULTON AVENUE","NY","1011149","243099","40.833884","-73.902794","203","16","14701","2029250056","BX01","Claremont-Bathgate","Jonathan Daly","Principal","718-992-7154","718-590-1081","9","HS09",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 2- Bronx",,"HS09","HS Network 09 Superintendent Office","ALCOFF, MICHAEL","POINT (40.833884 -73.902794)"
"2019","310300010166","M166","P.S. 166 The Richard Rodgers School of The Arts an","310300010166","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1898-07-01 00:00:00.000","Open","M166","132 WEST  89 STREET","NY","991849","226705","40.788925","-73.972557","107","6","17300","1012190047","MN12","Upper West Side","Debra Mastriano","Principal","212-678-2829","212-579-4542","3","M803","COMMUNITY SCHOOL DISTRICT 03","ALTSCHUL, ILENE","Field Support Center - Manhattan","CHU, YUET","School Support Team 5- Manhattan",,,,,"POINT (40.788925 -73.972557)"
