"bin","housenumber","streetname","borough","cbno","job_number","workpermitnumber","ahv_permit_number","ahvpermitstatus","variancetype","reasonforvariance","variance_start_date_time","variance_end_date_time","residence_200ft","enclosed_work","demolition","crane_use","latitude","longitude","community_board","council_district","census_tract","bbl","nta"
"1001004","60","WALL STREET","MANHATTAN","101","M00263807-I1","M00263807-I1-MS","M3979340","AHV Permit Rejected","Initial","Public Safety","2020-01-10T18:00:00.000","2020-01-10T23:00:00.000","true","false","false","false","40.705914","-74.008609","1","1","7","1000400003","Battery Park City-Lower Manhattan"
"3002558","210","JORALEMON STREET","BROOKLYN","302",,"B00641149-I1-GC","B8958219","AHV Permit Issued","Initial","City Construction Project","2022-05-19T18:00:00.000","2022-05-20T02:30:00.000","false","true","false","false","40.692459","-73.990491","2","33","9","3002667501","Brooklyn Heights-Cobble Hill"
"1015862","350","FIFTH AVENUE","MANHATTAN","105",,"M00583176-I1-GC","M8314166","AHV Permit Issued","Initial","Public Safety","2021-12-03T18:00:00.000","2021-12-04T02:00:00.000","true","true","true","false","40.748276","-73.98469","5","4","76","1008350041","Midtown-Midtown South"
"3144839","6738","6 AVENUE","BROOKLYN","310",,"B00527200-I1-GC","B8043945","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2021-12-05T08:00:00.000","2021-12-05T17:00:00.000","true","true","false","false","40.633508","-74.018054","10","43","126","3058560126","Bay Ridge"
"2128937","4215","PARK AVENUE","BRONX","206",,"X00348080-I1-MS, 240273057-01-EW-OT","X6592969","AHV Permit Issued","Renewal","Emergency Work","2020-10-25T07:00:00.000","2020-10-25T19:00:00.000","true","false","false","false","40.847864","-73.899225","6","15","379","2030277501","Mount Hope"
"1046252","510","EAST   62 STREET","MANHATTAN","108",,"M00559123-I1-GC","M7844701","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-03-14T19:00:00.000","2022-03-15T03:30:00.000","true","true","true","false","40.760459","-73.958196","8","5","10602","1014740040","Lenox Hill-Roosevelt Island"
"1034520","660","5 AVENUE","MANHATTAN","105",,"M00617111-I1-GC","M5863656","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-03-26T09:00:00.000","2022-03-26T17:00:00.000","true","true","true","false","40.759995","-73.976147","5","4","104","1012687502","Midtown-Midtown South"
"1035071","9","WEST   57 STREET","MANHATTAN","105",,"M00675432-I1-GC","M5839504","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-06-04T06:00:00.000","2022-06-04T18:00:00.000","true","true","false","false","40.763255","-73.974633","5","4","11201","1012730022","Midtown-Midtown South"
"3395285","250","CLASSON AVENUE","BROOKLYN","302",,"B00672141-I1-SH, B00672129-I1-FN","B2794222","AHV Permit Issued","Renewal","City Construction Project","2022-06-01T18:00:00.000","2022-06-02T02:00:00.000","true","false","false","false","40.691772","-73.960608","2","35","193","3019230001","Clinton Hill"
"1015420","122","5 AVENUE","MANHATTAN","105",,"M00536134-I1-GC","M5450694","AHV Permit Issued","Initial","Public Safety","2022-02-15T18:00:00.000","2022-02-15T22:00:00.000","true","false","false","false","40.73817","-73.992054","5","3","54","1008190039","Hudson Yards-Chelsea-Flatiron-Union Square"
"1038577","919","THIRD AVENUE","MANHATTAN","106",,"M00449857-I1-GC, M00449624-I1-MS, M00449913-I1-ST","M9703872","AHV Permit Issued","Initial","Public Safety","2022-03-28T18:00:00.000","2022-03-29T02:00:00.000","true","true","false","false","40.759136","-73.968333","6","4","108","1013290001","Turtle Bay-East Midtown"
"1035365","529","FIFTH AVENUE","MANHATTAN","105",,"M00603573-I1-GC","M5689363","AHV Permit Issued","Initial","Public Safety","2022-02-16T18:00:00.000","2022-02-17T02:00:00.000","false","false","false","false","40.754467","-73.979455","5","4","94","1012780069","Midtown-Midtown South"
"1000824","25","BROAD STREET","MANHATTAN","101","M00070662-I1","M00070662-I1-SH","M9735564","AHV Permit Issued","Renewal","Public Safety","2018-11-22T18:00:00.000","2018-11-23T06:00:00.000","true","false","false","false","40.706114","-74.01126","1","1","9","1000257502","Battery Park City-Lower Manhattan"
"3000428","141","LIVINGSTON STREET","BROOKLYN","302",,"B00235301-I1-EW-SP","B4485320","AHV Permit Issued","Initial","Public Safety","2020-08-19T18:00:00.000","2020-08-20T05:00:00.000","true","true","false","false","40.690647","-73.988346","2","33","37","3001540028","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"3019597","180","SIXTH AVENUE","BROOKLYN","306",,"B00584062-S3-MS","B5348975","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-04-20T18:00:00.000","2022-04-21T00:00:00.000","true","true","false","false","40.67634","-73.977367","6","39","131","3009500024","Park Slope-Gowanus"
"3048072","1545","ATLANTIC AVENUE","BROOKLYN","303",,"B00511316-I1-GC","B9014180","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-03-16T18:00:00.000","2022-03-17T06:00:00.000","false","true","false","false","40.677788","-73.937041","3","36","271","3017050001","Crown Heights North"
"1036185","230","PARK AVENUE","MANHATTAN","105",,"M00465131-I1-GC","M2593003","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-08-10T18:00:00.000","2021-08-11T02:00:00.000","true","true","true","false","40.754508","-73.975951","5","4","92","1013000001","Turtle Bay-East Midtown"
"3150090","1030","77 STREET","BROOKLYN","310",,"B00633900-I1-GC","B8920966","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-02-26T09:00:00.000","2022-02-26T17:00:00.000","true","true","false","false","40.62264","-74.014442","10","43","204","3059650021","Dyker Heights"
"3428897","87","COMMERCIAL STREET","BROOKLYN",,,,"B6866034","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-02-08T18:01:00.000","2022-02-08T23:59:00.000","true","false","false","true","40.737498","-73.956334","1","33","563","3024720410","Greenpoint"
"1018107","151","EAST 25 STREET","MANHATTAN","106","M00254096-I1","M00254096-I1-SF","M5324983","AHV Permit Rejected","Initial","Public Safety","2020-02-27T19:00:00.000","2020-02-28T07:00:00.000","true","false","false","false","40.740514","-73.98313","6","2","68","1008810031","Gramercy"
"1071457","399","PARK AVENUE","MANHATTAN","105",,"M00558619-I1-GC","M2642020","AHV Permit Issued","Initial","Public Safety","2022-05-24T18:00:00.000","2022-05-25T07:00:00.000","true","true","false","false","40.759541","-73.972245","5","4","100","1013087502","Turtle Bay-East Midtown"
"1035778","590","MADISON AVENUE","MANHATTAN","105",,"M00447796-I1-GC","M6157133","AHV Permit Issued","Initial","Public Safety","2021-02-23T18:00:00.000","2021-02-24T02:00:00.000","true","true","true","false","40.762146","-73.972479","5","4","11202","1012920015","Midtown-Midtown South"
"1076262","30","ROCKEFELLER PLAZA","MANHATTAN","105",,"M00593743-I1-GC","M1996688","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-06-28T18:00:00.000","2022-06-29T06:00:00.000","false","true","true","false","40.758754","-73.978692","5","4","104","1012657501","Midtown-Midtown South"
"1035336","50","EAST   42 STREET","MANHATTAN","105",,"M00647254-I1-SH","M2983812","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-12-24T00:00:00.000","2021-12-24T07:00:00.000","true","false","false","false","40.752702","-73.97907","5","4","82","1012760051","Murray Hill-Kips Bay"
"1085695","562","FIRST AVENUE","MANHATTAN","106",,"M00464123-I1-GC","M5049494","AHV Permit Issued","Initial","Public Safety","2022-01-13T18:00:00.000","2022-01-14T03:00:00.000","false","true","true","false","40.742562","-73.974399","6","4","62","1009627501","Murray Hill-Kips Bay"
"1015420","122","5 AVENUE","MANHATTAN","105",,"M00536134-I1-GC","M2852871","AHV Permit Rejected","Initial","Public Safety","2022-03-19T06:00:00.000","2022-03-19T17:00:00.000","true","false","false","false","40.73817","-73.992054","5","3","54","1008190039","Hudson Yards-Chelsea-Flatiron-Union Square"
"2015241","2780","RESERVOIR AVENUE","BRONX","207",,"X00529287-I1-SF","X7238864","AHV Permit Issued","Initial","City Construction Project","2021-08-11T18:00:00.000","2021-08-11T23:00:00.000","false","false","false","false","40.870293","-73.898309","7","11","409","2032470070","Van Cortlandt Village"
"1001004","60","WALL STREET","MANHATTAN","101",,"M00594136-I1-GC","M9571990","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-12-12T09:00:00.000","2021-12-12T18:00:00.000","true","true","true","false","40.705914","-74.008609","1","1","7","1000400003","Battery Park City-Lower Manhattan"
"1090825","10","VANDERBILT AVENUE","MANHATTAN","105",,"M00327506-I1-ST, 123777706-01-EW-OT, 123777706-02-EW-MH","M9541993","AHV Permit Issued","Renewal","Public Safety","2020-11-21T07:00:00.000","2020-11-21T18:00:00.000","true","true","false","false","40.752732","-73.978138","5","4","94","1012770027","Midtown-Midtown South"
"4448916","109-55","128 STREET","QUEENS","410",,"Q00544184-I1-GC","Q4106967","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-08-22T09:00:00.000","2021-08-22T17:00:00.000","true","false","false","false","40.683803","-73.813927","10","28","170","4116090021","South Ozone Park"
"3428601","595","DEAN STREET","BROOKLYN",,,,"B3118436","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-08-28T07:00:00.000","2021-08-28T15:00:00.000","true","false","false","true","40.680653","-73.970133","8","35","163","3011290050","Prospect Heights"
"1000005","1","NEW YORK PLAZA","MANHATTAN","101",,"M00517574-I1-GC, M00517742-I1-MS","M2357873","AHV Permit Issued","Initial","Public Safety","2021-08-28T06:00:00.000","2021-08-28T18:00:00.000","true","true","false","false","40.70254","-74.012562","1","1","9","1000047501","Battery Park City-Lower Manhattan"
"1015240","1359","BROADWAY","MANHATTAN","105",,"M00552434-I1-GC","M8765774","AHV Permit Issued","Initial","Public Safety","2021-08-10T18:00:00.000","2021-08-11T02:00:00.000","true","true","true","false","40.751704","-73.987599","5","3","109","1008120022","Midtown-Midtown South"
"1088910","11","MADISON AVENUE","MANHATTAN","105",,"M00622377-I1-GC, M00624569-I1-MS, M00624740-I1-ST","M1672539","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-04-01T06:00:00.000","2022-04-01T07:00:00.000","true","true","false","false","40.741617","-73.987449","5","2","56","1008547501","Hudson Yards-Chelsea-Flatiron-Union Square"
"1036082","767","FIFTH AVENUE","MANHATTAN","105",,"M00543147-I1-GC","M4461663","AHV Permit Issued","Initial","Public Safety","2021-10-01T18:00:00.000","2021-10-01T23:30:00.000","true","true","true","false","40.76402","-73.973189","5","4","11202","1012940001","Midtown-Midtown South"
"1080257","809","WASHINGTON STREET","MANHATTAN","102",,"M00490307-I1-MS","M8909767","AHV Permit Issued","Initial","Public Safety","2021-09-15T18:00:00.000","2021-09-16T06:59:00.000","true","true","false","false","40.739159","-74.008058","2","3","79","1006430043","West Village"
"1076176","125","WEST   55 STREET","MANHATTAN","105",,"M00546730-I1-GC","M4531581","AHV Permit Issued","Initial","Public Safety","2021-09-25T07:00:00.000","2021-09-25T17:00:00.000","true","true","true","false","40.763514","-73.979276","5","4","137","1010080019","Midtown-Midtown South"
"1035462","455","MADISON AVENUE","MANHATTAN","105",,"M00631057-I1-SH","M3664166","AHV Permit Issued","Initial","Public Safety","2022-01-24T18:00:00.000","2022-01-24T23:59:00.000","true","false","false","false","40.758114","-73.975393","5","4","102","1012860021","Midtown-Midtown South"
"1086515","462","1 AVENUE","MANHATTAN","106",,"M00610202-I1-GC","M7746095","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2021-12-12T07:00:00.000","2021-12-13T06:59:00.000","false","true","false","false","40.739497","-73.976624","6","4","62","1009620100","Murray Hill-Kips Bay"
"4003539","31-00","47 AVENUE","QUEENS","402","Q00306755-I1","Q00306755-I1-EW-SP","Q9952345","AHV Permit Rejected","Initial","Construction activities with minimal noise impact","2020-06-26T18:00:00.000","2020-06-27T00:00:00.000","false","true","false","false","40.74306","-73.935652","2","26","199","4002810001","Hunters Point-Sunnyside-West Maspeth"
"1085972","300","MADISON AVENUE","MANHATTAN","105",,"M00623430-I1-GC","M2625344","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-01-13T18:00:00.000","2022-01-14T01:00:00.000","false","true","true","false","40.752236","-73.979712","5","4","82","1012760058","Murray Hill-Kips Bay"
"1813346","1","MANHATTAN PLAZA","MANHATTAN","118",,"M00621016-I1-GC","M2346136","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-11-08T00:00:00.000","2021-11-08T07:00:00.000","false","false","false","false",,,,,,,
"1000005","1","NEW YORK PLAZA","MANHATTAN","101",,"M00503824-I1-GC, M00504195-I1-MS","M2533100","AHV Permit Issued","Renewal","Public Safety","2022-01-10T18:00:00.000","2022-01-11T02:00:00.000","true","true","false","false","40.70254","-74.012562","1","1","9","1000047501","Battery Park City-Lower Manhattan"
"1034855","1370","AVENUE OF THE AMERICAS","MANHATTAN","105",,"M00703213-I1-GC","M1365453","AHV Permit Issued","Initial","Public Safety","2022-04-29T18:00:00.000","2022-04-30T02:00:00.000","true","true","true","false","40.763363","-73.977373","5","4","104","1012710071","Midtown-Midtown South"
"1036185","230","PARK AVENUE","MANHATTAN","105",,"M00465131-I1-GC","M7567513","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-04-13T18:00:00.000","2021-04-14T02:00:00.000","true","true","true","false","40.754508","-73.975951","5","4","92","1013000001","Turtle Bay-East Midtown"
"1035732","390","PARK AVENUE","MANHATTAN","105",,"M00559636-I1-GC, M00563273-I1-MS, M00563194-I1-ST, M00562889-I1-MS, M00562858-I1-GC","M7604546","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-04-19T18:00:00.000","2022-04-20T06:59:00.000","false","true","true","false","40.75942","-73.972361","5","4","102","1012890036","Midtown-Midtown South"
"4462119","135-05","20 AVENUE","QUEENS","407",,"Q00511160-I1-GC","Q7039787","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2021-09-28T23:00:00.000","2021-09-29T07:00:00.000","false","true","false","false","40.781665","-73.833647","7","19","945","4041430001","Whitestone"
"1035737","685","5 AVENUE","MANHATTAN",,,,"M8804703","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-01-29T00:01:00.000","2021-01-29T06:00:00.000","true","false","false","true","40.76082","-73.975093","5","4","102","1012897501","Midtown-Midtown South"
"1000021","1","BATTERY PARK PLAZA","MANHATTAN","101",,"M00721405-I1-GC","M3260433","AHV Permit Issued","Initial","Public Safety","2022-05-24T18:00:00.000","2022-05-25T02:00:00.000","true","true","false","false","40.703218","-74.014412","1","1","9","1000090029","Battery Park City-Lower Manhattan"
"3186454","2630","BENSON AVENUE","BROOKLYN","313",,"B00590775-I1-SF","B8547309","AHV Permit Issued","Initial","Public Safety","2022-04-14T18:00:00.000","2022-04-15T00:00:00.000","false","false","false","false","40.594291","-73.98577","13","47","306","3068830001","Gravesend"
"1077286","1","ROCKEFELLER PLAZA","MANHATTAN","105",,"M00620323-I1-GC","M7303144","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-02-04T18:00:00.000","2022-02-05T02:00:00.000","false","true","true","false","40.757904","-73.979288","5","4","96","1012640005","Midtown-Midtown South"
"2092114","1460","WASHINGTON AVENUE","BRONX","203",,"X00450942-I1-SF, X00217251-I1-SH, X00217246-I1-FN","X9402051","AHV Permit Issued","Initial","Public Safety","2021-11-18T18:00:00.000","2021-11-18T23:59:00.000","true","false","false","false","40.836757","-73.903824","3","16","14702","2029110001","Claremont-Bathgate"
"5088090","528","ACADEMY AVENUE","STATEN ISLAND","503","S00292504-I1","S00292504-I1-SF","S7422517","AHV Permit Rejected","Initial","Public Safety","2020-03-17T18:00:00.000","2020-03-17T22:00:00.000","true","false","false","false","40.508284","-74.243428","3","51","24401","5078940001","Charleston-Richmond Valley-Tottenville"
"1003041","13","CROSBY STREET","MANHATTAN","102",,"M00520612-I1-GC","M4933199","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-06-13T18:00:00.000","2022-06-14T06:00:00.000","true","true","false","false","40.720017","-74.000209","2","1","45","1002330004","SoHo-TriBeCa-Civic Center-Little Italy"
"1007946","600","BROADWAY","MANHATTAN","102",,"M00486285-I1-GC","M6390777","AHV Permit Issued","Renewal","Public Safety","2021-12-06T18:00:00.000","2021-12-06T23:00:00.000","true","true","false","false","40.725089","-73.997049","2","1","43","1005110016","SoHo-TriBeCa-Civic Center-Little Italy"
"1048263","181","EAST   90 STREET","MANHATTAN","108",,"M00508953-I1-GC","M6881938","AHV Permit Issued","Initial","Public Safety","2021-07-30T18:00:00.000","2021-07-31T02:00:00.000","true","true","true","false","40.781635","-73.95269","8","5","14802","1015197501","Upper East Side-Carnegie Hill"
"1034194","476","5 AVENUE","MANHATTAN","105",,"M00461214-I1-MS","M8462500","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-04-19T18:00:00.000","2022-04-20T06:00:00.000","true","true","true","false","40.752725","-73.981452","5","4","84","1012570001","Midtown-Midtown South"
"3811206","625","DRIGGS AVENUE","BROOKLYN","301",,"B00455627-I1-GC, B00455633-I1-MS","B2451118","AHV Permit Issued","Initial","Public Safety","2021-11-11T18:00:00.000","2021-11-11T22:00:00.000","true","true","false","false","40.715286","-73.958303","1","34","519","3023530006","North Side-South Side"
"1001068","1","LIBERTY PLAZA","MANHATTAN","101",,"M00653907-I1-GC","M5079131","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-02-18T18:00:00.000","2022-02-19T03:00:00.000","false","false","true","false","40.70943","-74.011102","1","1","13","1000627501","Battery Park City-Lower Manhattan"
"1013552","315","WEST   33 STREET","MANHATTAN","104",,"M00576735-I1-GC, M00576818-I1-MS","M3326062","AHV Permit Rejected","Initial","Public Safety","2022-03-11T18:00:00.000","2022-03-12T06:59:00.000","true","true","false","false","40.751831","-73.994651","4","3","103","1007570022","Hudson Yards-Chelsea-Flatiron-Union Square"
"5000291","80","MONROE AVENUE","STATEN ISLAND","501",,"S00611620-I1-FN","S5822963","AHV Permit Issued","Renewal","City Construction Project","2022-06-25T07:00:00.000","2022-06-25T21:00:00.000","true","false","true","false","40.6397","-74.079141","1","49","11","5000180015","West New Brighton-New Brighton-St. George"
"1034195","1100","AVENUE OF THE AMERICAS","MANHATTAN","105",,"M00437113-I1-MS","M4132576","AHV Permit Rejected","Initial","Construction activities with minimal noise impact","2022-05-14T07:00:00.000","2022-05-14T16:00:00.000","false","true","false","false","40.754937","-73.984036","5","4","96","1012580001","Midtown-Midtown South"
"1024686","3","TIMES SQUARE","MANHATTAN","105",,"M00563618-I1-GC, M00563624-I1-MS","M7438701","AHV Permit Issued","Initial","Public Safety","2021-10-21T18:00:00.000","2021-10-22T02:00:00.000","false","true","false","false","40.756376","-73.986713","5","3","119","1010140033","Midtown-Midtown South"
"1036467","599","LEXINGTON AVENUE","MANHATTAN","106",,"M00339361-I1-MS","M3131561","AHV Permit Issued","Initial","Public Safety","2021-07-06T18:00:00.000","2021-07-07T02:00:00.000","true","true","false","false","40.758275","-73.971055","6","4","100","1013070023","Turtle Bay-East Midtown"
"3257037","38","FLEET WALK","BROOKLYN","302",,"B00325449-I1-SH, B00330235-I1-FN, B00352341-I1-SF","B8375549","AHV Permit Rejected","Initial","Public Safety","2020-10-16T18:00:00.000","2020-10-16T23:59:00.000","true","false","false","false","40.69469","-73.981735","2","35","15","3020500001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"1001415","255","GREENWICH STREET","MANHATTAN","101","M00212702-I1","M00212702-I1-PL","M1903027","AHV Permit Issued","Initial","Public Safety","2019-11-23T08:00:00.000","2019-11-23T17:00:00.000","true","true","false","false","40.71445","-74.011475","1","1","21","1001270018","SoHo-TriBeCa-Civic Center-Little Italy"
"4098778","14-45","143 STREET","QUEENS","407",,"Q00583947-I1-GC","Q3104108","AHV Permit Issued","Renewal","Public Safety","2022-02-15T18:00:00.000","2022-02-15T23:59:00.000","true","false","false","false","40.785787","-73.826154","7","19","945","4041110088","Whitestone"
"1076177","156","WEST   56 STREET","MANHATTAN","105",,"M00537269-I1-GC","M4578035","AHV Permit Rejected","Initial","Construction activities with minimal noise impact","2021-07-22T18:00:00.000","2021-07-22T23:59:00.000","true","false","false","false","40.764538","-73.979813","5","4","137","1010087503","Midtown-Midtown South"
"1015500","160","5 AVENUE","MANHATTAN","105",,"M00497784-I1-GC","M2013720","AHV Permit Rejected","Initial","Public Safety","2021-05-07T18:00:00.000","2021-05-07T20:00:00.000","true","false","false","false","40.740177","-73.990589","5","3","54","1008227507","Hudson Yards-Chelsea-Flatiron-Union Square"
"1010362","315","HUDSON STREET","MANHATTAN","102",,"M00609927-I1-GC, M00609930-I1-MS","M4687990","AHV Permit Issued","Initial","Public Safety","2022-03-02T18:00:00.000","2022-03-03T02:00:00.000","true","true","false","false","40.72631","-74.00749","2","3","37","1005970012","SoHo-TriBeCa-Civic Center-Little Italy"
"1000863","77","WATER STREET","MANHATTAN","101",,"M00507812-I1-GC","M8883263","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-07-30T18:00:00.000","2021-07-31T00:00:00.000","true","true","false","false","40.704275","-74.008681","1","1","7","1000330001","Battery Park City-Lower Manhattan"
"1035421","270","PARK AVENUE","MANHATTAN","105","M00091254-I1","M00091254-I1-SH","M7169965","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2019-01-03T18:00:00.000","2019-01-04T06:00:00.000","true","false","false","false","40.755641","-73.975109","5","4","94","1012830021","Midtown-Midtown South"
"1038570","909","THIRD AVENUE","MANHATTAN","106",,"M00683696-I1-GC","M9774731","AHV Permit Issued","Initial","Public Safety","2022-05-14T07:00:00.000","2022-05-14T17:00:00.000","true","true","false","false","40.758744","-73.968618","6","4","108","1013280001","Turtle Bay-East Midtown"
"1034815","1350","AVENUE OF THE AMERICAS","MANHATTAN","105",,"M00646898-I1-GC, M00646917-I1-MS","M8845992","AHV Permit Issued","Initial","Public Safety","2022-04-01T18:00:00.000","2022-04-02T00:00:00.000","true","true","false","false","40.762731","-73.978341","5","4","104","1012700071","Midtown-Midtown South"
"1085494","1568 AIR","BROADWAY","MANHATTAN","105","M00154256-I1","M00154256-I1-SH","M8159809","AHV Permit Issued","Initial","Public Safety","2019-09-26T18:00:00.000","2019-09-27T00:00:00.000","true","false","false","false","40.759055","-73.98471","5","4","125","1009999062","Midtown-Midtown South"
"1085735","200","PARK AVENUE","MANHATTAN","105",,"M00602099-I1-GC","M8401082","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-03-04T18:00:00.000","2022-03-05T02:00:00.000","true","true","true","false","40.754162","-73.976557","5","4","92","1012809010","Turtle Bay-East Midtown"
"1035057","40","WEST   57 STREET","MANHATTAN","105",,"M00669777-I1-GC, M00677089-I1-MS, M00669782-I1-ST","M7447000","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-06-24T18:00:00.000","2022-06-25T02:00:00.000","true","true","false","false","40.763538","-73.975352","5","4","11201","1012720063","Midtown-Midtown South"
"1013553","330","WEST   34 STREET","MANHATTAN","104",,"M00554905-I1-GC, M00554930-I1-ST","M2223260","AHV Permit Issued","Initial","Public Safety","2022-04-16T06:00:00.000","2022-04-16T17:00:00.000","true","true","false","false","40.752619","-73.994503","4","3","103","1007570054","Hudson Yards-Chelsea-Flatiron-Union Square"
"1024686","3","TIMES SQUARE","MANHATTAN","105",,"M00546231-I1-GC","M7640915","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-03-12T06:00:00.000","2022-03-12T18:00:00.000","false","true","false","false","40.756376","-73.986713","5","3","119","1010140033","Midtown-Midtown South"
"1001230","90","CHURCH STREET","MANHATTAN","101",,"M00477641-I1-SH","M9966843","AHV Permit Issued","Initial","Public Safety","2022-02-08T18:00:00.000","2022-02-09T06:00:00.000","true","false","false","false","40.712586","-74.009775","1","1","21","1000860001","SoHo-TriBeCa-Civic Center-Little Italy"
"1071414","1166","AVENUE OF THE AMERICAS","MANHATTAN","105",,"M00511578-I1-GC, M00512010-I1-MS","M5357597","AHV Permit Issued","Initial","Public Safety","2022-02-11T18:00:00.000","2022-02-12T03:00:00.000","true","true","false","false","40.757004","-73.982526","5","4","96","1012617501","Midtown-Midtown South"
"1012860","441","9 AVENUE","MANHATTAN","104",,"M00613124-I1-GC","M2110187","AHV Permit Issued","Initial","Public Safety","2021-12-11T07:00:00.000","2021-12-11T15:00:00.000","true","true","false","false","40.753758","-73.996048","4","3","111","1007320036","Hudson Yards-Chelsea-Flatiron-Union Square"
