"borough","admin_district","geographical_district","location_code","dbn","school_level","student_enrollment","full_time_licensed_pe_teachers","f_status_pe_teachers","itinerant_pe_teachers","sum_of_f_status_and_itinerant","total_part_time_and_full","shared_pe_teachers_with","ratio_of_full_time_licensed"
"Manhattan","1","1","M515","01M515","High School","557","1","0","0","0","1",,"1:557"
"Manhattan","1","1","M539","01M539","K-12 All Grades","1734","6","0","0","0","6",,"6:1734"
"Manhattan","1","1","M650","01M650","High School","241","1","0","0","0","1",,"1:241"
"Manhattan","1","1","M696","01M696","High School","588","2","0","0","0","2",,"2:588"
"Manhattan","1","1","M839","01M839","Junior High-Intermediate-Middle","373","1","0","0","0","1",,"1:373"
"Manhattan","2","2","M001","02M001","Elementary","318","1","0","0","0","1",,"1:318"
"Manhattan","2","2","M002","02M002","Elementary","552","0","0","0","0","0",,"0"
"Manhattan","2","2","M003","02M003","Elementary","753","0","0","0","0","0",,"0"
"Manhattan","2","2","M006","02M006","Elementary","694","1","0","0","0","1",,"1:694"
"Manhattan","2","2","M011","02M011","Elementary","923","2","0","0","0","2",,"2:923"
"Manhattan","2","2","M033","02M033","Elementary","650","1","0","0","0","1",,"1:650"
"Manhattan","2","2","M040","02M040","Elementary","673","0","0","0","0","0",,"0"
"Manhattan","2","2","M041","02M041","Elementary","694","0","0","0","0","0",,"0"
"Manhattan","2","2","M042","02M042","Elementary","653","0","0","0","0","0",,"0"
"Manhattan","2","2","M047","02M047","High School","165","2","0","0","0","2",,"2:165"
"Manhattan","2","2","M051","02M051","Elementary","453","1","0","0","0","1",,"1:453"
"Manhattan","2","2","M059","02M059","Elementary","614","1","0","0","0","1",,"1:614"
"Manhattan","2","2","M077","02M077","Elementary","358","1","0","0","0","1",,"1:358"
"Manhattan","2","2","M089","02M089","Elementary","433","0","0","1","1","1","1","0"
"Manhattan","2","2","M104","02M104","Junior High-Intermediate-Middle","1134","3","1","0","1","4",,"3:1134"
"Manhattan","2","2","M111","02M111","Elementary","395","1","0","0","0","1",,"1:395"
"Manhattan","2","2","M114","02M114","Junior High-Intermediate-Middle","450","1","0","0","0","1",,"1:450"
"Manhattan","2","2","M116","02M116","Elementary","539","1","0","0","0","1",,"1:539"
"Manhattan","2","2","M124","02M124","Elementary","724","1","0","0","0","1",,"1:724"
"Manhattan","2","2","M126","02M126","K-8","784","1","0","0","0","1",,"1:784"
"Manhattan","2","2","M130","02M130","Elementary","913","1","0","0","0","1",,"1:913"
"Manhattan","2","2","M131","02M131","Junior High-Intermediate-Middle","436","1","0","0","0","1",,"1:436"
"Manhattan","2","2","M135","02M135","High School","281","2","0","0","0","2",,"2:281"
"Manhattan","2","2","M139","02M139","High School","394","2","0","0","0","2",,"2:394"
"Manhattan","2","2","M150","02M150","Elementary","187","0","0","0","0","0",,"0"
"Manhattan","2","2","M151","02M151","Elementary","515","1","0","0","0","1",,"1:515"
"Manhattan","2","2","M158","02M158","Elementary","793","2","0","0","0","2",,"2:793"
"Manhattan","2","2","M167","02M167","Junior High-Intermediate-Middle","1336","3","1","0","1","4",,"3:1336"
"Manhattan","2","2","M177","02M177","Junior High-Intermediate-Middle","233","1","0","0","0","1",,"1:233"
"Manhattan","2","2","M183","02M183","Elementary","588","0","0","0","0","0",,"0"
"Manhattan","2","2","M198","02M198","Elementary","461","1","0","0","0","1",,"1:461"
"Manhattan","2","2","M212","02M212","Elementary","366","1","0","0","0","1",,"1:366"
"Manhattan","2","2","M217","02M217","K-8","616","1","0","0","0","1",,"1:616"
"Manhattan","2","2","M225","02M225","K-8","320","0","0","0","0","0",,"0"
"Manhattan","2","2","M234","02M234","Elementary","642","1","0","0","0","1",,"1:642"
"Manhattan","2","2","M255","02M255","Junior High-Intermediate-Middle","386","1","0","0","0","1",,"1:386"
"Manhattan","2","2","M260","02M260","Secondary School","604","2","0","0","0","2",,"2:604"
"Manhattan","2","2","M267","02M267","Elementary","398","1","0","0","0","1",,"1:398"
"Manhattan","2","2","M276","02M276","K-8","827","2","0","0","0","2",,"2:827"
"Manhattan","2","2","M280","02M280","High School","367","2","0","0","0","2",,"2:367"
"Manhattan","2","2","M281","02M281","Elementary","272","0","0","0","0","0",,"0"
"Manhattan","2","2","M282","02M282","High School","386","1","0","0","0","1",,"1:386"
"Manhattan","2","2","M288","02M288","High School","378","1","0","0","0","1",,"1:378"
"Manhattan","2","2","M289","02M289","Junior High-Intermediate-Middle","283","0","0","1","1","1","1","0"
"Manhattan","2","2","M290","02M290","Elementary","631","0","0","0","0","0",,"0"
"Manhattan","2","2","M294","02M294","High School","340","1","0","0","0","1",,"1:340"
"Manhattan","2","2","M296","02M296","High School","391","2","0","0","0","2",,"2:391"
"Manhattan","2","2","M297","02M297","Junior High-Intermediate-Middle","193","1","0","0","0","1",,"1:193"
"Manhattan","2","2","M298","02M298","High School","537","2","0","0","0","2",,"2:537"
"Manhattan","2","2","M300","02M300","High School","356","1","0","0","0","1",,"1:356"
"Manhattan","2","2","M303","02M303","High School","382","1","0","0","0","1",,"1:382"
"Manhattan","2","2","M305","02M305","High School","307","2","0","0","0","2",,"2:307"
"Manhattan","2","2","M308","02M308","High School","329","1","0","0","0","1",,"1:329"
"Manhattan","2","2","M312","02M312","Junior High-Intermediate-Middle","554","2","0","0","0","2",,"2:554"
"Manhattan","2","2","M313","02M313","High School","258","1","0","0","0","1",,"1:258"
"Manhattan","2","2","M316","02M316","High School","232","1","0","0","0","1",,"1:232"
"Manhattan","2","2","M340","02M340","Elementary","277","0","0","0","0","0",,"0"
"Manhattan","2","2","M343","02M343","Elementary","441","0","0","0","0","0",,"0"
"Manhattan","2","2","M347","02M347","K-8","197","0","0","0","0","0",,"0"
"Manhattan","2","2","M374","02M374","High School","491","3","0","0","0","3",,"3:491"
"Manhattan","2","2","M376","02M376","High School","457","1","0","0","0","1",,"1:457"
"Manhattan","2","2","M392","02M392","High School","423","2","0","0","0","2",,"2:423"
"Manhattan","2","2","M393","02M393","High School","426","2","0","0","0","2",,"2:426"
"Manhattan","2","2","M394","02M394","High School","296","1","0","0","0","1",,"1:296"
"Manhattan","2","2","M397","02M397","K-8","539","1","0","0","0","1",,"1:539"
"Manhattan","2","2","M399","02M399","High School","327","3","0","0","0","3",,"3:327"
"Manhattan","2","2","M400","02M400","High School","1194","6","0","0","0","6",,"6:1194"
"Manhattan","2","2","M407","02M407","Secondary School","492","1","0","0","0","1",,"1:492"
"Manhattan","2","2","M408","02M408","Secondary School","565","1","0","0","0","1",,"1:565"
"Manhattan","2","2","M411","02M411","High School","460","1","0","0","0","1",,"1:460"
"Manhattan","2","2","M412","02M412","High School","498","0","0","0","0","0",,"0"
"Manhattan","2","2","M413","02M413","Secondary School","750","2","0","0","0","2",,"2:750"
"Manhattan","2","2","M414","02M414","High School","450","0","0","0","0","0",,"0"
"Manhattan","2","2","M416","02M416","High School","541","2","0","0","0","2",,"2:541"
"Manhattan","2","2","M418","02M418","High School","666","2","0","0","0","2",,"2:666"
"Manhattan","2","2","M419","02M419","High School","348","1","0","0","0","1",,"1:348"
"Manhattan","2","2","M420","02M420","High School","1819","6","0","0","0","6",,"6:1819"
"Manhattan","2","2","M422","02M422","Secondary School","586","3","0","0","0","3",,"3:586"
"Manhattan","2","2","M425","02M425","High School","523","2","0","0","0","2",,"2:523"
"Manhattan","2","2","M427","02M427","High School","269","2","0","0","0","2",,"2:269"
"Manhattan","2","2","M432","02M432","High School","317","1","0","0","0","1",,"1:317"
"Manhattan","2","2","M437","02M437","High School","476","2","0","0","0","2",,"2:476"
"Manhattan","2","2","M438","02M438","High School","360","3","0","0","0","3",,"3:360"
"Manhattan","2","2","M439","02M439","High School","456","2","0","0","0","2",,"2:456"
"Manhattan","2","2","M442","02M442","K-8","141","0","0","0","0","0",,"0"
"Manhattan","2","2","M449","02M449","High School","446","1","0","0","0","1",,"1:446"
"Manhattan","2","2","M459","02M459","High School","337","1","0","0","0","1",,"1:337"
"Manhattan","2","2","M475","02M475","High School","3336","10","0","0","0","10",,"10:3336"
"Manhattan","2","2","M489","02M489","High School","738","2","0","0","0","2",,"2:738"
"Manhattan","2","2","M500","02M500","High School","255","1","0","0","0","1",,"1:255"
"Manhattan","2","2","M507","02M507","High School","445","2","0","0","0","2",,"2:445"
"Manhattan","2","2","M519","02M519","High School","478","1","0","0","0","1",,"1:478"
"Manhattan","2","2","M520","02M520","High School","271","1","0","0","0","1",,"1:271"
"Manhattan","2","2","M527","02M527","Elementary","387","1","0","0","0","1",,"1:387"
"Manhattan","2","2","M529","02M529","High School","567","2","0","0","0","2",,"2:567"
"Manhattan","2","2","M531","02M531","High School","242","0","0","0","0","0",,"0"
"Manhattan","2","2","M533","02M533","High School","398","3","0","0","0","3",,"3:398"
"Manhattan","2","2","M534","02M534","High School","487","0","1","0","1","1",,"0"
"Manhattan","2","2","M542","02M542","High School","517","1","0","0","0","1",,"1:517"
"Manhattan","2","2","M543","02M543","High School","427","1","0","0","0","1",,"1:427"
"Manhattan","2","2","M544","02M544","High School","334","0","1","0","1","1",,"0"
"Manhattan","2","2","M545","02M545","High School","396","1","1","0","1","2",,"1:396"
"Manhattan","2","2","M546","02M546","High School","460","2","0","0","0","2",,"2:460"
"Manhattan","2","2","M550","02M550","High School","427","1","0","0","0","1",,"1:427"
"Manhattan","2","2","M551","02M551","High School","534","2","0","0","0","2",,"2:534"
"Manhattan","2","2","M560","02M560","High School","627","0","0","0","0","0",,"0"
"Manhattan","2","2","M565","02M565","High School","160","0","0","0","0","0",,"0"
"Manhattan","2","2","M570","02M570","High School","298","1","0","0","0","1",,"1:298"
"Manhattan","2","2","M575","02M575","High School","722","3","0","0","0","3",,"3:722"
"Manhattan","2","2","M580","02M580","High School","499","3","0","0","0","3",,"3:499"
"Manhattan","2","2","M586","02M586","High School","64","1","0","0","0","1",,"1:64"
"Manhattan","2","2","M600","02M600","High School","1590","5","0","0","0","5",,"5:1590"
"Manhattan","2","2","M605","02M605","High School","235","0","1","0","1","1",,"0"
"Manhattan","2","2","M615","02M615","High School","430","1","0","0","0","1",,"1:430"
"Manhattan","2","2","M630","02M630","High School","1447","5","0","0","0","5",,"5:1447"
"Manhattan","2","2","M655","02M655","Secondary School","574","2","0","0","0","2",,"2:574"
"Manhattan","2","2","M896","02M896","Junior High-Intermediate-Middle","385","1","0","0","0","1",,"1:385"
"Manhattan","2","2","M933","02M933","Junior High-Intermediate-Middle","236","1","0","0","0","1",,"1:236"
"Manhattan","3","3","M009","03M009","Elementary","619","0","0","0","0","0",,"0"
"Manhattan","3","3","M054","03M054","Junior High-Intermediate-Middle","852","2","0","0","0","2",,"2:852"
"Manhattan","3","3","M075","03M075","Elementary","560","1","0","0","0","1",,"1:560"
"Manhattan","3","3","M076","03M076","K-8","472","1","0","0","0","1",,"1:472"
"Manhattan","3","3","M084","03M084","Elementary","656","1","0","0","0","1",,"1:656"
"Manhattan","3","3","M087","03M087","Elementary","877","1","0","0","0","1",,"1:877"
"Manhattan","3","3","M145","03M145","Elementary","391","1","0","0","0","1",,"1:391"
"Manhattan","3","3","M149","03M149","K-8","235","1","0","0","0","1",,"1:235"
"Manhattan","3","3","M163","03M163","Elementary","565","0","0","0","0","0",,"0"
"Manhattan","3","3","M165","03M165","K-8","604","2","0","0","0","2",,"2:604"
"Manhattan","3","3","M166","03M166","Elementary","648","1","0","0","0","1",,"1:648"
"Manhattan","3","3","M180","03M180","K-8","545","1","0","0","0","1",,"1:545"
"Manhattan","3","3","M185","03M185","Early Childhood","252","1","0","0","0","1",,"1:252"
"Manhattan","3","3","M191","03M191","K-8","516","1","0","0","0","1",,"1:516"
"Manhattan","3","3","M199","03M199","Elementary","848","0","0","0","0","0",,"0"
"Manhattan","3","3","M241","03M241","Elementary","134","0","0","1","1","1","1","0"
"Manhattan","3","3","M242","03M242","Elementary","170","0","0","0","0","0",,"0"
"Manhattan","3","3","M243","03M243","Junior High-Intermediate-Middle","235","0","0","0","0","0",,"0"
"Manhattan","3","3","M245","03M245","Junior High-Intermediate-Middle","400","0","0","0","0","0",,"0"
"Manhattan","3","3","M247","03M247","Junior High-Intermediate-Middle","198","0","0","0","0","0",,"0"
"Manhattan","3","3","M250","03M250","Junior High-Intermediate-Middle","178","0","0","0","0","0",,"0"
"Manhattan","3","3","M256","03M256","Junior High-Intermediate-Middle","138","1","0","0","0","1",,"1:138"
"Manhattan","3","3","M258","03M258","Junior High-Intermediate-Middle","223","1","0","0","0","1",,"1:223"
"Manhattan","3","3","M291","03M291","Secondary School","339","2","0","0","0","2",,"2:339"
"Manhattan","3","3","M299","03M299","High School","378","2","0","0","0","2",,"2:378"
"Manhattan","3","3","M307","03M307","High School","397","1","0","0","0","1",,"1:397"
"Manhattan","3","3","M333","03M333","K-8","753","1","0","0","0","1",,"1:753"
"Manhattan","3","3","M334","03M334","K-8","537","1","0","0","0","1",,"1:537"
"Manhattan","3","3","M402","03M402","High School","311","1","0","0","0","1",,"1:311"
"Manhattan","3","3","M403","03M403","High School","436","2","0","0","0","2",,"2:436"
"Manhattan","3","3","M404","03M404","High School","188","1","0","0","0","1",,"1:188"
"Manhattan","3","3","M415","03M415","Secondary School","278","2","0","0","0","2",,"2:278"
"Manhattan","3","3","M417","03M417","High School","411","2","0","0","0","2",,"2:411"
"Manhattan","3","3","M421","03M421","Junior High-Intermediate-Middle","203","0","0","0","0","0",,"0"
"Manhattan","3","3","M452","03M452","Elementary","336","1","0","0","0","1",,"1:336"
"Manhattan","3","2","M479","03M479","High School","1380","2","0","0","0","2",,"2:1380"
"Manhattan","3","3","M485","03M485","High School","2809","6","1","0","1","7",,"6:2809"
"Manhattan","3","3","M492","03M492","High School","466","4","0","0","0","4",,"4:466"
"Manhattan","3","3","M494","03M494","High School","504","3","0","0","0","3",,"3:504"
"Manhattan","3","3","M505","03M505","High School","500","2","0","0","0","2",,"2:500"
"Manhattan","3","3","M541","03M541","High School","442","1","1","0","1","2",,"1:442"
"Manhattan","3","3","M859","03M859","K-12 All Grades","314","1","0","0","0","1",,"1:314"
"Manhattan","3","3","M860","03M860","Secondary School","354","1","0","0","0","1",,"1:354"
"Manhattan","3","3","M862","03M862","Junior High-Intermediate-Middle","342","0","0","0","0","0",,"0"
"Manhattan","4","4","M007","04M007","K-8","357","1","0","0","0","1",,"1:357"
"Manhattan","4","4","M012","04M012","K-8","587","1","0","0","0","1",,"1:587"
"Manhattan","4","4","M037","04M037","Elementary","192","1","0","0","0","1",,"1:192"
"Manhattan","4","4","M038","04M038","Elementary","213","1","0","0","0","1",,"1:213"
"Manhattan","4","4","M057","04M057","K-8","818","1","0","0","0","1",,"1:818"
"Manhattan","4","4","M072","04M072","K-8","620","1","0","0","0","1",,"1:620"
"Manhattan","4","4","M083","04M083","Elementary","439","1","0","0","0","1",,"1:439"
"Manhattan","4","4","M096","04M096","K-8","397","1","0","0","0","1",,"1:397"
"Manhattan","4","4","M102","04M102","Elementary","318","1","0","0","0","1",,"1:318"
"Manhattan","4","4","M108","04M108","K-8","452","2","0","0","0","2",,"2:452"
"Manhattan","4","4","M112","04M112","Early Childhood","309","1","0","0","0","1",,"1:309"
"Manhattan","4","4","M146","04M146","Elementary","334","1","0","0","0","1",,"1:334"
"Manhattan","4","4","M155","04M155","Elementary","260","1","0","0","0","1",,"1:260"
"Manhattan","4","4","M171","04M171","K-8","725","1","0","0","0","1",,"1:725"
"Manhattan","4","4","M182","04M182","Elementary","310","1","0","0","0","1",,"1:310"
"Manhattan","4","4","M206","04M206","K-8","473","1","0","0","0","1",,"1:473"
"Manhattan","4","4","M224","04M224","Junior High-Intermediate-Middle","172","0","1","0","1","1",,"0"
"Manhattan","4","4","M310","04M310","Secondary School","75","0","0","0","0","0",,"0"
"Manhattan","4","4","M372","04M372","Secondary School","559","2","0","0","0","2",,"2:559"
"Manhattan","4","4","M375","04M375","Elementary","333","1","0","0","0","1",,"1:333"
"Manhattan","4","4","M377","04M377","Junior High-Intermediate-Middle","147","0","0","0","0","0",,"0"
"Manhattan","4","4","M435","04M435","High School","1625","6","0","0","0","6",,"6:1625"
"Manhattan","4","4","M495","04M495","High School","406","1","0","0","0","1",,"1:406"
"Manhattan","4","4","M497","04M497","Elementary","196","0","0","0","0","0",,"0"
"Manhattan","4","4","M555","04M555","High School","496","1","0","0","0","1",,"1:496"
"Manhattan","4","4","M610","04M610","Secondary School","481","1","0","0","0","1",,"1:481"
"Manhattan","4","4","M680","04M680","High School","294","1","0","0","0","1",,"1:294"
"Manhattan","4","4","M825","04M825","Junior High-Intermediate-Middle","192","1","0","0","0","1",,"1:192"
"Manhattan","4","4","M964","04M964","K-8","448","1","0","0","0","1",,"1:448"
"Manhattan","5","5","M030","05M030","Elementary","252","2","0","0","0","2",,"2:252"
"Manhattan","5","5","M036","05M036","Elementary","391","1","0","0","0","1",,"1:391"
"Manhattan","5","5","M046","05M046","K-8","661","1","0","0","0","1",,"1:661"
"Manhattan","5","5","M092","05M092","Elementary","265","0","0","0","0","0",,"0"
"Manhattan","5","5","M123","05M123","K-8","479","1","0","0","0","1",,"1:479"
"Manhattan","5","5","M125","05M125","Elementary","297","1","0","0","0","1",,"1:297"
"Manhattan","5","5","M129","05M129","K-8","435","1","0","0","0","1",,"1:435"
"Manhattan","5","5","M133","05M133","Elementary","211","0","0","0","0","0",,"0"
"Manhattan","5","5","M148","05M148","Secondary School","318","1","0","0","0","1",,"1:318"
"Manhattan","5","5","M154","05M154","Elementary","302","0","0","0","0","0",,"0"
"Manhattan","5","5","M157","05M157","High School","241","1","0","0","0","1",,"1:241"
"Manhattan","5","5","M161","05M161","K-8","838","2","0","0","0","2",,"2:838"
"Manhattan","5","5","M175","05M175","Elementary","321","1","0","0","0","1",,"1:321"
"Manhattan","5","5","M194","05M194","Elementary","238","1","0","0","0","1",,"1:238"
"Manhattan","5","5","M197","05M197","Elementary","314","1","0","0","0","1",,"1:314"
"Manhattan","5","5","M200","05M200","Elementary","393","1","0","0","0","1",,"1:393"
"Manhattan","5","5","M285","05M285","High School","233","1","0","0","0","1",,"1:233"
"Manhattan","5","5","M286","05M286","Junior High-Intermediate-Middle","169","1","0","0","0","1",,"1:169"
"Manhattan","5","5","M304","05M304","High School","297","1","0","0","0","1",,"1:297"
"Manhattan","5","5","M318","05M318","Elementary","221","1","0","0","0","1",,"1:221"
"Manhattan","5","5","M362","05M362","Secondary School","702","2","0","0","0","2",,"2:702"
"Manhattan","5","5","M369","05M369","High School","356","1","0","0","0","1",,"1:356"
"Manhattan","5","5","M499","05M499","Secondary School","1362","4","0","0","0","4",,"4:1362"
"Manhattan","5","5","M514","05M514","Junior High-Intermediate-Middle","130","0","0","0","0","0",,"0"
"Manhattan","5","5","M517","05M517","K-8","286","1","0","0","0","1",,"1:286"
"Manhattan","5","5","M670","05M670","Secondary School","547","2","0","0","0","2",,"2:547"
"Manhattan","5","5","M692","05M692","High School","500","2","0","0","0","2",,"2:500"
"Manhattan","6","6","M004","06M004","Elementary","557","1","0","0","0","1",,"1:557"
"Manhattan","6","6","M005","06M005","Elementary","597","1","0","0","0","1",,"1:597"
"Manhattan","6","6","M008","06M008","Elementary","532","3","0","0","0","3",,"3:532"
"Manhattan","6","6","M018","06M018","K-8","353","1","0","0","0","1",,"1:353"
"Manhattan","6","6","M028","06M028","Elementary","681","1","0","0","0","1",,"1:681"
"Manhattan","6","6","M048","06M048","Elementary","543","1","0","0","0","1",,"1:543"
"Manhattan","6","6","M052","06M052","Junior High-Intermediate-Middle","267","1","0","0","0","1",,"1:267"
"Manhattan","6","6","M098","06M098","Elementary","469","1","0","0","0","1",,"1:469"
"Manhattan","6","6","M103","06M103","Elementary","351","1","0","0","0","1",,"1:351"
"Manhattan","6","6","M115","06M115","Elementary","475","1","0","0","0","1",,"1:475"
"Manhattan","6","6","M128","06M128","Elementary","586","1","0","0","0","1",,"1:586"
"Manhattan","6","6","M132","06M132","Elementary","305","1","0","0","0","1",,"1:305"
"Manhattan","6","6","M143","06M143","Junior High-Intermediate-Middle","265","1","0","0","0","1",,"1:265"
"Manhattan","6","6","M152","06M152","Elementary","572","1","0","0","0","1",,"1:572"
"Manhattan","6","6","M153","06M153","Elementary","589","0","0","0","0","0",,"0"
"Manhattan","6","6","M173","06M173","Elementary","489","1","0","0","0","1",,"1:489"
"Manhattan","6","6","M178","06M178","Elementary","292","1","0","0","0","1",,"1:292"
"Manhattan","6","6","M187","06M187","K-8","799","1","0","0","0","1",,"1:799"
"Manhattan","6","6","M189","06M189","Elementary","813","1","0","0","0","1",,"1:813"
"Manhattan","6","6","M192","06M192","Elementary","439","1","0","0","0","1",,"1:439"
"Manhattan","6","6","M209","06M209","Junior High-Intermediate-Middle","267","1","0","0","0","1",,"1:267"
"Manhattan","6","6","M210","06M210","K-8","419","1","0","0","0","1",,"1:419"
"Manhattan","6","6","M211","06M211","High School","376","1","0","0","0","1",,"1:376"
"Manhattan","6","6","M223","06M223","Junior High-Intermediate-Middle","292","1","0","0","0","1",,"1:292"
"Manhattan","6","6","M278","06M278","K-8","559","1","0","0","0","1",,"1:559"
"Manhattan","6","6","M293","06M293","Secondary School","602","2","0","0","0","2",,"2:602"
"Manhattan","6","6","M311","06M311","K-8","395","1","0","0","0","1",,"1:395"
"Manhattan","6","6","M314","06M314","Elementary","292","1","0","0","0","1",,"1:292"
"Manhattan","6","6","M319","06M319","Junior High-Intermediate-Middle","418","1","0","0","0","1",,"1:418"
"Manhattan","6","6","M322","06M322","Junior High-Intermediate-Middle","310","2","0","0","0","2",,"2:310"
"Manhattan","6","6","M324","06M324","Junior High-Intermediate-Middle","399","2","0","0","0","2",,"2:399"
"Manhattan","6","6","M328","06M328","Junior High-Intermediate-Middle","229","1","0","0","0","1",,"1:229"
"Manhattan","6","6","M346","06M346","Secondary School","703","3","0","0","0","3",,"3:703"
"Manhattan","6","6","M348","06M348","K-12 All Grades","815","0","0","0","0","0",,"0"
"Manhattan","6","6","M349","06M349","Junior High-Intermediate-Middle","129","0","0","0","0","0",,"0"
"Manhattan","6","6","M366","06M366","K-8","571","0","0","0","0","0",,"0"
"Manhattan","6","6","M368","06M368","Elementary","171","0","0","0","0","0",,"0"
"Manhattan","6","6","M423","06M423","High School","201","2","0","0","0","2",,"2:201"
"Manhattan","6","6","M462","06M462","High School","460","2","0","0","0","2",,"2:460"
"Manhattan","6","6","M463","06M463","High School","408","2","0","0","0","2",,"2:408"
"Manhattan","6","6","M467","06M467","High School","544","3","0","0","0","3",,"3:544"
"Manhattan","6","6","M468","06M468","High School","463","2","1","0","1","3",,"2:463"
"Manhattan","6","6","M513","06M513","Elementary","229","1","0","0","0","1",,"1:229"
"Manhattan","6","6","M528","06M528","Junior High-Intermediate-Middle","224","0","0","0","0","0",,"0"
"Manhattan","6","6","M540","06M540","High School","1375","6","0","0","0","6",,"6:1375"
"Manhattan","6","6","M552","06M552","High School","524","2","0","0","0","2",,"2:524"
"Bronx","7","7","X001","07X001","Elementary","663","2","0","0","0","2",,"2:663"
"Bronx","7","7","X005","07X005","K-8","722","1","0","0","0","1",,"1:722"
"Bronx","7","7","X018","07X018","Elementary","603","1","0","0","0","1",,"1:603"
"Bronx","7","7","X025","07X025","Elementary","540","1","0","0","0","1",,"1:540"
"Bronx","7","7","X029","07X029","K-8","792","1","0","0","0","1",,"1:792"
"Bronx","7","7","X030","07X030","Elementary","559","1","0","0","0","1",,"1:559"
"Bronx","7","7","X031","07X031","K-8","708","1","0","0","0","1",,"1:708"
"Bronx","7","7","X043","07X043","Elementary","471","1","0","0","0","1",,"1:471"
"Bronx","7","7","X049","07X049","Elementary","657","1","0","0","0","1",,"1:657"
"Bronx","7","7","X065","07X065","Elementary","395","1","0","0","0","1",,"1:395"
"Bronx","7","7","X151","07X151","Junior High-Intermediate-Middle","261","1","0","0","0","1",,"1:261"
"Bronx","7","7","X154","07X154","Elementary","370","1","0","0","0","1",,"1:370"
"Bronx","7","7","X157","07X157","Elementary","644","1","0","0","0","1",,"1:644"
"Bronx","7","7","X161","07X161","Elementary","523","0","0","0","0","0",,"0"
"Bronx","7","7","X179","07X179","Elementary","332","1","0","0","0","1",,"1:332"
"Bronx","7","7","X221","07X221","Secondary School","659","2","0","0","0","2",,"2:659"
"Bronx","7","7","X223","07X223","Secondary School","684","1","0","0","0","1",,"1:684"
"Bronx","7","7","X224","07X224","Junior High-Intermediate-Middle","358","0","0","1","1","1","1","0"
"Bronx","7","7","X259","07X259","High School","496","1","0","0","0","1",,"1:496"
"Bronx","7","7","X277","07X277","Elementary","488","1","0","0","0","1",,"1:488"
"Bronx","7","7","X296","07X296","Junior High-Intermediate-Middle","253","1","0","0","0","1",,"1:253"
"Bronx","7","7","X298","07X298","Junior High-Intermediate-Middle","247","1","0","0","0","1",,"1:247"
"Bronx","7","7","X334","07X334","High School","436","1","0","0","0","1",,"1:436"
"Bronx","7","7","X343","07X343","Junior High-Intermediate-Middle","300","0","0","1","1","1","1","0"
"Bronx","7","7","X359","07X359","Elementary","356","0","0","0","0","0",,"0"
"Bronx","7","7","X369","07X369","Elementary","261","0","0","0","0","0",,"0"
"Bronx","7","7","X379","07X379","High School","218","1","0","0","0","1",,"1:218"
"Bronx","7","7","X381","07X381","High School","192","1","0","0","0","1",,"1:192"
"Bronx","7","7","X427","07X427","High School","330","1","0","0","0","1",,"1:330"
"Bronx","7","7","X473","07X473","High School","358","2","0","0","0","2",,"2:358"
"Bronx","7","7","X495","07X495","High School","491","1","0","0","0","1",,"1:491"
"Bronx","7","7","X500","07X500","Secondary School","508","1","0","0","0","1",,"1:508"
"Bronx","7","7","X522","07X522","High School","504","2","0","0","0","2",,"2:504"
