"reporting_year","borough_block_lot","property_street_address_or","borough","zip_code","sold_date","vacant_on_12_31","construction_reported","vacant_6_30_or_date_sold","primary_business_activity","property_number","property_street","unit","borough_1","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","nbhd"
"2021 and 2022","1002020030","40 BOWERY","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","40","BOWERY",,"MANHATTAN","10013","40.7155618","-73.9969266","3","1","29","1002433","1002020030","MN27","Chinatown"
"2021 and 2022","1002830049","19 Pike Street","MANHATTAN","10002",,"NO",,,"OTHER","19","PIKE STREET",,"MANHATTAN","10002","40.7133576","-73.9921364","3","1","6","1003582","1002830049","MN28","Lower East Side"
"2021 and 2022","1003150070","465 Grand Street","MANHATTAN","10002",,"NO",,,"FINANCE & INSURANCE","465","GRAND STREET",,"MANHATTAN","10002","40.7148142","-73.9840271","3","1","14","1004056","1003150070","MN28","Lower East Side"
"2021 and 2022","1003480026","95 Clinton Street","MANHATTAN","10002",,"NO",,,"RETAIL","95","CLINTON STREET",,"MANHATTAN","10002","40.71855","-73.9856423","3","1","14","1004182","1003480026","MN28","Lower East Side"
"2021 and 2022","1000200004","39 BROADWAY","MANHATTAN","10006",,"NO",,,"OTHER","39","BROADWAY",,"MANHATTAN","10006","40.7063442","-74.0134281","1","1","13","1000803","1000200004","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000251001","25 BROAD STREET","MANHATTAN","10004",,"NO",,,"MISCELLANEOUS OTHER SERVICE","25","BROAD STREET","COM A","MANHATTAN","10004","40.705919","-74.010766","1","1","900","1000824","1000251001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000530006","109 washington street","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","109","WASHINGTON STREET",,"MANHATTAN","10006","40.7085729","-74.0139984","1","1","13","1001047","1000530006","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000970005","111 SOUTH STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","111","SOUTH STREET",,"MANHATTAN","10038","40.7071739","-74.0019261","1","1","15","1001326","1000970005","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1001231001","237 Broadway","MANHATTAN","10279",,"NO",,,"BROADCASTING/TELECOMM","233","BROADWAY","LOWER","MANHATTAN","10279","40.712458","-74.008329","1","1","21","1087167","1001231001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1001620018","34 MOTT STREET","MANHATTAN","10013",,"NO",,,"RETAIL","34","MOTT STREET",,"MANHATTAN","10013","40.7148537","-73.9986761","3","1","29","1001695","1001620018","MN27","Chinatown"
"2021 and 2022","1001630030","49 BAYARD STREET","MANHATTAN","10013",,"NO",,,"RETAIL","49","BAYARD STREET",,"MANHATTAN","10013","40.715098","-73.9975398","3","1","29","1001798","1001630030","MN27","Chinatown"
"2021 and 2022","1001980027","234 CANAL STREET","MANHATTAN","10013",,"NO",,,"RETAIL","234","CANAL STREET",,"MANHATTAN","10013","40.7176863","-73.9999531","1","1","29","1079010","1001980027","MN27","Chinatown"
"2021 and 2022","1002010004","60 MOTT STREET","MANHATTAN","10013",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","60","MOTT STREET",,"MANHATTAN","10013","40.7159434","-73.9979258","3","1","29","1002403","1002010004","MN27","Chinatown"
"2021 and 2022","1002020029","42 Bowery Street","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","42","BOWERY",,"MANHATTAN","10013","40.715603","-73.9969013","3","1","29","1002432","1002020029","MN27","Chinatown"
"2021 and 2022","1002301401","27 MERCER STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","25","MERCER STREET","UNIT1","MANHATTAN","10013","40.720945","-74.002027","2","1","47","1079567","1002301401","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002830049","19 Pike Street","MANHATTAN","10002",,"NO",,,"OTHER","19","PIKE STREET",,"MANHATTAN","10002","40.7133576","-73.9921364","3","1","6","1003582","1002830049","MN28","Lower East Side"
"2021 and 2022","1002880045","507 GRAND STREET","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","505","GRAND STREET",,"MANHATTAN","10002","40.7144791","-73.9823245","3","1","2","1003750","1002880045","MN28","Lower East Side"
"2021 and 2022","1003150001","399 Grand Street","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","409","GRAND STREET",,"MANHATTAN","10002","40.715056","-73.9859028","3","1","14","1082653","1003150001","MN28","Lower East Side"
"2021 and 2022","1003450014","325 East Houston Street","MANHATTAN","10002",,"NO",,,"OTHER","325","EAST HOUSTON STREET",,"MANHATTAN","10002","40.7208278","-73.9827702","3","2","22","1004138","1003450014","MN28","Lower East Side"
"2021 and 2022","1003480025","93 CLINTON STREET","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","93","CLINTON STREET",,"MANHATTAN","10002","40.7186159","-73.9856062","3","1","14","1004181","1003480025","MN28","Lower East Side"
"2021 and 2022","1000166184","21 South End Ave","MANHATTAN","10280",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","21","SOUTH END AVENUE",,"MANHATTAN","10280","40.708312","-74.018117","1","1","317","1075698","1000166184","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000200004","39 BROADWAY","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","39","BROADWAY",,"MANHATTAN","10006","40.7063442","-74.0134281","1","1","13","1000803","1000200004","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000220028","52 BROADWAY","MANHATTAN","10004",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","52","BROADWAY",,"MANHATTAN","10004","40.7064843","-74.012274","1","1","9","1000814","1000220028","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000250027","40 EXCHANGE PLACE","MANHATTAN","10005",,"NO",,,"RETAIL","40","EXCHANGE PLACE",,"MANHATTAN","10005","40.7056858","-74.0102865","1","1","9","1000825","1000250027","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000490002","111 BROADWAY","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","111","BROADWAY",,"MANHATTAN","10006","40.7087131","-74.0116395","1","1","13","1001029","1000490002","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000530003","103 WASHINGTON STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","103","WASHINGTON STREET",,"MANHATTAN","10006","40.7083725","-74.0140814","1","1","13","1001045","1000530003","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000640002","22 MAIDEN LANE","MANHATTAN","10038",,"NO",,,"OTHER","22","MAIDEN LANE",,"MANHATTAN","10038","40.7091141","-74.009122","1","1","15","1001080","1000640002","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000970002","115 SOUTH STREET","MANHATTAN","10038",,"NO",,,"RETAIL","115","SOUTH STREET",,"MANHATTAN","10038","40.7072727","-74.0017457","1","1","15","1001323","1000970002","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1001070028","254 FRONT STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","254","FRONT STREET",,"MANHATTAN","10038","40.7084145","-74.0007647","1","1","15","1088490","1001070028","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1001231001","231 Broadway","MANHATTAN","10279",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","233","BROADWAY","LOWER","MANHATTAN","10279","40.712458","-74.008329","1","1","21","1087167","1001231001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1001260027","120 CHURCH STREET","MANHATTAN","10007",,"NO",,,"RETAIL","120","CHURCH STREET",,"MANHATTAN","10007","40.7137911","-74.0095086","1","1","21","1001410","1001260027","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1001620018","34 MOTT STREET","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","34","MOTT STREET",,"MANHATTAN","10013","40.7148537","-73.9986761","3","1","29","1001695","1001620018","MN27","Chinatown"
"2021 and 2022","1001630001","10 PELL STREET","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","10","PELL STREET",,"MANHATTAN","10013","40.7148729","-73.9975759","3","1","29","1001776","1001630001","MN27","Chinatown"
"2021 and 2022","1001630030","49 BAYARD STREET","MANHATTAN","10013",,"NO",,,"RETAIL","49","BAYARD STREET",,"MANHATTAN","10013","40.715098","-73.9975398","3","1","29","1001798","1001630030","MN27","Chinatown"
"2021 and 2022","1001640026","47 MOTT STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","47","MOTT STREET",,"MANHATTAN","10013","40.7153972","-73.9989106","3","1","29","1001815","1001640026","MN27","Chinatown"
"2021 and 2022","1001980027","234 CANAL STREET","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","234","CANAL STREET",,"MANHATTAN","10013","40.7176863","-73.9999531","1","1","29","1079010","1001980027","MN27","Chinatown"
"2021 and 2022","1001991002","210 CANAL STREET","MANHATTAN","10013",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","210","CANAL STREET","ST0R2","MANHATTAN","10013","40.716973","-73.998961","3","1","29","1085449","1001991002","MN27","Chinatown"
"2021 and 2022","1002010001","52 Mott Street","MANHATTAN","10013",,"NO",,,"RETAIL","72","BAYARD STREET",,"MANHATTAN","10013","40.7157293","-73.9982469","3","1","29","1002402","1002010001","MN27","Chinatown"
"2021 and 2022","1002010030","62 BAYARD STREET","MANHATTAN","10013",,"NO",,,"RETAIL","62","BAYARD STREET",,"MANHATTAN","10013","40.7155921","-73.9978573","3","1","29","1002421","1002010030","MN27","Chinatown"
"2021 and 2022","1002020029","42 Bowery Street","MANHATTAN","10013",,"NO",,,"OTHER","42","BOWERY",,"MANHATTAN","10013","40.715603","-73.9969013","3","1","29","1002432","1002020029","MN27","Chinatown"
"2021 and 2022","1002281402","325 WEST BROADWAY","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","325","WEST BROADWAY","COMMB","MANHATTAN","10013","40.721897","-74.003629","2","1","47","1090164","1002281402","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002301301","15 MERCER STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","15","MERCER STREET","1A","MANHATTAN","10013","40.720684","-74.002251","2","1","47","1003001","1002301301","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002320021","32 HOWARD STREET","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","32","HOWARD STREET",,"MANHATTAN","10013","40.7197888","-74.00057","2","1","45","1003037","1002320021","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002830045","13 PIKE STREET","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","13","PIKE STREET",,"MANHATTAN","10002","40.7135717","-73.9921652","3","1","6","1003580","1002830045","MN28","Lower East Side"
"2021 and 2022","1002840020","181B E. Broadway","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","181","EAST BROADWAY",,"MANHATTAN","10002","40.713898","-73.9892","3","1","6","1003620","1002840020","MN28","Lower East Side"
"2021 and 2022","1002880035","525 GRAND STREET","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","525","GRAND STREET",,"MANHATTAN","10002","40.7143061","-73.9817222","3","1","2","1003743","1002880035","MN28","Lower East Side"
"2021 and 2022","1002920022","19 ELDRIDGE","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","19","ELDRIDGE STREET",,"MANHATTAN","10002","40.7150457","-73.9938424","3","1","16","1003767","1002920022","MN27","Chinatown"
"2021 and 2022","1002940022","50 CANAL STREET","MANHATTAN","10002",,"NO",,,"MISCELLANEOUS OTHER SERVICE","50","CANAL STREET",,"MANHATTAN","10002","40.7146915","-73.9918188","3","1","16","1003799","1002940022","MN27","Chinatown"
"2021 and 2022","1003440041","114 RIDGE STREET","MANHATTAN","10002",,"NO",,,"OTHER","114","RIDGE STREET",,"MANHATTAN","10002","40.7188735","-73.982933","3","2","22","1086574","1003440041","MN28","Lower East Side"
"2021 and 2022","1003450011","319 EAST HOUSTON STREET","MANHATTAN","10002",,"NO",,,"RETAIL","319","EAST HOUSTON STREET",,"MANHATTAN","10002","40.7209211","-73.9829938","3","2","22","1004135","1003450011","MN28","Lower East Side"
"2021 and 2022","1003471005","175 DELANCEY STREET","MANHATTAN","10002",,"NO",,,"RETAIL","175","DELANCEY STREET","RET","MANHATTAN","10002","40.717054","-73.985754","3","1","14","1089451","1003471005","MN28","Lower East Side"
"2021 and 2022","1003480025","93 CLINTON STREET","MANHATTAN","10002",,"NO",,,"RETAIL","93","CLINTON STREET",,"MANHATTAN","10002","40.7186159","-73.9856062","3","1","14","1004181","1003480025","MN28","Lower East Side"
"2021 and 2022","1000161302","102 North End Avenue","MANHATTAN","10282",,"NO",,,"FOOD SERVICES","102","NORTH END AVENUE","RETL","MANHATTAN","10282","40.71499","-74.015277","1","1","317","1085867","1000161302","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000166001","21 SOUTH END AVENUE","MANHATTAN","10280",,"NO",,,"OTHER","21","SOUTH END AVENUE","COMM","MANHATTAN","10280","40.708312","-74.018117","1","1","317","1075698","1000166001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000181001","88 GREENWICH STREET","MANHATTAN","10006",,"NO",,,"EDUCATIONAL SERVICES","88","GREENWICH STREET","CU","MANHATTAN","10006","40.707876","-74.014088","1","1","13","1000794","1000181001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000200004","39 BROADWAY","MANHATTAN","10006",,"NO",,,"FINANCE & INSURANCE","39","BROADWAY",,"MANHATTAN","10006","40.7063442","-74.0134281","1","1","13","1000803","1000200004","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000210006","71 BROADWAY","MANHATTAN","10006",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","71","BROADWAY",,"MANHATTAN","10006","40.7074916","-74.0125122","1","1","13","1000810","1000210006","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000220024","50 BROADWAY","MANHATTAN","10004",,"NO",,,"FINANCE & INSURANCE","50","BROADWAY",,"MANHATTAN","10004","40.7062318","-74.0124398","1","1","9","1000813","1000220024","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000240029","30 BROAD STREET","MANHATTAN","10004",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","30","BROAD STREET",,"MANHATTAN","10004","40.706273","-74.0116535","1","1","9","1000819","1000240029","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000250027","40 EXCHANGE PLACE","MANHATTAN","10005",,"NO",,,"FOOD SERVICES","40","EXCHANGE PLACE",,"MANHATTAN","10005","40.7056858","-74.0102865","1","1","9","1000825","1000250027","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000440001","28 LIBERTY STREET","MANHATTAN","10005",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","28","LIBERTY STREET",,"MANHATTAN","10005","40.7077691","-74.0091254","1","1","7","1032583","1000440001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000490002","111 BROADWAY","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","111","BROADWAY",,"MANHATTAN","10006","40.7087131","-74.0116395","1","1","13","1001029","1000490002","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000510001","101 Greenwich","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","101","GREENWICH STREET",,"MANHATTAN","10006","40.7080871","-74.0131688","1","1","13","1001031","1000510001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000530003","103 WASHINGTON STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","103","WASHINGTON STREET",,"MANHATTAN","10006","40.7083725","-74.0140814","1","1","13","1001045","1000530003","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000630001","10 CORTLANDT STREET","MANHATTAN","10007",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","10","CORTLANDT STREET",,"MANHATTAN","10007","40.7102338","-74.0103269","1","1","13","1078966","1000630001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000640001","51 NASSAU STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","51","NASSAU STREET",,"MANHATTAN","10038","40.7091607","-74.0091436","1","1","15","1079032","1000640001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000650004","59 Nassau Street","MANHATTAN","10038",,"NO",,,"OTHER","25","MAIDEN LANE",,"MANHATTAN","10038","40.7092733","-74.0088587","1","1","15","1001095","1000650004","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000651002","65 NASSAU STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","65","NASSAU STREET","COMM","MANHATTAN","10038","40.709488","-74.008657","1","1","15","1001106","1000651002","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000970032","24 Peck Slip","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","24","PECK SLIP",,"MANHATTAN","10038","40.7078683","-74.0019405","1","1","15","1087577","1000970032","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1001010001","145 NASSAU ST","MANHATTAN","10038",,"NO",,,"RETAIL","36","PARK ROW",,"MANHATTAN","10038","40.7115379","-74.0064783","1","1","15","1001355","1001010001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1001170001","215 Park Row","MANHATTAN","10038",,"NO",,,"FINANCE & INSURANCE","185","PARK ROW",,"MANHATTAN","10038","40.7125262","-73.9998521","3","1","27","1077406","1001170001","MN27","Chinatown"
"2021 and 2022","1001231001","8 Park Place","MANHATTAN","10279",,"NO",,,"FOOD SERVICES","233","BROADWAY","LOWER","MANHATTAN","10279","40.712458","-74.008329","1","1","21","1087167","1001231001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1001240021","6 Murray street","MANHATTAN","10007",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","6","MURRAY STREET",,"MANHATTAN","10007","40.7131956","-74.0080043","1","1","21","1001407","1001240021","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1001260027","120 CHURCH STREET","MANHATTAN","10007",,"NO",,,"RETAIL","120","CHURCH STREET",,"MANHATTAN","10007","40.7137911","-74.0095086","1","1","21","1001410","1001260027","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1001320003","69 MURRAY STREET","MANHATTAN","10007",,"NO",,,"RETAIL","69","MURRAY STREET",,"MANHATTAN","10007","40.7147215","-74.0103059","1","1","21","1001420","1001320003","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1001620018","34 MOTT STREET","MANHATTAN","10013",,"NO",,,"RETAIL","34","MOTT STREET",,"MANHATTAN","10013","40.7148537","-73.9986761","3","1","29","1001695","1001620018","MN27","Chinatown"
"2021 and 2022","1001620041","6 CHATHAM SQUARE","MANHATTAN","10038",,"NO",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","6","CHATHAM SQUARE",,"MANHATTAN","10038","40.7140028","-73.9983335","3","1","29","1001708","1001620041","MN27","Chinatown"
"2021 and 2022","1001621009","7 Chatham Square","MANHATTAN","10038",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","7","CHATHAM SQUARE","207","MANHATTAN","10038","40.714047","-73.998218","3","1","29","1001726","1001621009","MN27","Chinatown"
"2021 and 2022","1001630017","48 MOTT STREET","MANHATTAN","10013",,"NO",,,"OTHER","48","MOTT STREET",,"MANHATTAN","10013","40.7153615","-73.9984777","3","1","29","1001788","1001630017","MN27","Chinatown"
"2021 and 2022","1001630029","51 BAYARD STREET","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","51","BAYARD STREET",,"MANHATTAN","10013","40.7151227","-73.9976228","3","1","29","1001797","1001630029","MN27","Chinatown"
"2021 and 2022","1001640019","87B BAYARD STREET","MANHATTAN","10013",,"NO",,,"OTHER","66","MULBERRY STREET",,"MANHATTAN","10013","40.7157128","-73.9991415","3","1","29","1077446","1001640019","MN27","Chinatown"
"2021 and 2022","1001640026","47 MOTT STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","47","MOTT STREET",,"MANHATTAN","10013","40.7153972","-73.9989106","3","1","29","1001815","1001640026","MN27","Chinatown"
"2021 and 2022","1001640051","9 MOTT STREET","MANHATTAN","10013",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","9","MOTT STREET",,"MANHATTAN","10013","40.713937","-73.9989611","3","1","29","1001824","1001640051","MN27","Chinatown"
"2021 and 2022","1001710005","358 BROADWAY","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","358","BROADWAY",,"MANHATTAN","10013","40.7170385","-74.0031889","1","1","31","1001840","1001710005","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1001990017","91 Mulberry Street","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","91","MULBERRY STREET",,"MANHATTAN","10013","40.7168437","-73.999044","3","1","29","1002374","1001990017","MN27","Chinatown"
"2021 and 2022","1001990127","71 1/2 MULBERRY STREET","MANHATTAN","10013",,"NO",,,"RETAIL","71.5","MULBERRY STREET",,"MANHATTAN","10013","40.7162179","-73.99943","3","1","29","1002383","1001990127","MN27","Chinatown"
"2021 and 2022","1002000024","69-71 Mott Street, North Store","MANHATTAN","10013",,"NO",,,"RETAIL","69","MOTT STREET",,"MANHATTAN","10013","40.7163139","-73.9983659","3","1","29","1002396","1002000024","MN27","Chinatown"
"2021 and 2022","1002010001","56 Mott Street","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","72","BAYARD STREET",,"MANHATTAN","10013","40.7157293","-73.9982469","3","1","29","1002402","1002010001","MN27","Chinatown"
"2021 and 2022","1002010017","170 CANAL STREET","MANHATTAN","10013",,"NO",,,"OTHER","170","CANAL STREET",,"MANHATTAN","10013","40.7164621","-73.9973919","3","1","29","1002412","1002010017","MN27","Chinatown"
"2021 and 2022","1002010030","62 BAYARD STREET","MANHATTAN","10013",,"NO",,,"LEGAL SERVICES","62","BAYARD STREET",,"MANHATTAN","10013","40.7155921","-73.9978573","3","1","29","1002421","1002010030","MN27","Chinatown"
"2021 and 2022","1002020023","50 BOWERY","MANHATTAN","10013",,"NO",,,"MOVIES/VIDEO/SOUND","50","BOWERY",,"MANHATTAN","10013","40.7159928","-73.9968292","3","1","29","1002429","1002020023","MN27","Chinatown"
"2021 and 2022","1002020025","14 Elizabeth Street","MANHATTAN","10013",,"YES","YES","YES","NO BUSINESS ACTIVITY IDENTIFIED","46","BOWERY",,"MANHATTAN","10013","40.7158034","-73.996959","3","1","29","1002430","1002020025","MN27","Chinatown"
"2021 and 2022","1002270022","47 GRAND STREET","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","47","GRAND STREET",,"MANHATTAN","10013","40.7223057","-74.0040622","2","1","47","1002945","1002270022","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002281317","27 WOOSTER STREET","MANHATTAN","10013",,"NO",,,"RETAIL","27","WOOSTER STREET","RU B","MANHATTAN","10013","40.721966","-74.003344","2","1","47","1089842","1002281317","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002290030","29 GREENE STREET","MANHATTAN","10013",,"NO",,,"RETAIL","29","GREENE STREET",,"MANHATTAN","10013","40.7213725","-74.0027382","2","1","47","1002975","1002290030","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002301201","20 greene street","MANHATTAN","10013",,"NO",,,"RETAIL","20","GREENE STREET","1A","MANHATTAN","10013","40.720975","-74.002446","2","1","47","1002990","1002301201","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002320001","434 BROADWAY","MANHATTAN","10013",,"NO",,,"REAL ESTATE","434","BROADWAY",,"MANHATTAN","10013","40.7199233","-74.0010678","2","1","45","1003025","1002320001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002320013","127 GRAND ST REET","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","125","GRAND STREET",,"MANHATTAN","10013","40.7204091","-74.0003175","2","1","45","1003035","1002320013","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002330017","151 GRAND STREET","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","151","GRAND STREET",,"MANHATTAN","10013","40.7199755","-73.9996861","2","1","45","1003049","1002330017","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
