"the_geom","seatingcho","retailname","bizname","bizdba","biz_desc","other_bizd","bizstreetn","suitenum","bizboro","bizzip","bizaddress","sidewalkdi","sidewalk_1","sidewalkar","openstreet","openstre_1","openstre_2","qualify_si","qualify_op","landmarkdi","landmark_1","healthcomp","submission","creationda","long","lat","x","y"
"POINT (-74.07525379961739 40.64250278397035)","sidewalk","Best Wireless Empire Outlets Inc.","Best Wireless Empire Outlets Inc.","Best Wireless Empire Outlets Inc.","Electronics Store; Cell Phone Store",,"35 Richmond Terrace","Suite 325C","Staten Island","10301","35 Richmond Terrace, Staten Island, NY","5","5","25","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-74.0752537996","40.642502784","963365.570628","173366.437766"
"POINT (-74.00430552860902 40.73946732741964)","sidewalk","Marni","Marni USA Corp.","Marni","Clothing, Shoe, Accessories Store",,"1 Gansevoort St",,"Manhattan","10014","1 Gansevoort St, Manhattan, NY","14","2","28","0","0",,"yes","no","no",,"yes","2021-04-22T00:00:00.000","2022-11-02T00:00:00.000","-74.0043055286","40.7394673274","983056.866219","208684.526906"
"POINT (-73.98828199748768 40.68829785570289)","sidewalk","Little Pet Bakery & Boutique","Little L’s LLC","Little Pet Bakery & Boutique","Other","Pet bakery & boutique","311 Atlantic Ave","Ground Floor","Brooklyn","11201","311 Atlantic Ave, Brooklyn, NY","20","5","100","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9882819975","40.6882978557","987499.747754","190042.120294"
"POINT (-73.99737812307032 40.713836719064744)","sidewalk","FENG YU CHEN","FENG YU CHEN","FENG YU CHEN","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"1 CATHERINE ST UNIT #A",,"Manhattan","10002","1 CATHERINE ST UNIT #A, Manhattan, NY","10","5","50","0","0",,"yes","no","no",,"yes","2020-11-18T00:00:00.000","2022-11-02T00:00:00.000","-73.9973781231","40.7138367191","984976.845319","199346.48259"
"POINT (-73.87317860256444 40.68331493976907)","sidewalk","rainbow","rainbow usa inc","rainbow","Clothing, Shoe, Accessories Store",,"3310 fulton st",,"Brooklyn","11208","3310 fulton st, Brooklyn, NY","100","10","1000","0","0",,"yes","no","no",,"yes","2020-11-03T00:00:00.000","2022-11-02T00:00:00.000","-73.8731786026","40.6833149398","1019423.93062","188251.943756"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","Kaff's Bakery and Grocery Inc.","Kaff's Bakery and Grocery Inc.","Kaff's Bakery and Grocery Inc.","Supermarket & Grocery Store",,"4616 16th Ave.",,"Brooklyn","11204","4616 16th Ave., Brooklyn, NY","36","21","756","0","0",,"yes","no","no",,"yes","2021-10-20T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.95881902058095 40.718838912914215)","sidewalk","Smoochie Baby Inc.","Smoochie Baby Inc.","Smoochie Baby Inc.","Clothing, Shoe, Accessories Store",,"110 Berry Street",,"Brooklyn","11249","110 Berry Street, Brooklyn, NY","12","15","180","0","0",,"yes","no","no",,"yes","2020-11-02T00:00:00.000","2022-11-02T00:00:00.000","-73.9588190206","40.7188389129","995665.468955","201171.606893"
"POINT (-73.99775549276103 40.71832894915071)","sidewalk","Hats and T-Shirts Corp","Hats and T-Shirts Corp","Hats and T-Shirts Corp","Clothing, Shoe, Accessories Store",,"132 Mulberry street","A","Manhattan","10013","132 Mulberry street, Manhattan, NY","24","13","312","0","0",,"yes","no","yes","yes","yes","2020-12-30T00:00:00.000","2022-11-02T00:00:00.000","-73.9977554928","40.7183289492","984872.18772","200983.136141"
"POINT (-74.01416791322629 40.633669430863)","sidewalk","International Furniture Co.,Inc","International Furniture Co.,Inc","International Furniture Co.,Inc","Furniture Store",,"711 65th Street",,"Brooklyn","11220","711 65th Street, Brooklyn, NY","18","21","378","0","0",,"yes","no","no",,"yes","2020-10-30T00:00:00.000","2022-11-02T00:00:00.000","-74.0141679132","40.6336694309","980317.600701","170139.55544"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.97207940847336 40.7594952938817)","sidewalk","AT&T MOBILITY SUPPLY, LLC","AT&T MOBILITY","AT&T MOBILITY","Electronics Store; Cell Phone Store",,"350 PARK AVENUE",,"Manhattan","10022","350 PARK AVENUE, Manhattan, NY","37","14","518","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9720794085","40.7594952939","991984.935634","215982.563163"
"POINT (-73.92445047447812 40.74185076731786)","sidewalk","82 Market, Inc","82 Market, Inc","82 Market, Inc","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"4017 47th Ave","Ground floor","Queens","11373","4017 47th Ave, Queens, NY","17","5","85","0","0",,"yes","no","no",,"yes","2020-11-16T00:00:00.000","2022-11-02T00:00:00.000","-73.9244504745","40.7418507673","1005185.28194","209561.888341"
"POINT (-73.99530108721034 40.60283999503955)","sidewalk","Rainbow","Rainbow.us","Rainbow","Clothing, Shoe, Accessories Store",,"2125 86th street",,"Brooklyn","11214","2125 86th street, Brooklyn, NY","50","15","750","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9953010872","40.602839995","985554.81726","158907.298377"
"POINT (-73.91845412355228 40.739489030086105)","sidewalk","Ricas pupusas & Mas","Ricas pupusas & Mas inc","Ricas pupusas & Mas","Other","Restaurant","4755 47 street",,"Queens","11377","4755 47 street, Queens, NY","4","4","16","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9184541236","40.7394890301","1006847.71168","208702.922867"
"POINT (-73.95787144650872 40.72183158724093)","sidewalk","Brooklyn Brewery","Brooklyn Brewery","Brooklyn Brewery","Other","Brewery that offers beer, wine, cider, and snacks for on-premise.","75 Wythe Avenue",,"Brooklyn","11249","75 Wythe Avenue , Brooklyn, NY","48","7","336","0","0",,"yes","no","no",,"yes","2021-05-10T00:00:00.000","2022-11-02T00:00:00.000","-73.9578714465","40.7218315872","995927.614428","202262.054843"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","AT&T Mobility Supply, LLC","AT&T Mobility Supply, LLC","AT&T Mobility Supply, LLC","Electronics Store; Cell Phone Store",,"1330 AVENUE OF THE AMERICAS",,"Manhattan","10019","1330 AVENUE OF THE AMERICAS, Manhattan, NY","15","19","285","0","0",,"yes","no","yes","yes","yes","2020-11-25T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-0.0000000001911132 -0.0000000001788617)","openstreets",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.9595913298724 40.65412521426477)","sidewalk","CloseOut Heaven","CloseOut Heaven","CloseOut Heave","General Merchandise Store (99 cent store, etc.)",,"768 FLATBUSH AVENUE",,"Brooklyn","11226","768 FLATBUSH AVENUE, Brooklyn, NY","250","50","12500","0","0",,"yes","no","no",,"yes","2021-01-21T00:00:00.000","2022-11-02T00:00:00.000","-73.9595913299","40.6541252143","995462.25906","177594.423732"
"POINT (-73.9734730109172 40.78356971691973)","sidewalk","Salon Riz","Salon Riz LTD","Salon Riz","Hair, Nail, Beauty Salon, Barber Shop, Misc. Personal Care",,"78 W. 82nd St.","Sublevel","Manhattan","10024","78 W. 82nd St., Manhattan, NY","9","4","36","0","0",,"yes","no","yes","yes","yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9734730109","40.7835697169","991596.205112","224753.558417"
"POINT (-73.96392911843785 40.765036205070366)","sidewalk","AT&T MOBILITY SUPPLY, LLC","AT&T MOBILITY","AT&T MOBILITY","Electronics Store; Cell Phone Store",,"1103 THIRD AVENUE",,"Manhattan","10065","1103 THIRD AVENUE, Manhattan, NY","20","14","280","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9639291184","40.7650362051","994242.006579","218002.123757"
"POINT (-73.86972039648612 40.7093834139339)","sidewalk","rainbow","rainbow usa inc","rainbow","Clothing, Shoe, Accessories Store",,"8000 cooper ave",,"Queens","11385","8000 cooper ave, Queens, NY","50","10","500","0","0",,"yes","no","no",,"yes","2020-11-03T00:00:00.000","2022-11-02T00:00:00.000","-73.8697203965","40.7093834139","1020368.93858","197750.856845"
"POINT (-74.00191058366222 40.732151240065356)","sidewalk","Greenwich House Pottery","Greenwich House, Inc","Greenwich House Pottery","Hardware, Arts & Crafts",,"16 Jones St.",,"Manhattan","10014","16 Jones St., Manhattan, NY","26","12","312","0","0",,"yes","no","yes","yes","yes","2020-11-06T00:00:00.000","2022-11-02T00:00:00.000","-74.0019105837","40.7321512401","983720.487268","206019.022395"
"POINT (-74.00955220155947 40.714335893679134)","sidewalk","Holistic-dentists.com","Holistic-dentists.com","Holistic-dentists.com","Pharmacy, Optical Store, Health Store",,"Ground Fl - Holistic Dentists",,"Manhattan","10007","Ground Fl - Holistic Dentists, Manhattan, NY","50","20","1000","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-74.0095522016","40.7143358937","981601.9272","199528.480586"
"POINT (-73.95125581916346 40.80010438731124)","sidewalk","Los 3 charros","Los 3 charros","Los 3 charros","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"57 Lenox ave",,"Manhattan","10026","57 Lenox ave , Manhattan, NY","32","5","160","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9512558192","40.8001043873","997745.531396","230780.351809"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","AT&T Mobility Supply, LLC","AT&T","AT&T Mobility","Electronics Store; Cell Phone Store",,"841 FLATBUSH AVENUE",,"Brooklyn","11226","841 FLATBUSH AVENUE, Brooklyn, NY","17","24","408","0","0",,"yes","no","no",,"yes","2020-12-09T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.83450000034179 40.76982000022782)","sidewalk","Black Diamondzz inc","Black Diamondzz inc","Black Diamondzz inc","Hair, Nail, Beauty Salon, Barber Shop, Misc. Personal Care",,"218-91 Hempstead ave",,"Queens","11429","218-91 Hempstead ave , Queens, NY","100","10","1000","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.8345000003","40.7698200002","1030091.8896","219786.266842"
"POINT (-73.9614979422963 40.801042676170844)","sidewalk","Hood Meditation","Hood Meditation","Hood Meditation","Gift store, Stationary",,"995 Columbus Avenue",,"Manhattan","10025","995 Columbus Avenue , Manhattan, NY","5","24","120","0","0",,"yes","no","no",,"yes","2021-02-09T00:00:00.000","2022-11-02T00:00:00.000","-73.9614979423","40.8010426762","994909.701438","231120.791089"
"POINT (-73.95929327053317 40.65031786031532)","sidewalk","danice","danice","danice","Clothing, Shoe, Accessories Store",,"2101 church ave",,"Brooklyn","11226","2101 church ave, Brooklyn, NY","30","15","450","0","0",,"yes","no","no",,"yes","2021-03-25T00:00:00.000","2022-11-02T00:00:00.000","-73.9592932705","40.6503178603","995545.606662","176207.337924"
"POINT (-73.90430161410076 40.87870301265021)","sidewalk","Rainbow","Rainbow apparel company","Rainbow","Clothing, Shoe, Accessories Store",,"190 W 231st St, Bronx, NY, 10463",,"Bronx","10463","190 W 231st St, Bronx, NY, 10463, Bronx, NY","41","5","205","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9043016141","40.8787030127","1010714.19345","259427.468399"
"POINT (-73.93487046910354 40.847675298638784)","sidewalk","XIOS","Clothing Emporium Inc.","XIOS","Clothing, Shoe, Accessories Store",,"1370 Saint Nicholas Ave.",,"Manhattan","10033","1370 Saint Nicholas Ave., Manhattan, NY","10","5","50","0","0",,"yes","no","no",,"yes","2020-10-30T00:00:00.000","2022-11-02T00:00:00.000","-73.9348704691","40.8476752986","1002269.16539","248115.10979"
"POINT (-73.82678367834238 40.760436914795356)","sidewalk","COQUETA","MARCUS ACUARIO INC","COQUETA","Clothing, Shoe, Accessories Store",,"136-93 ROOSEVELT AVE",,"Queens","11354","136-93 ROOSEVELT AVE, Queens, NY","13","5","65","0","0",,"yes","no","no",,"yes","2020-10-31T00:00:00.000","2022-11-02T00:00:00.000","-73.8267836783","40.7604369148","1032235.99293","216371.837975"
"POINT (-73.94831947610827 40.7784279667121)","sidewalk","EarthworksNYC, Inc.","EarthworksNYC, Inc.","EarthworksNYC, Inc.","Home Goods Store",,"1705 1st Ave.","South Store","Manhattan","10128","1705 1st Ave. , Manhattan, NY","12","15","180","0","0",,"yes","no","no",,"yes","2021-04-08T00:00:00.000","2022-11-02T00:00:00.000","-73.9483194761","40.7784279667","998563.159682","222883.35448"
"POINT (-73.93729345640168 40.76547523525956)","sidewalk","Remix Market NYC","Lug Life LLC","Remix Market NYC","Furniture Store",,"33-56 11 St",,"Queens","11106","33-56 11 St, Queens, NY","20","50","1000","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9372934564","40.7654752353","1001620.24445","218166.236946"
"POINT (-73.96164699236495 40.77142328517698)","sidewalk","Ever/Body","Ever/Body","Ever/Body","Beauty Supply, Fragrance, Cosmetics Store",,"1028 Lexington Ave",,"Manhattan","10021","1028 Lexington Ave, Manhattan, NY","12","5","60","0","0",,"yes","no","no",,"yes","2022-03-09T00:00:00.000","2022-11-02T00:00:00.000","-73.9616469924","40.7714232852","994873.160172","220329.41733"
"POINT (-73.82039767383873 40.68767009262738)","sidewalk","W. M. C. Gifts & Accessories","Xian Xiong Xu","W. M. C. Gifts & Accessories","Gift store, Stationary",,"123-10 Liberty Avenue",,"Queens","11419","123-10 Liberty Avenue, Queens, NY","20","12","240","0","0",,"yes","no","no",,"yes","2020-11-12T00:00:00.000","2022-11-02T00:00:00.000","-73.8203976738","40.6876700926","1034059.45713","189864.253195"
"POINT (-73.98915282938673 40.74619908299749)","sidewalk","PARAMOUNT PARTY","PARAMOUNT CALENDAR & ADVERTISING SPECAILTY CO INC.","PARAMOUNT PARTY","Other","PARTY SUPPLIES","52 WEST 29TH STREET",,"Manhattan","10001","52 WEST 29TH STREET, Manhattan, NY","15","13","195","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9891528294","40.746199083","987255.628163","211137.276594"
"POINT (-73.83138643340612 40.76206430425859)","sidewalk","International Furniture Co.,Inc","International Furniture Co.,Inc","International Furniture Co.,Inc","Furniture Store",,"36-45 Main Street",,"Queens","11354","36-45 Main Street, Queens, NY","27","15","405","0","0",,"yes","no","no",,"yes","2020-10-30T00:00:00.000","2022-11-02T00:00:00.000","-73.8313864334","40.7620643043","1030959.75532","216962.260351"
"POINT (-73.99180358415812 40.71761019928147)","sidewalk","Grand Tea and Imports","GTW Tea & Water","Grand Tea and Imports","Home Goods Store",,"298 Grand street",,"Manhattan","10002","298 Grand street, Manhattan, NY","10","5","50","0","0",,"yes","no","no",,"yes","2020-11-05T00:00:00.000","2022-11-02T00:00:00.000","-73.9918035842","40.7176101993","986522.108633","200721.371901"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-74.00164240054318 40.72237093572643)","sidewalk","FRAME","FRAME","frame soho","Clothing, Shoe, Accessories Store",,"51 GREENE ST","STORE FRONT","Manhattan","10013","51 GREENE ST, Manhattan, NY","15","6","90","0","0",,"yes","no","yes","yes","yes","2020-11-11T00:00:00.000","2022-11-02T00:00:00.000","-74.0016424005","40.7223709357","983794.746633","202455.75229"
"POINT (-73.96511785439165 40.710398042808265)","sidewalk","Oxalis","Oxalis US Inc.","Oxalis","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"102 Broadway","B102","Brooklyn","11249","102 Broadway, Brooklyn, NY","10","30","300","0","0",,"yes","no","no",,"yes","2021-01-12T00:00:00.000","2022-11-02T00:00:00.000","-73.9651178544","40.7103980428","993920.641408","198095.583189"
"POINT (-73.82471846052181 40.869153803723925)","sidewalk","AT&T MOBILITY SUPPLY, LLC","AT&T MOBILITY","AT&T MOBILITY","Electronics Store; Cell Phone Store",,"2152 BARTOW AVENUE",,"Bronx","10475","2152 BARTOW AVENUE, Bronx, NY","18","14","252","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.8247184605","40.8691538037","1032728.85972","255982.361116"
"POINT (-73.94199268626305 40.700792255579316)","sidewalk","Kidstown","Versace Retail Systems LLC","Kidstown","Clothing, Shoe, Accessories Store",,"749 Broadway","street","Brooklyn","11206","749 Broadway, Brooklyn, NY","38","16","608","0","0",,"yes","no","no",,"yes","2020-12-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9419926863","40.7007922556","1000334.12366","194599.306717"
"POINT (-74.01126090142222 40.64422560024129)","sidewalk","Perfect Pair 5th Ave Inc","Perfect Pair 5th Ave Inc","Top Shoes","Clothing, Shoe, Accessories Store",,"5116 5th Ave",,"Brooklyn","11220","5116 5th Ave, Brooklyn, NY","15","18","270","0","0",,"yes","no","no",,"yes","2020-10-30T00:00:00.000","2022-11-02T00:00:00.000","-74.0112609014","40.6442256002","981124.955713","173985.33679"
"POINT (-73.89522418075111 40.74261099641739)","sidewalk","BELLA IMAGEN UNISEX SALON","BELLA IMAGEN UNISEX SALON","BELLA IMAGEN UNISEX SALON","Beauty Supply, Fragrance, Cosmetics Store",,"69-08 WOODSIDE AVE",,"Queens","11377","69-08 WOODSIDE AVE, Queens, NY","13","17","221","0","0",,"yes","no","no",,"yes","2021-01-28T00:00:00.000","2022-11-02T00:00:00.000","-73.8952241808","40.7426109964","1013283.74999","209847.199778"
"POINT (-73.92078672281013 40.826274710585324)","sidewalk","Rainbow","Rainbow apparel company","Rainbow","Clothing, Shoe, Accessories Store",,"200 East 161 street",,"Bronx","10451","200 East 161 street , Bronx, NY","35","5","175","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9207867228","40.8262747106","1006172.7173","240321.293357"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","AT&T Mobility Supply, LLC","AT&T","AT&T Mobility","Electronics Store; Cell Phone Store",,"37-14 JUNCTION BOULEVARD",,"Queens","11368","37-14 JUNCTION BOULEVARD, Queens, NY","17","26","442","0","0",,"yes","no","no",,"yes","2020-12-09T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.8187380572956 40.68821512716859)","sidewalk","Liberty ave electronics 11","Liberty ave electronics 11","Liberty ave electronics 11","Electronics Store; Cell Phone Store",,"125-16 liberty ave",,"Queens","11419","125-16 liberty ave, Queens, NY","18","24","432","0","0",,"yes","no","yes","yes","yes","2021-11-26T00:00:00.000","2022-11-02T00:00:00.000","-73.8187380573","40.6882151272","1034519.31021","190063.772809"
"POINT (-73.96139411026726 40.71143157275301)","sidewalk","Sun And Air","los wolves inc","Sun And Air","Other","bicycle sales and repair","788 Driggs Ave",,"Brooklyn","11211","788 Driggs Ave, Brooklyn, NY","30","3","90","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9613941103","40.7114315728","994952.837178","198472.562422"
"POINT (-73.94246752111822 40.702742557308184)","sidewalk","Babyblue","BabyblueOfGrahamInc.","Babyblue","Clothing, Shoe, Accessories Store",,"39 Graham Avenue",,"Brooklyn","11206","39 Graham Avenue , Brooklyn, NY","50","20","1000","0","0",,"yes","no","no",,"yes","2020-11-05T00:00:00.000","2022-11-02T00:00:00.000","-73.9424675211","40.7027425573","1000201.99597","195309.772816"
"POINT (-73.87005491766391 40.750300637873316)","sidewalk","Babyblue","Babyblue7Inc.","Babyblue","Clothing, Shoe, Accessories Store",,"3747A Junction Blvd",,"Queens","11368","3747A Junction Blvd, Queens, NY","35","20","700","0","0",,"yes","no","no",,"yes","2020-11-05T00:00:00.000","2022-11-02T00:00:00.000","-73.8700549177","40.7503006379","1020254.08119","212658.123618"
"POINT (-73.9920685418546 40.75421134089171)","sidewalk","Wireless world of big apple","Wireless world of big apple llc.","Wireless world of big apple","Electronics Store; Cell Phone Store",,"541 8th Avenue",,"Manhattan","10018","541 8th Avenue, Manhattan, NY","15","15","225","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9920685419","40.7542113409","986447.452942","214056.313735"
"POINT (-73.9281497114765 40.864985133061325)","sidewalk","Compton eye associates","Compton eye associates","Compton eye associates","Pharmacy, Optical Store, Health Store",,"4738 broadway",,"Manhattan","10040","4738 broadway, Manhattan, NY","25","20","500","0","0",,"yes","no","no",,"yes","2020-11-20T00:00:00.000","2022-11-02T00:00:00.000","-73.9281497115","40.8649851331","1004123.40119","254423.19888"
"POINT (-73.96750938565732 40.768836117699784)","sidewalk","Lingua Franca NYC","Lingua Franca NYC","Lingua Franca NYC","Clothing, Shoe, Accessories Store",,"801 Madison Avenue",,"Manhattan","10065","801 Madison Avenue, Manhattan, NY","2","4","8","0","0",,"yes","no","no",,"yes","2020-11-25T00:00:00.000","2022-11-02T00:00:00.000","-73.9675093857","40.7688361177","993249.722146","219386.169545"
"POINT (-73.94242200698713 40.702472451195966)","sidewalk","Best Wireless Graham Avenue Inc.","Best Wireless Graham Avenue Inc.","Best Wireless Graham Avenue Inc.","Electronics Store; Cell Phone Store",,"31 Graham Avenue",,"Brooklyn","11206","31 Graham Avenue, Brooklyn, NY","5","5","25","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.942422007","40.7024724512","1000214.68033","195211.373407"
"POINT (-73.99277941257819 40.73023794726852)","sidewalk","AT&T MOBILITY SUPPLY, LLC","AT&T MOBILITY","AT&T MOBILITY","Electronics Store; Cell Phone Store",,"745 BROADWAY",,"Manhattan","10003","745 BROADWAY, Manhattan, NY","34","18","612","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9927794126","40.7302379473","986251.222364","205322.026742"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.96886667944142 40.76668683616908)","sidewalk","Lalaounis","Ilias Lalaounis Corp.","Ilias Lalaounis","Jewellery  Store",,"31 east 64th street",,"Manhattan","10065","31 east 64th street, Manhattan, NY","27","15","405","0","0",,"yes","no","yes","yes","yes","2021-03-17T00:00:00.000","2022-11-02T00:00:00.000","-73.9688666794","40.7666868362","992874.03753","218602.978526"
