"date","program_area","program_type","service_category","provider","program_site_name","borough","street_address","city","state","zipcode","latitude","longitude","x_coordinate","y_coordinate","communitydistrict","community_name","city_council_district","census_tract_2010","nda","nta","bin","bbl","geocoded_column","ntaname","totalslots","totalparticipants","contract","portfolioid","age_range"
"2022","Discretionary","Over Threshold","Community Services","Per Scholas, Inc.","Per Scholas, Inc.","Bronx","804 East 138th Street","Bronx","NY","10454","40.80336761","-73.91040802","1009062","232135","Bronx CD 001","Bronx CD 001","Council District 017 Bronx","19","NDA001X","BX39","2004004","2025890016","POINT (-73.91040802 40.80336761)","Mott Haven-Port Morris","NA","NA","930004T","NA","NA"
"2022","Discretionary","Over Threshold","Community Services","Good Shepherd Services","Walton Educational Campus","Bronx","2780 Reservoir Avenue","Bronx","NY","10468","40.87029235","-73.89830876","1012375","256365","Bronx CD 007","Bronx CD 007","Council District 011 Bronx","409","NDA008X","BX28","2015241","2032470070","POINT (-73.89830876 40.87029235)","Van Cortlandt Village","NA","NA","931138T","NA","NA"
"2022","Discretionary","Under Threshold","Community Services","Earth Matter NY","Earth Matter NYâ€™s Soil Start Farm","Manhattan","758 Enright Road","New York","NY","10004","40.6870026","-74.0205891","978615","189571","Manhattan CD 001","Manhattan CD 001","Council District 001 Manhattan","5","Out of NDA","MN99","NA","NA","POINT (-74.0205891 40.6870026)","NA","NA","NA","930526T","NA","NA"
"2022","Discretionary","Under Threshold","Community Services","LAAL NYC","Laal Baari","Bronx","249 East Mosholu Parkway North","Bronx","NY","10467","40.8735003","-73.8806928","1017153","257559","Bronx CD 007","Bronx CD 007","Council District 011 Bronx","419","NDA007X","BX43","2017992","2033350039","POINT (-73.8806928 40.8735003)","Norwood","NA","NA","931514T","NA","NA"
"2022","Discretionary","Under Threshold","Community Services","Workers Defense League, Inc","WORKERS DEFENSE LEAGUE","Manhattan","220 East 23rd Street","New York","NY","10010","40.73854788","-73.98249498","989101","208350","Manhattan CD 006","Manhattan CD 006","Council District 002 Manhattan","64","Out of NDA","MN21","1088660","1009030047","POINT (-73.98249498 40.73854788)","Gramercy","NA","NA","930424T","NA","NA"
"2022","SYEP","WLG (OY)","Jobs and Internships","Community Association of Progressive Dominicans Inc","SYEP Option 2 OY- Bronx","Bronx","1865 Morris Avenue","Bronx","NY","10453","40.84854631","-73.90841564","1009585","248428","Bronx CD 005","Bronx CD 005","Council District 014 Bronx","23301","NDA005X","BX41","2007902","2028270001","POINT (-73.90841564 40.84854631)","Mount Hope","NA","NA","91094","NA","Ages 16 - 21"
"2022","SYEP","Younger Youth (YY)","Educational Services; Jobs and Internships","Woodycrest Center For Human Development Inc","Woodycrest Center","Bronx","153 West 165 Street","Bronx","NY","10452","40.83454355","-73.92893208","1003916","243332","Bronx CD 004","Bronx CD 004","Council District 008 Manhattan","193","NDA004X","BX26","2003478","2025260034","POINT (-73.92893208 40.83454355)","Highbridge","NA","NA","91153","NA","Ages 14 - 15"
"2020","Discretionary","Over Threshold","Community Services","The Brotherhood/Sister Sol, Inc","The Brotherhood/Sister Sol, Inc","Manhattan","140 HAMILTON PLACE","New York","NY","10031","40.8242746","-73.948755","998469","239587","Manhattan CD 009","Manhattan CD 009","Council District 006 Manhattan","229","Out of NDA","MN04","1061887","1020750026","POINT (-73.948755 40.8242746)","Hamilton Heights","NA","NA","68399R","NA","NA"
"2022","Discretionary","Under Threshold","Community Services","Grand Street District Management Association Inc","Grand Street District Management Association, Inc.","Brooklyn","246 Graham Avenue","Brooklyn","NY","11206","40.7105846","-73.9434995","999848","198194","Brooklyn CD 001","Brooklyn CD 001","Council District 034 Brooklyn","493","NDA004K","BK78","3327887","3030260001","POINT (-73.9434995 40.7105846)","Bushwick South","NA","NA","931675T","NA","NA"
"2020","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","New York Junior Tennis League Inc","I.S. 228 David A. Boody","Brooklyn","228 AVENUE S","Brooklyn","NY","11223","40.601299874031","-73.9769528274913","990650","158347","Brooklyn CD 011","Brooklyn CD 011","Council District 047 Brooklyn","410","NDA011K","BK29","3190273","3070840001","POINT (-73.9769528274913 40.601299874031)","Bensonhurst East","100","112","134213B","NA","Grades 6 - 8"
"2020","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Police Athletic League, Inc.","PAL Webster Center","Bronx","2255 WEBSTER AVENUE","Bronx","NY","10457","40.8559629","-73.8961628","1013033","251048","Bronx CD 005","Bronx CD 005","Council District 015 Bronx","38302","NDA005X","BX40","2013329","2031430203","POINT (-73.8961628 40.8559629)","Fordham South","50","66","143130A","143130","Grades 6 - 8"
"2020","Beacon","Beacon","Afterschool Programs; Community Services; Educational Services; Family Support","The Child Center of NY Inc","M.S. 72 Catherine & Count Basie School","Queens","133-25 GUY R BREWER BOULEVARD","Rochdale Village","NY","11434","40.6737687209802","-73.7759505244503","1046399","184828","Queens CD 012","Queens CD 012","Council District 028 Queens","33402","Out of NDA","QN02","4270059","4124950270","POINT (-73.7759505244503 40.6737687209802)","Springfield Gardens North","300","357","99356","NA","Ages 4+"
"2021","Discretionary","Over Threshold","Community Services","Bronx Parent Housing Network, Inc.","Lehman College, Dept. Social Work CUNY","Bronx","250 BEDFORD PARK BL WEST","Bronx","NY","10468","40.8708674","-73.8866667","1013880","258092","Bronx CD 007","Bronx CD 007","Council District 011 Bronx","409","Bronx Neighborhood Development Area 003","BX28","2097309","2032470165","POINT (-73.8866667 40.8708674)","Van Cortlandt Village","NA","NA","18179S","NA","NA"
"2021","Discretionary","Under Threshold","Community Services","Central City Chorus,","Main Location","Manhattan","552 WEST END AVENUE","New York","NY","10024","40.7892501","-73.97708","990482","226862","Manhattan CD 007","Manhattan CD 007","Council District 006 Manhattan","175","NDA Not-defined","MN12","1033199","1012340061","POINT (-73.97708 40.7892501)","Upper West Side","NA","NA","38577S","NA","NA"
"2022","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","New York Edge, Inc.","P.S. 178 Saint Clair Mckelway","Brooklyn","2163 Dean Street","Brooklyn","NY","11233","40.6752336","-73.915361","1007612","185217","Brooklyn CD 016","Brooklyn CD 016","Council District 041 Brooklyn","303","NDA016K","BK79","3038718","3014400056","POINT (-73.915361 40.6752336)","Ocean Hill","50","55","142251B","142251","Grades 6 - 8"
"2021","Discretionary","Under Threshold","Community Services","Meals on Wheels of Staten Island, Inc.","Administrative site","Staten Island","304 PORT RICHMOND AVENUE","Staten Island","NY","10302","40.6340603818175","-74.1360595355611","946486","170311","Richmond CD 001","Richmond CD 001","Council District 049 Richmond","213","NDA001R","SI28","5025678","5010890036","POINT (-74.1360595355611 40.6340603818175)","Port Richmond","NA","NA","93036S","NA","NA"
"2020","Discretionary","Over Threshold","Community Services","The New York Board of Rabbis, Inc.","The New York Board of Rabbis, Inc","Manhattan","171 MADISON AVENUE","New York","NY","10016","40.74714","-73.983053","988943","211480","Manhattan CD 005","Manhattan CD 005","Council District 002 Manhattan","74","NDA Not-defined","MN17","1017082","1008630027","POINT (-73.983053 40.74714)","Midtown-Midtown South","NA","NA","38114R","NA","NA"
"2022","Discretionary","Over Threshold","Community Services","Teens for Food Justice, Inc.","DeWitt Clinton High School Educational Campus","Bronx","100 WEST MOSHOLU PARKWAY SOUTH","Bronx","NY","10468","40.88217724","-73.88690997","1015522","260699","Bronx CD 007","Bronx CD 007","Council District 011 Bronx","409","NDA008X","BX28","2095215","2032510201","POINT (-73.88690997 40.88217724)","Van Cortlandt Village","NA","NA","930970T","NA","NA"
"2020","Discretionary","Under Threshold","Community Services","Young Faces Smiling","Young faces Smiling","Manhattan","400 WEST 155 STREET","New York","NY","10032","40.8304961346086","-73.9404635536696","1000714","241862","Manhattan CD 009","Manhattan CD 009","Council District 009 Manhattan","23501","NDA009M","MN04","1089726","1020697501","POINT (-73.9404635536696 40.8304961346086)","Hamilton Heights","NA","NA","28866R","NA","NA"
"2022","Discretionary","Under Threshold","Community Services","Bobbi and The Strays, Inc","Bobbi and The Strays, Inc","Queens","107-57 100th Street","Ozone Park","NY","11417","40.67922413","-73.83908384","1028831","186872","Queens CD 010","Queens CD 010","Council District 032 Queens","864","Out of NDA","QN55","4202837","4095390087","POINT (-73.83908384 40.67922413)","South Ozone Park","NA","NA","931565T","NA","NA"
"2021","Discretionary","Over Threshold","Community Services","Bergen Basin Community Development Corporation","MQH Food Pantry","Brooklyn","1304 EAST 57 STREET","Brooklyn","NY","11234","40.6214835","-73.920584","1006360","165660","Brooklyn CD 018","Brooklyn CD 018","Council District 046 Brooklyn","690","NDA Not-defined","BK58","3345504","3078810033","POINT (-73.920584 40.6214835)","Flatlands","NA","NA","28340S","NA","NA"
"2020","Discretionary","Over Threshold","Community Services","20 20 Vision For Schools, Inc.","20 20 Vision for Schools, Inc.","Brooklyn","8225 5 AVENUE","Brooklyn","NY","11209","40.6240812910015","-74.0248382022792","977355","166647","Brooklyn CD 010","Brooklyn CD 010","Council District 043 Brooklyn","142","Out of NDA","BK31","3152153","3060090001","POINT (-74.0248382022792 40.6240812910015)","Bay Ridge","NA","NA","62227R","NA","NA"
"2020","Discretionary","Over Threshold","Community Services","New York harbor Foundation, Inc.","I.S. 289","Manhattan","201 WARREN STREET","New York","NY","10282","40.716667220144","-74.0135420064774","980496","200378","Manhattan CD 001","Manhattan CD 001","Council District 001 Manhattan","31703","Out of NDA","MN25","1085568","1000160220","POINT (-74.0135420064774 40.716667220144)","Battery Park City-Lower Manhattan","NA","NA","32736R","NA","NA"
"2021","Discretionary","Over Threshold","Community Services","Read Alliance, Inc.","PS 154 Jonathan D. Hyatt","Bronx","333 EAST 135 STREET","Bronx","NY","10454","40.8080333426362","-73.9262041979786","1004679","233674","Bronx CD 001","Bronx CD 001","Council District 008 Manhattan","23","NDA001X","BX39","2097030","2022980001","POINT (-73.9262041979786 40.8080333426362)","Mott Haven-Port Morris","NA","NA","34075S","NA","NA"
"2021","Discretionary","Under Threshold","Community Services","Bottomless Closet","Bottomless Closet","Manhattan","16 EAST 52 STREET","New York","NY","10022","40.7591415","-73.9753353","991067","215949","Manhattan CD 005","Manhattan CD 005","Council District 004 Manhattan","102","NDA Not-defined","MN17","1035475","1012870058","POINT (-73.9753353 40.7591415)","Midtown-Midtown South","NA","NA","39065S","NA","NA"
"2020","Cornerstone","Cornerstone","Afterschool Programs; Community Services; Educational Services; Family Support","CAMBA, Inc.","Brevoort  Community Center","Brooklyn","280 RALPH AVENUE","Brooklyn","NY","11233","40.6797931867901","-73.9221530730439","1005842","186953","Brooklyn CD 003","Brooklyn CD 003","Council District 041 Brooklyn","381","NDA008K","BK61","3325173","3016880001","POINT (-73.9221530730439 40.6797931867901)","Crown Heights North","109","142","99203A","99203-3","Ages 4+"
"2020","Discretionary","Under Threshold","Community Services","Long Island Gay and Lesbian Youth, Inc.","Queens Technical High School","Queens","37-02 47 AVENUE","Long Island City","NY","11101","40.7422048112668","-73.9282186127598","1004141","209690","Queens CD 002","Queens CD 002","Council District 026 Queens","189","NDA Not-defined","QN31","4003259","4002280020","POINT (-73.9282186127598 40.7422048112668)","Hunters Point-Sunnyside-West Maspeth","NA","NA","93007R","NA","NA"
"2022","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Hands In 4 Youth Inc","M.S. 250 West Side Collaborative Middle School","Manhattan","735 WEST END AVENUE","New York","NY","10025","40.7951564","-73.97329217","991645","228975","Manhattan CD 007","Manhattan CD 007","Council District 006 Manhattan","183","Out of NDA","MN12","1034190","1012530065","POINT (-73.97329217 40.7951564)","Upper West Side","50","36","134116C","134116","Grades 6 - 8"
"2022","SYEP","Older Youth (OY)","Educational Services; Jobs and Internships","The Children's Aid Society","Southern Boulevard","Bronx","1522 Southern Blvd.","Bronx","NY","10460","40.8342112","-73.889225","1014811","243261","Bronx CD 003","Bronx CD 003","Council District 017 Bronx","157","NDA003X","BX75","2010589","2029820001","POINT (-73.889225 40.8342112)","Crotona Park East","NA","NA","91145","NA","Ages 16 - 24"
"2020","Discretionary","Under Threshold","Community Services","BK ROT, Inc.","Know Waste Lands Community Garden","Manhattan","245 WEST 129 STREET","New York","NY","10027","40.8118738117353","-73.9473150904418","998834","235069","Manhattan CD 010","Manhattan CD 010","Council District 009 Manhattan","224","NDA010M","MN03","1089330","1019330020","POINT (-73.9473150904418 40.8118738117353)","Central Harlem North-Polo Grounds","NA","NA","28842R","NA","NA"
"2021","Literacy and Immigrant Services","Adult Literacy - BENL/ESOL","Educational Services","Jewish Community Center of Staten Island, Inc.","PS 36","Staten Island","255 IONIA AVENUE","Staten Island","NY","10312","40.5430829024135","-74.1822991588054","933583","137189","Richmond CD 003","Richmond CD 003","Council District 051 Richmond","17005","NDA Not-defined","SI01","5107742","5062620012","POINT (-74.1822991588054 40.5430829024135)","Annadale-Huguenot-Prince's Bay-Eltingville","350","201","766578A","NA","Ages 16+"
"2021","Compass","COMPASS Elementary","Afterschool Programs; Community Services; Educational Services","NIA Community Services Network Inc","P.S. 229 Dyker","Brooklyn","1400 BENSON AVENUE","Brooklyn","NY","11228","40.6109630875035","-74.013376498176","980536","161867","Brooklyn CD 011","Brooklyn CD 011","Council District 043 Brooklyn","170","NDA011K","BK27","3167212","3063910024","POINT (-74.013376498176 40.6109630875035)","Bath Beach","157","115","126051A","126051","Grades K - 5"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","The B.E..L.L. Foundation, Inc.","Eagle Academy for Young Men III","Queens","171-10 LINDEN BOULEVARD","QUEENS","NY","11434","40.6917116148247","-73.7789228903618","1045558","191363","Queens CD 012","Queens CD 012","Council District 027 Queens","432","NDA Not-defined","QN08","4268543","4123930001","POINT (-73.7789228903618 40.6917116148247)","St. Albans","151","152","142104A","142104","Grades 6 - 8"
"2020","Discretionary","Over Threshold","Community Services","Fund for the City of New York, Inc.","Freshkills Park","Staten Island","250 WILD AVENUE","Staten Island","NY","10314","40.5877822993814","-74.1906732963996","931291","153479","Richmond CD 002","Richmond CD 002","Council District 050 Richmond","291.02","NDA Not-defined","SI05","NA","NA","POINT (-74.1906732963996 40.5877822993814)","New Springville-Bloomfield-Travis","NA","NA","68469R","NA","NA"
"2022","Discretionary","Under Threshold","Community Services","Internal Creations, Inc.","Holyrood Church","Manhattan","715 West 179 Street","New York","NY","10033","40.8493774","-73.938278","1001526","248611","Manhattan CD 012","Manhattan CD 012","Council District 010 Manhattan","265","NDA012M","MN36","1064262","1021760030","POINT (-73.938278 40.8493774)","Washington Heights South","NA","NA","930593T","NA","NA"
"2020","Discretionary","Over Threshold","Community Services","Sunnyside Community Services Inc","Cornerstone at Woodside Houses","Manhattan","442 EAST HOUSTON STREET","NEW YORK","NY","10002","40.7196182012558","-73.977702409029","990375","201446","Manhattan CD 003","Manhattan CD 003","Council District 002 Manhattan","20","NDA003M","MN28","1004349","1003560100","POINT (-73.977702409029 40.7196182012558)","Lower East Side","NA","NA","68432R","NA","NA"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Hudson Guild","Elliot Center","Manhattan","441 WEST 26 STREET","New York","NY","10001","40.7495592","-74.0014717","983592","212316","Manhattan CD 004","Manhattan CD 004","Council District 003 Manhattan","97","Out of NDA","MN13","1012827","1007240010","POINT (-74.0014717 40.7495592)","Hudson Yards-Chelsea-Flatiron-Union Square","30","32","143121A","143121","Grades 6 - 8"
"2020","Discretionary","Under Threshold","Community Services","Cody Cares for Kids, Inc.","CodyCares for Kids","Brooklyn","5318 AVENUE N","Brooklyn","NY","11234","40.6189748","-73.92326","1005553","164778","Brooklyn CD 018","Brooklyn CD 018","Council District 046 Brooklyn","682","NDA Not-defined","BK58","3221121","3078980048","POINT (-73.92326 40.6189748)","Flatlands","NA","NA","23121R","NA","NA"
"2022","Literacy and Immigrant Services","Adult Literacy Pilot Project","NA","Southern Queens Park Association,Inc.","Roy Wilkins Center","Queens","177-01 BAISLEY BLVD","Rochdale Village","NY","11434","40.68636619","-73.76838751","1048466","189393","Queens CD 012","Queens CD 012","Council District 027 Queens","426","Out of NDA","QN08","4268835","4124060180","POINT (-73.76838751 40.68636619)","St. Albans","NA","NA","931175T","NA","Ages 16+"
"2020","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Global Kids, Inc.","P.S. 109","Brooklyn","1001 EAST 45 STREET","Brooklyn","NY","11203","40.6364547689958","-73.9335819642081","1002684","171161","Brooklyn CD 017","Brooklyn CD 017","Council District 045 Brooklyn","836","Out of NDA","BK91","3114526","3050220002","POINT (-73.9335819642081 40.6364547689958)","East Flatbush-Farragut","121","126","142136A","142136","Grades 6 - 8"
"2022","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","East Harlem Tutorial Program Inc","P.S. 171 Patrick Henry","Manhattan","19 East  103 Street","New York","NY","10029","40.79212204","-73.95196059","997552","227872","Manhattan CD 011","Manhattan CD 011","Council District 008 Manhattan","168","NDA011M","MN33","1051497","1016090007","POINT (-73.95196059 40.79212204)","East Harlem South","120","82","142342B","142342-1","Grades 6 - 8"
"2022","Literacy and Immigrant Services","Adult Literacy - NDA (ABE/HSE/Spanish HSE)","Educational Services","Harlem Commonwealth Council Inc","Harlem Commonwealth Council, Inc.","Manhattan","361 W 125th Street","New York","NY","10027","40.8112029","-73.953019","997267","234834","Manhattan CD 009","Manhattan CD 009","Council District 009 Manhattan","209.01","NDA009M","MN09","1059308","1019520009","POINT (-73.953019 40.8112029)","Morningside Heights","122","122","830907B","NA","Ages 16+"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","Sheltering Arms Children and Family Services, Inc.","The Brooklyn Green School","Brooklyn","130 ROCHESTER AVENUE","Brooklyn","NY","11213","40.6746559011601","-73.9277938139728","1004279","185080","Brooklyn CD 008","Brooklyn CD 008","Council District 036 Brooklyn","307","NDA008K","BK61","3035887","3013550023","POINT (-73.9277938139728 40.6746559011601)","Crown Heights North","100","114","135300C","135300","Grades 6 - 8"
"2022","CSBG","Housing","Community Services; Family Support; Housing Support; Immigrant Services","West Bronx Housing & Neighborhood Resource Center","WBHNRC","Bronx","2930 Wallace Avenue","Bronx","NY","10467","40.869054","-73.864059","1021770","255869","Bronx CD 011","Bronx CD 011","Council District 013 Bronx","340","NDA011X","BX07","2054880","2045490022","POINT (-73.864059 40.869054)","Bronxdale","81","49","811207B","NA","Ages 16+"
"2021","Compass","COMPASS Middle School","Afterschool Programs; Community Services; Educational Services","The Committee for Hispanic Children and Families, Inc.","P.S. 279 Captain Manuel Rivera, Jr.","Bronx","2100 WALTON AVENUE","BRONX","NY","10453","40.8544314062924","-73.9055662773781","1010374","250584","Bronx CD 005","Bronx CD 005","Council District 014 Bronx","241","NDA005X","BX41","2103867","2031780014","POINT (-73.9055662773781 40.8544314062924)","Mount Hope","100","106","142339A","142339","Grades 6 - 8"
"2021","Compass","COMPASS Elementary","Afterschool Programs; Community Services; Educational Services","Coalition for Hispanic Family Services","P.S. 92 Harry T. Stewart, Sr.","Queens","99-01 34 AVENUE","Corona","NY","11368","40.7554180795467","-73.8690165326376","1020539","214523","Queens CD 003","Queens CD 003","Council District 021 Queens","377","NDA003Q","QN26","4042496","4017140018","POINT (-73.8690165326376 40.7554180795467)","North Corona","157","177","126026A","126026","Grades K - 5"
"2020","Discretionary","Over Threshold","Community Services","Northwest Bronx Community & Clergy Coalition, Inc","Northwest Bronx Community & Clergy Coalition, Inc","Bronx","103 E. 196TH STREET","Bronx","NY","10468","40.8683232562374","-73.8939875301823","1013571","255649","Bronx CD 007","Bronx CD 007","Council District 014 Bronx","40303","NDA008X","BX28","2110098","2033150001","POINT (-73.8939875301823 40.8683232562374)","Van Cortlandt Village","NA","NA","12616R","NA","NA"
