"location","event_date","check_in_from","check_in_to","event_title","job_family","company_name_or_type","qualifications","borough","location_name_and_address"
"Bronx Workforce1 Career Center","Wednesday, March 18, 2020","10:00 AM","10:15 AM","Social Service Screening","Social Work, Child Care, Counseling","Jericho Project Cayuga","Jericho Project- Outreach Specialist                       Experience working in homelessness, substance abuse, mental health and/or trauma settings preferred. H.S Diploma required. Degree preferred.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Monday, March 16, 2020","10:00 AM","10:15 AM","Food Service and Accommodations","Sales, Marketing, Wholesaling","Whole Foods, Maison Kayser","WholeFoods: Customer Service, Bakery & Specialty Services - 18 years or older.  Ability to work rotating shifts Mon - Sun, nights, Weekends and holidays.  Stan and walk for extended times.                      Maison Kayser - Cashier                                 6 Months experience.  Must be able to work nights and weekends.  Great customer service experience.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Monday, March 16, 2020","1:45 PM","2:00 PM","Retail Screening","Sales, Marketing, Wholesaling","Family Dollar, Burlington Coat Factory, Rite Aid, Key Food","Family Dollar - Cashier                              Six month customer service experience.  Must have open availability.  Must pass background check.                            Burlington Coat Factory - Sales and Stock Associate                                                              Six months to one year customer service/retail.  Must be able to stand for long periods of time and lift 30lbs.                                           Rite Aid - Team Member                                    Six months to one year customer service experience.  Ability to work a flexible schedule and meet the needs of the business.                                              Keyfood - Cashier                                        Must have customer service experience and open availability.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Thursday, March 19, 2020","1:45 PM","2:00 PM","Social Service Screening","Social Work, Child Care, Counseling","Fedcap, Cayuga","Fed Cap- Vocational Coordinator                         Bachelor's degree required. Must have minimum of 1 year related.  Experience required.  Justice Involve, Homeless and youth                                                               Cayuga - Behavioral Specialist              Minimum Associates Degree or 5 years exp. working with children and family's.  NYC, ACS or private agencies Child welfare experience.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Monday, March 16, 2020","11:30 AM","11:45 AM","Maintenance Screening","Building Cleaning and Maintenance","PBM, Kent","PBM: Janitorial Maintenance Worker - Minimum of 1 year experience in residential or commercial cleaning. Must be able to work in a compactor room. Must pass background check.                                    Kent - Maintenance                                   Minimum of 1 year experience in retail/Maintenance. Must be able to work on weekends.  Must pass background check.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Thursday, March 19, 2020","10:00 AM","10:15 AM","Food Service Screening","Food Service and Accommodations","Kitopi","Kitopi: Line Cook - Minimum 1 year of food service experience. (Ex: McDonald's, Shake Shack, Hospitals and school cafeteria)","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Friday, March 20, 2020","11:30 AM","11:45 AM","Retail Screening","Sales, Marketing, Wholesaling","Burlington Coat Factory","Burlington: Sales/Stock - Six months to one year experience in customer service/retail. Must be able to stand for long periods of time and lift 30+lbs.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Friday, March 20, 2020","10:00 AM","10:15 AM","Retail Screening","Sales, Marketing, Wholesaling","Family Dollar","Family Dollar - Cashier                              Six month customer service experience.  Must have open availability.  Must pass background check.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Tuesday, March 17, 2020","1:45 PM","2:00 PM","Retail Screening","Sales, Marketing, Wholesaling","Family Dollar, Burlington Coat Factory, Rite Aid, Key Food","Family Dollar - Cashier                              Six month customer service experience.  Must have open availability.  Must pass background check.                            Burlington Coat Factory - Sales and Stock Associate                                                              Six months to one year customer service/retail.  Must be able to stand for long periods of time and lift 30lbs.                                           Rite Aid - Team Member                                    Six months to one year customer service experience.  Ability to work a flexible schedule and meet the needs of the business.                                              Keyfood - Cashier                                        Must have customer service experience and open availability.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Friday, March 20, 2020","10:00 AM","10:15 AM","Retail Screening","Sales, Marketing, Wholesaling","Whole Foods","WholeFoods: Customer Service, Bakery & Specialty Services - 18 years or older.  Ability to work rotating shifts Mon - Sun, nights, Weekends and holidays.  Stan and walk for extended times.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Thursday, March 19, 2020","10:00 AM","10:15 AM","Retail Screening","Sales, Marketing, Wholesaling","Key Food, Burlington Coat Factory","Key Food - Cashier   Must have customer service experience and open availability.   Burlington - Sales/Stock                           Six months to one year experience in customer service/retail. Must be able to stand for long periods of time and lift 30+lbs.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Wednesday, March 18, 2020","10:00 AM","10:15 AM","Security Screening","Protective Service","WatchGuard, Sera, Andy Frain Services","WatchGuard, Sera, Andy Frain Services,  Security Guard  Full-Time, flexible schedule a must.  Must have Valid 8hr & 16hr certificates, current NYS Security License, HSD/GED . Minimum of 6 months experience as a licensed Security Guard.  Fire Guard Certificate (F01) required for Securitas.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Thursday, March 19, 2020","11:30 AM","11:45 AM","Retail Screening","Sales, Marketing, Wholesaling","Rite Aid","Rite Aid - Team Member                           Six months to one year customer service experience. Ability to work a flexible schedule to meet the needs of the business.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Thursday, March 19, 2020","11:30 AM","11:45 AM","Maintenance Screening","Building Cleaning and Maintenance","PBM, Safety Clean","PBM - Janitorial Maintenance Worker Minimum of 1 year experience in residential or commercial cleaning. Must be able to work in a compactor room. Must pass background check.                    Safety Clean - Commercial Cleaner     Six months to one year experience in commercial cleaning. Must have open availability, nights and weekends and overnight.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Monday, March 16, 2020","10:00 AM","10:15 AM","Driver","Transportation, Shipping, Warehousing","ICON Parking","ICON Parking - Driver                                                                 Must have a valid driver's license.  Must be  able to drive stick shift,  and work two overnight shifts and weekends","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Friday, March 20, 2020","10:00 AM","10:15 AM","Maintenance Screening","Building Cleaning and Maintenance","PBM, Safety Clean","PBM - Janitorial Maintenance Worker  Minimum of 1 year experience in residential or commercial cleaning. Must be able to work in a compactor room. Must pass background check.             Safety Clean - Commercial Cleaner     Six months to one year experience in commercial cleaning. Must have open availability, nights and weekends and overnight.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Bronx Workforce1 Career Center","Monday, March 16, 2020","10:00 AM","10:15 AM","Security Screening","Protective Service","WatchGuard, Sera, Andy Frain Services","WatchGuard, Sera, Andy Frain Services  Security Guard  Full-Time, flexible schedule a must.  Must have Valid 8hr & 16hr certificates, current NYS Security License, HSD/GED . Minimum of 6 months experience as a licensed Security Guard.  Fire Guard Certificate (F01) required for Securitas.","Bronx","Bronx Workforce1 Career Center, 400 East Fordham Road (entrance on Webster), Bronx, NY 10458"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","11:45 AM","12:00 PM","Maintenance, Mechanic, Deckhands, Senior Deckhands, First Officer, Captain","Equipment Repair and Maintenance","NYC Ferry","HS Diploma required.  Valid Transportation Worker Identification Credential (TWIC Card), and/or ability to obtain and maintain Valid First Aid/CPR Certification.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","1:45 PM","2:00 PM","Line Cooks","Food Service and Accommodations","Tatsu Ramen","Must have at least 2 years continuous as a line cook and must have excellent knife skills. Culinary school graduates are welcome to apply.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","1:45 PM","2:00 PM","Security Guards","Protective Service","Securitas","Must have NYS security license, 8 and 16 hour certificate. Patrol premises, ensure security of doors, windows and gates.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","9:45 AM","10:00 AM","Teacher, Teacher's Assistant","Education, Library","Five Star Daycare","Enrolled in college course or having a BA in Early Childhood Education.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Monday, March 16, 2020","9:45 AM","10:00 AM","Direct Support Professional","Healthcare Practitioners and Support","Home Family Care","DSP- NYS Driver License & HS Diploma required.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","9:45 AM","10:00 AM","Educational Director","Education, Library","Kinder Prep Daycare","Must have at least a Bachelor's Degree in Early Childhood Education and certified in Early Childhood.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","11:45 AM","12:00 PM","Servers, Cooks, Host & Cashiers","Food Service and Accommodations","OTG Management","Must have at least 2 years of recent experience in any of the fields and be willing to commute to JFK for work.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","1:45 PM","2:00 PM","Maintenance & Custodial Worker","Building Cleaning and Maintenance","Institute For Community Living","High School diploma or GED. Two years of full time experience in general maintenance, renovations, construction, or facilities maintenance. Possession of a clean valid NY, PA, NJ, or CT drivers license.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Friday, March 20, 2020","11:45 AM","12:00 PM","Maintenance, Mechanic, Deckhands, Senior Deckhands, First Officer, Captain","Equipment Repair and Maintenance","NYC Ferry","HS Diploma required.  Valid Transportation Worker Identification Credential (TWIC Card), and/or ability to obtain and maintain Valid First Aid/CPR Certification.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Friday, March 20, 2020","9:45 AM","10:00 AM","Parking Attendant","Customer Service (Non-Sales)","Icon Parking","Valid New York State Driver's License is required Stick Shift capabilities are a must, automatic transmission driving experience is fine too.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","9:45 AM","10:00 AM","Maintenance, Mechanic, Deckhands, Senior Deckhands, First Officer, Captain","Equipment Repair and Maintenance","NYC Ferry","HS Diploma required.  Valid Transportation Worker Identification Credential (TWIC Card), and/or ability to obtain and maintain Valid First Aid/CPR Certification.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Friday, March 20, 2020","11:45 AM","12:00 PM","Security Guards","Protective Service","Madison Security","Must have NYS security license, 8 and 16 hour certificate. Patrol premises, ensure security of doors, windows and gates.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","9:45 AM","10:00 AM","Server, Line Cook","Food Service and Accommodations","Applebees","Server: 2-3 years or serving experience.  Line Cook: 2-3 years of line cook experience.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Friday, March 20, 2020","1:45 PM","2:00 PM","Line Cooks","Food Service and Accommodations","Tatsu Ramen","Must have at least 2 years continuous as a line cook and must have excellent knife skills. Culinary school graduates are welcome to apply.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Friday, March 20, 2020","9:45 AM","10:00 AM","Maintenance, Mechanic, Deckhands, Senior Deckhands, First Officer, Captain","Equipment Repair and Maintenance","NYC Ferry","HS Diploma required.  Valid Transportation Worker Identification Credential (TWIC Card), and/or ability to obtain and maintain Valid First Aid/CPR Certification.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","9:45 AM","10:00 AM","Team Member","Food Service and Accommodations","Juice Generation","6 Months- 1 year of customer service experience. Also one professional reference needed.  Food Prep- One year of food prep experience required.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","11:45 AM","12:00 PM","Parking Attendant","Customer Service (Non-Sales)","Russo's On The Bay","Must have at least 1-2 years of previous recent driving experience","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Monday, March 16, 2020","9:45 AM","10:00 AM","Parking Attendant","Customer Service (Non-Sales)","Icon Parking","Valid New York State Driver's License is required Stick Shift capabilities are a must, automatic transmission driving experience is fine too.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Monday, March 16, 2020","11:45 AM","12:00 PM","Maintenance, Mechanic, Deckhands, Senior Deckhands, First Officer, Captain","Equipment Repair and Maintenance","NYC Ferry","HS Diploma required.  Valid Transportation Worker Identification Credential (TWIC Card), and/or ability to obtain and maintain Valid First Aid/CPR Certification.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","1:45 PM","2:00 PM","Sales Agent","Sales, Marketing, Wholesaling","Combined Insurance","Excellent needs-based sales and negotiation skills. Strong communication skills both verbal and written.1-2 years of sales experience - any industry. 1-2 years of customer service experience.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Friday, March 20, 2020","1:45 PM","2:00 PM","Maintenance & Custodial Worker","Building Cleaning and Maintenance","Institute For Community Living","High School diploma or GED. Two years of full time experience in general maintenance, renovations, construction, or facilities maintenance. Possession of a clean valid NY, PA, NJ, or CT drivers license.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","11:45 AM","12:00 PM","Direct Support Professional","Healthcare Practitioners and Support","Home Family Care","DSP- NYS Driver License & HS Diploma required.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","1:45 PM","2:00 PM","Bilingual Kitchen Team Members","Food Service and Accommodations","Chick Fil A","Bilingual Spanish,open availability required, and be able to work late evenings.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","9:45 AM","10:00 AM","Server, Line Cook, Host","Food Service and Accommodations","Red Lobster","Server: 2-3 years or serving experience.  Line Cook: 2-3 years of line cook experience.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Monday, March 16, 2020","9:45 AM","10:00 AM","Maintenance, Mechanic, Deckhands, Senior Deckhands, First Officer, Captain","Equipment Repair and Maintenance","NYC Ferry","HS Diploma required.  Valid Transportation Worker Identification Credential (TWIC Card), and/or ability to obtain and maintain Valid First Aid/CPR Certification.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","11:45 AM","12:00 PM","Servers, Cooks, Host & Cashiers","Food Service and Accommodations","SSP America","Must have at least 2 years of recent experience in any of the fields and be willing to commute to JFK for work.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Thursday, March 19, 2020","9:45 AM","10:00 AM","Cashiers, Cooks, Food Prep","Food Service and Accommodations","Nathans Famous","2-3 years of experience is required for each position.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Wednesday, March 18, 2020","1:45 PM","2:00 PM","Maintenance, Mechanic, Deckhands, Senior Deckhands, First Officer, Captain","Equipment Repair and Maintenance","NYC Ferry","HS Diploma required.  Valid Transportation Worker Identification Credential (TWIC Card), and/or ability to obtain and maintain Valid First Aid/CPR Certification.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Brooklyn Workforce1 Career Center","Friday, March 20, 2020","1:45 PM","2:00 PM","Bilingual Kitchen Team Members","Food Service and Accommodations","Chick Fil A","Bilingual Spanish,open availability required, and be able to work late evenings.","Brooklyn","Brooklyn Workforce1 Career Center, 9 Bond Street, 5th Floor, Brooklyn, NY 11201"
"Coney Island (Sandy) Workforce1 Career Center","Wednesday, March 18, 2020","9:15 AM","9:30 AM","Restaurant Managers, Kitchen Managers","Food Service and Accommodations","Nathan's","5 years of restaurant management experience (QSR/Casual Dining/ Fast casual) required. Experience supervising staff. $47K- $58K","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Friday, March 20, 2020","9:15 AM","9:30 AM","Teachers","Social Work, Child Care, Counseling","Kinder Prep","1 year of experience working with children ages 10 months- 5 years old preferred. High School Diploma/GED required.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Friday, March 20, 2020","9:15 AM","9:30 AM","Ramp Agent/Baggage Handlers","Transportation, Shipping, Warehousing","DNATA","NY or NJ state Driver's License required. Must be able to lift at least 70lbs.  Must have open availability","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Wednesday, March 18, 2020","9:15 AM","9:30 AM","Line Cooks, Prep Cooks","Food Service and Accommodations","Nathan's","Must have at least 3 years of restaurant kitchen experience.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Friday, March 20, 2020","9:15 AM","9:30 AM","Hosts, Servers, Line Cooks, Bussers","Food Service and Accommodations","IHOP","Servers- 1 yr. of experience preferred. Hosts, Bussers, Line Cooks- Experience strongly preferred.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Wednesday, March 18, 2020","1:15 PM","1:30 PM","Hosts, Servers, Bussers, Take Away Specialists, Cooks","Food Service and Accommodations","Outback Stakehouse (Gateway Mall)","1 year of restaurant experience required.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Wednesday, March 18, 2020","9:15 AM","9:30 AM","Hosts, Servers, Bussers, Take Away Specialists, Cooks","Food Service and Accommodations","Red Lobster (Gateway Mall)","1 year of restaurant experience required.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Monday, March 16, 2020","1:15 PM","1:30 PM","Teachers","Social Work, Child Care, Counseling","Five Star Daycare","1 year of experience working with children ages 10 months- 5 years old preferred. High School Diploma/GED required.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Wednesday, March 18, 2020","9:15 AM","9:30 AM","Hosts, Servers, Line Cooks, Bussers","Food Service and Accommodations","IHOP","Servers- 1 yr. of experience preferred. Hosts, Bussers, Line Cooks- Experience strongly preferred.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Monday, March 16, 2020","1:15 PM","1:30 PM","Security Managers","Protective Service","Allied Security","NY State Security License, 8 hour and 16 hour certificates are required. Must have at least 6 months of management experience.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Wednesday, March 18, 2020","9:15 AM","9:30 AM","Certified Home Health Aides","Healthcare Practitioners and Support","I & Y Senior Care","Must have HHA/PCA certificate, or have an In Service Certificate if received in the last 6 mos.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Wednesday, March 18, 2020","1:15 PM","1:30 PM","Team Members","Food Service and Accommodations","Shake Shack","At least 6 months of food service or customer service experience required.","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
"Coney Island (Sandy) Workforce1 Career Center","Monday, March 16, 2020","1:15 PM","1:30 PM","Restaurant Managers, Kitchen Managers","Food Service and Accommodations","Nathan's","5 years of restaurant management experience (QSR/Casual Dining/ Fast casual) required. Experience supervising staff. $47K- $58K","Brooklyn","Coney Island (Sandy) Workforce1 Career Center, 1906 Mermaid Avenue, 2nd Floor, Brooklyn, NY 11224"
