"borough","neighborhood","building_class_category","tax_class_as_of_final_roll","block","lot","ease_ment","building_class_as_of_final","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of","sale_price","sale_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","census_tract_2020","nta_code"
"1","CHELSEA","44 CONDO PARKING","4","716","1145",,"RG","444 WEST 19TH STREET, P3","P3","10011","0","1","1","0","0",,"4","RG","3550000.00","2019-06-25T00:00:00.000","40.744695","-74.004706","104","3","89","1012565","1007167501","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","44 CONDO PARKING","4","768","1215",,"RG","134 7 AVENUE, 4","4","10011","0","1","1","0","0",,"4","RG","18000.00","2019-05-31T00:00:00.000","40.741146","-73.997806","104","3","87","1068033","1007687502","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","44 CONDO PARKING","4","768","1231",,"RG","140 7TH AVENUE, 20","20","10011","0","1","1","0","0",,"4","RG","40000.00","2019-12-17T00:00:00.000","40.741324","-73.99768","104","3","87","1068033","1007687502","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","45 CONDO HOTELS","4","740","1001",,"RH","346 WEST 17TH STREET, HOTEL","HOTEL","10011","0","1","1","0","0","1966","4","RH","175000000.00","2019-06-06T00:00:00.000","40.742233","-74.002494","104","3","83","1088885","1007407502","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","46 CONDO STORE BUILDINGS","4","697","1007",,"RK","545 WEST 25TH STREET, 7","7","10001","0","1","1","0","0",,"4","RK","4800000.00","2019-03-11T00:00:00.000","40.749627","-74.00475","104","3","99","1087496","1006977501","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","46 CONDO STORE BUILDINGS","4","721","1001",,"RK","410 WEST 24TH STREET, 8I","12B","10011","0","1","1","0","0","1932","4","RK","440904.00","2019-03-18T00:00:00.000","40.747407","-74.001483","104","3","93","1077236","1007217501","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","46 CONDO STORE BUILDINGS","4","740","1002",,"RK","346 WEST 17TH STREET, RET","RET","10011","0","1","1","0","0","1966","4","RK","175000000.00","2019-06-06T00:00:00.000","40.742233","-74.002494","104","3","83","1088885","1007407502","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","46 CONDO STORE BUILDINGS","4","796","1201",,"RK","129 WEST 20TH STREET, C-1","COMM","10011","0","1","1","0","0",,"4","RK","4980000.00","2019-10-10T00:00:00.000","40.741514","-73.995287","104","3","87","1014747","1007967503","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","47 CONDO NON-BUSINESS STORAGE","4","723","1053",,"RS","263 9 AVENUE, STG3","STG3","10001","0","1","1","0","0",,"4","RS","4820000.00","2019-12-11T00:00:00.000","40.748178","-74.000112","104","3","93","1012826","1007237501","Hudson Yards-Chelsea-Flatiron-Union Square",,
"MANHATTAN","ALPHABET CITY","02 TWO FAMILY DWELLINGS","1","377","72",,"B9","231 EAST 7TH",,"10009","2","0","2","1718","5154","1901","1","B9","0","2020-10-02T00:00:00.000",,,,,,,,,,
"1","CHELSEA","47 CONDO NON-BUSINESS STORAGE","4","723","1063",,"RS","263 9 AVENUE, STG13","STG13","10001","0","1","1","0","0",,"4","RS","2500000.00","2019-05-09T00:00:00.000","40.748178","-74.000112","104","3","93","1012826","1007237501","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","47 CONDO NON-BUSINESS STORAGE","4","794","1134",,"RS","163 WEST 18TH STREET, S3","S3","10011","0","1","1","0","0","2006","4","RS","10.00","2019-10-08T00:00:00.000","40.740575","-73.996698","104","3","87","1087533","1007947502","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHELSEA","47 CONDO NON-BUSINESS STORAGE","4","794","1350",,"RS","155 WEST 18TH STREET, SU 12","SU 12","10011","0","1","1","0","0","2014","4","RS","1755000.00","2019-06-12T00:00:00.000","40.740509","-73.996536","104","3","87","1090188","1007947504","Hudson Yards-Chelsea-Flatiron-Union Square",,
"1","CHINATOWN","07 RENTALS - WALKUP APARTMENTS","2","163","9",,"C7","26 PELL STREET",,"10013","27","2","29","4,330","12,880","1920","2","C7","0.00","2019-05-10T00:00:00.000","40.714868","-73.9982","103","1","29","1001782","1001630009","Chinatown",,
"1","CHINATOWN","07 RENTALS - WALKUP APARTMENTS","2","163","11",,"C7","30 PELL STREET",,"10013","26","2","28","3,817","13,400","1915","2","C7","0.00","2019-05-10T00:00:00.000","40.714873","-73.998232","103","1","29","1001783","1001630011","Chinatown",,
"1","CHINATOWN","07 RENTALS - WALKUP APARTMENTS","2","199","31",,"C7","102 BAYARD STREET",,"10013","18","1","19","2,500","9,125","1890","2","C7","5500000.00","2019-05-17T00:00:00.000","40.716081","-73.999769","103","1","29","1076901","1001990031","Chinatown",,
"1","CHINATOWN","07 RENTALS - WALKUP APARTMENTS","2","205","23",,"C7","111 MOTT STREET",,"10013","22","1","23","2,477","10,300","1900","2","C7","9000000.00","2019-04-05T00:00:00.000","40.717516","-73.997338","102","1","41","1002642","1002050023","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","07 RENTALS - WALKUP APARTMENTS","2","304","29",,"C7","87 CHRYSTIE STREET",,"10002","10","1","11","1,900","10,716","1900","2","C7","5500000.00","2019-05-07T00:00:00.000","40.717533","-73.994152","103","1","16","1003940","1003040029","Chinatown",,
"1","CHINATOWN","08 RENTALS - ELEVATOR APARTMENTS","2","199","34",,"D7","106-108 BAYARD STREET",,"10013","48","4","52","4,910","30,582","1915","2","D7","20150000.00","2019-06-17T00:00:00.000","40.716139","-73.999931","103","1","29","1002382","1001990034","Chinatown",,
"1","CHINATOWN","10 COOPS - ELEVATOR APARTMENTS","2","172","1",,"D0","366 BROADWAY, STORE",,"10013",,,,,,"1920","2","D0","912063.00","2019-06-24T00:00:00.000","40.717591","-74.003402","101","1","31","1001862","1001720001","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","12 CONDOS - WALKUP APARTMENTS","2","277","1110",,"R2","95 MADISON STREET, 4B","4B","10002","1","0","1","0","0",,"2","R2","0.00","2019-07-25T00:00:00.000","40.712205","-73.995581","103","1","8","1003333","1002777503","Chinatown",,
"1","CHINATOWN","12 CONDOS - WALKUP APARTMENTS","2","277","1119",,"R2","95 MADISON STREET, 3D","3D","10002","1","0","1","0","0",,"2","R2","0.00","2019-05-30T00:00:00.000","40.712205","-73.995581","103","1","8","1003333","1002777503","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","171","1230",,"R4","101 LEONARD STREET, 6A","6A","10013","1","0","1","0","0","1920","2","R4","1190000.00","2019-07-11T00:00:00.000","40.716825","-74.00391","101","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","171","1232",,"R4","101 LEONARD STREET, 6C","6C","10013","1","0","1","0","0","1920","2","R4","1340000.00","2019-12-04T00:00:00.000","40.716825","-74.00391","101","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","171","1233",,"R4","101 LEONARD STREET, 6D","6D","10013","1","0","1","0","0","1920","2","R4","2287500.00","2019-12-09T00:00:00.000","40.716825","-74.00391","101","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","171","1241",,"R4","101 LEONARD STREET, 7F","7F","10013","1","0","1","0","0","1920","2","R4","2070000.00","2019-05-29T00:00:00.000","40.716825","-74.00391","101","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","171","1252",,"R4","101 LEONARD STREET, 9E","9E","10013","1","0","1","0","0","1920","2","R4","2900000.00","2019-06-17T00:00:00.000","40.716825","-74.00391","101","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1042",,"R4","376 BROADWAY, 7G","7G","10013","1","0","1","0","0","1990","2","R4","0.00","2019-06-26T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1049",,"R4","376 BROADWAY, 8G","8G","10013","1","0","1","0","0","1990","2","R4","600000.00","2019-08-01T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1049",,"R4","376 BROADWAY, 8G","8G","10013","1","0","1","0","0","1990","2","R4","0.00","2019-02-01T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1068",,"R4","376 BROADWAY, 11E","11E","10013","1","0","1","0","0","1990","2","R4","0.00","2019-06-14T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1134",,"R4","376 BROADWAY, 21A","21A","10013","1","0","1","0","0","1990","2","R4","0.00","2019-08-27T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1135",,"R4","376 BROADWAY, 21B","21B","10013","1","0","1","0","0","1990","2","R4","0.00","2019-08-27T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1139",,"R4","376 BROADWAY, 21F","21F","10013","1","0","1","0","0","1990","2","R4","350000.00","2019-05-30T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1140",,"R4","376 BROADWAY, 21G","21G","10013","1","0","1","0","0","1990","2","R4","250000.00","2019-05-31T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1140",,"R4","376 BROADWAY, 21G","21G","10013","1","0","1","0","0","1990","2","R4","0.00","2019-05-14T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1143",,"R4","376 BROADWAY, 22C","22C","10013","1","0","1","0","0","1990","2","R4","0.00","2019-02-21T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1150",,"R4","376 BROADWAY, 23C","23C","10013","1","0","1","0","0","1990","2","R4","533333.00","2019-07-02T00:00:00.000","40.717906","-74.003135","101","1","31","1001866","1001727501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1201",,"R4","81 WHITE STREET, 1E","1E","10013","1","0","1","0","0",,"2","R4","4073750.00","2019-02-15T00:00:00.000","40.717566","-74.002139","101","1","31","1087055","1001727502","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1411",,"R4","50 FRANKLIN STREET, 3E","3E","10013","1","0","1","0","0","2007","2","R4","988000.00","2019-03-27T00:00:00.000","40.716951","-74.0025","101","1","31","1088222","1001727504","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1413",,"R4","50 FRANKLIN STREET, 4B","4B","10013","1","0","1","0","0","2007","2","R4","875000.00","2019-06-17T00:00:00.000","40.716951","-74.0025","101","1","31","1088222","1001727504","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1422",,"R4","50 FRANKLIN STREET, 6A","6A","10013","1","0","1","0","0","2007","2","R4","999000.00","2019-09-09T00:00:00.000","40.716951","-74.0025","101","1","31","1088222","1001727504","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1426",,"R4","50 FRANKLIN STREET, 6E","6E","10013","1","0","1","0","0","2007","2","R4","1120000.00","2019-08-21T00:00:00.000","40.716951","-74.0025","101","1","31","1088222","1001727504","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1450",,"R4","50 FRANKLIN STREET, 11D","11D","10013","1","0","1","0","0","2007","2","R4","1590000.00","2019-06-21T00:00:00.000","40.716951","-74.0025","101","1","31","1088222","1001727504","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","172","1457",,"R4","50 FRANKLIN STREET, 14C","14C","10013","1","0","1","0","0","2007","2","R4","1562500.00","2019-07-15T00:00:00.000","40.716951","-74.0025","101","1","31","1088222","1001727504","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1022",,"R4","50 BAYARD STREET, 2W","2W","10013","1","0","1","0","0",,"2","R4","0.00","2019-07-23T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1057",,"R4","50 BAYARD STREET, 4J","4J","10013","1","0","1","0","0",,"2","R4","0.00","2019-05-10T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1081",,"R4","50 BAYARD STREET, 5J","5J","10013","1","0","1","0","0",,"2","R4","900000.00","2019-08-19T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1089",,"R4","50 BAYARD STREET, 5R","5R","10013","1","0","1","0","0",,"2","R4","700000.00","2019-11-19T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1090",,"R4","50 BAYARD STREET, 5S","5S","10013","1","0","1","0","0",,"2","R4","742000.00","2019-05-02T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1114",,"R4","50 BAYARD STREET, 6S","6S","10013","1","0","1","0","0",,"2","R4","0.00","2019-10-12T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1114",,"R4","50 BAYARD STREET, 6S","6S","10013","1","0","1","0","0",,"2","R4","0.00","2019-10-28T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1115",,"R4","50 BAYARD STREET, 6T","6T","10013","1","0","1","0","0",,"2","R4","510000.00","2019-02-15T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1124",,"R4","50 BAYARD STREET, 7D","7D","10013","1","0","1","0","0",,"2","R4","710000.00","2019-08-27T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1124",,"R4","50 BAYARD STREET, 7D","7D","10013","1","0","1","0","0",,"2","R4","0.00","2019-10-03T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1125",,"R4","50 BAYARD STREET, 7E","7E","10013","1","0","1","0","0",,"2","R4","720000.00","2019-03-20T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1128",,"R4","50 BAYARD STREET, 7H","7H","10013","1","0","1","0","0",,"2","R4","0.00","2019-02-21T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1135",,"R4","50 BAYARD STREET, 7P","7P","10013","1","0","1","0","0",,"2","R4","0.00","2019-07-25T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1140",,"R4","50 BAYARD STREET, 7U","7U","10013","1","0","1","0","0",,"2","R4","800000.00","2019-04-02T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1146",,"R4","50 BAYARD STREET, 8B","8B","10013","1","0","1","0","0",,"2","R4","545000.00","2019-05-21T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1160",,"R4","50 BAYARD STREET, 8Q","8Q","10013","1","0","1","0","0",,"2","R4","0.00","2019-06-26T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","202","1163",,"R4","50 BAYARD STREET, 8T","8T","10013","1","0","1","0","0",,"2","R4","220000.00","2019-02-21T00:00:00.000","40.715258","-73.997414","103","1","29","1002434","1002027501","Chinatown",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","206","1113",,"R4","123 BAXTER STREET, 3D","3D","10013","1","0","1","0","0","2003","2","R4","1387500.00","2019-11-12T00:00:00.000","40.718161","-73.998918","102","1","41","1086548","1002067501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","206","1117",,"R4","123 BAXTER STREET, 4C","4C","10013","1","0","1","0","0","2003","2","R4","1248000.00","2019-02-28T00:00:00.000","40.718161","-73.998918","102","1","41","1086548","1002067501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","208","1004",,"R4","129 LAFAYETTE STREET, 2C","2C","10013","1","0","1","0","0","1900","2","R4","2750000.00","2019-08-15T00:00:00.000","40.718897","-74.000094","102","1","45","1002673","1002087501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","208","1006",,"R4","129 LAFAYETTE STREET, 3B","3B","10013","1","0","1","0","0","1900","2","R4","2350000.00","2019-12-02T00:00:00.000","40.718897","-74.000094","102","1","45","1002673","1002087501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","234","1005",,"R4","161 GRAND STREET, 3A","3A","10013","1","0","1","0","0",,"2","R4","600000.00","2019-03-25T00:00:00.000","40.719852","-73.998683","102","1","45","1003056","1002347501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","234","1006",,"R4","161 GRAND STREET, 3B","3B","10013","1","0","1","0","0",,"2","R4","2575000.00","2019-10-01T00:00:00.000","40.719852","-73.998683","102","1","45","1003056","1002347501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","235","1001",,"R4","136 BAXTER STREET, 1A/2A","1A/2A","10013","1","0","1","0","0","1915","2","R4","4800000.00","2019-06-27T00:00:00.000","40.718606","-73.998658","102","1","41","1087870","1002357501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","235","1005",,"R4","136 BAXTER STREET, 2B","2B","10013","1","0","1","0","0","1915","2","R4","0.00","2019-11-18T00:00:00.000","40.718606","-73.998658","102","1","41","1087870","1002357501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","236","1211",,"R4","133 MULBERRY STREET, 4D","4D","10013","1","0","1","0","0","1920","2","R4","2275000.00","2019-04-29T00:00:00.000","40.718455","-73.99776","102","1","41","1003081","1002367503","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","239","1004",,"R4","80 ELIZABETH STREET, 2C","2C","10013","1","0","1","0","0",,"2","R4","0.00","2019-07-01T00:00:00.000","40.718046","-73.996035","102","1","41","1003115","1002397501","SoHo-TriBeCa-Civic Center-Little Italy",,
"1","CHINATOWN","13 CONDOS - ELEVATOR APARTMENTS","2","239","1015",,"R4","80 ELIZABETH STREET, 2P","2P","10013","1","0","1","0","0",,"2","R4","0.00","2019-04-30T00:00:00.000","40.718046","-73.996035","102","1","41","1003115","1002397501","SoHo-TriBeCa-Civic Center-Little Italy",,
