"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","location","borough","date_insta","point_x","point_y","femafldz","femafldt","hrcevac","ntaname"
"POINT (-73.9113810003277 40.76960300051801)","4","Queens","401","22","34","12","14","Astoria Boulevard N and 38 Street","Queens","2022-01-22T00:00:00.000","-73.911381","40.769603","X","AREA OF MINIMAL FLOOD HAZARD",,"Astoria (North)-Ditmars-Steinway"
"POINT (-73.8149479995258 40.67558100125702)","4","Queens","410","28","31","10","5","Rockaway Boulevard and 123 Street","Queens","2019-08-06T00:00:00.000","-73.814948","40.675581","X","AREA OF MINIMAL FLOOD HAZARD","6","South Ozone Park"
"POINT (-74.005484000036 40.70907100106873)","1","Manhattan","101","1","65","27","10","Fulton Street and Gold Street","Manhattan","2013-09-30T00:00:00.000","-74.005484","40.709071","X","AREA OF MINIMAL FLOOD HAZARD","5","Financial District-Battery Park City"
"POINT (-73.90921699984101 40.8518020012257)","2","Bronx","205","14","86","33","13","East Tremont Avenue and Jerome Avenue","Bronx","2019-01-03T00:00:00.000","-73.909217","40.851802","X","AREA OF MINIMAL FLOOD HAZARD",,"University Heights (South)-Morris Heights"
"POINT (-73.91267800042128 40.87229100085954)","1","Manhattan","112","10","72","31","13","Broadway and West 220 Street","Manhattan","2022-06-21T00:00:00.000","-73.912678","40.872291","X","AREA OF MINIMAL FLOOD HAZARD","4","Inwood Hill Park"
"POINT (-73.86950599975266 40.684414001123216)","3","Brooklyn","305","37","54","18","7","Fulton Street and Lincoln Avenue","Brooklyn","2021-01-20T00:00:00.000","-73.869506","40.684414","X","AREA OF MINIMAL FLOOD HAZARD","6","Cypress Hills"
"POINT (-73.75859900009542 40.66473100092982)","4","Queens","413","31","31","10","5","Springfield Boulevard and 145 Avenue","Queens","2018-06-06T00:00:00.000","-73.758599","40.664731","X","AREA OF MINIMAL FLOOD HAZARD","4","Springfield Gardens (South)-Brookville"
"POINT (-73.89272400003937 40.882702000704)","2","Bronx","208","11","81","31","13","Sedgwick Avenue and Van Cortlandt Park West","Bronx","2022-11-23T00:00:00.000","-73.892724","40.882702","X","AREA OF MINIMAL FLOOD HAZARD",,"Kingsbridge Heights-Van Cortlandt Village"
"POINT (-73.8953149998086 40.817196000551185)","2","Bronx","202","17","85","32","14","Southern Boulevard and Intervale Avenue","Bronx","2019-04-26T00:00:00.000","-73.895315","40.817196","X","AREA OF MINIMAL FLOOD HAZARD","6","Hunts Point"
"POINT (-74.15253200005637 40.58063400093005)","5","Staten Island","502","50","63","24","11","Richmond Hill Road and Forest Hill Road","Staten Island","2023-05-11T00:00:00.000","-74.152532","40.580634","X","AREA OF MINIMAL FLOOD HAZARD",,"New Springville-Willowbrook-Bulls Head-Travis"
"POINT (-73.82967000048913 40.84064100093076)","2","Bronx","210","13","82","34","14","Crosby Avenue and Coddington Avenue","Bronx","2020-03-12T00:00:00.000","-73.82967","40.840641","X","AREA OF MINIMAL FLOOD HAZARD","6","Throgs Neck-Schuylerville"
"POINT (-73.88892400014034 40.663687001344854)","3","Brooklyn","305","42","60","19","8","New Lots Avenue and Miller Avenue","Brooklyn","2020-04-15T00:00:00.000","-73.888924","40.663687","X","AREA OF MINIMAL FLOOD HAZARD","4","East New York-New Lots"
"POINT (-74.11414699984695 40.613744001143075)","5","Staten Island","501","50","63","24","11","Victory Boulevard and Roayal Oak Road","Staten Island","2022-02-24T00:00:00.000","-74.114147","40.613744","X","AREA OF MINIMAL FLOOD HAZARD",,"Westerleigh-Castleton Corners"
"POINT (-73.80189800034142 40.86212400096035)","2","Bronx","228","13","82","34","14","Park Drive 500' North of City Island Road","Bronx","2023-05-23T00:00:00.000","-73.801898","40.862124","X","AREA OF MINIMAL FLOOD HAZARD","1","Pelham Bay Park"
"POINT (-74.00485000018348 40.7124640012364)","1","Manhattan","101","1","66","27","10","Centre Street and Brooklyn Bridge Exit","Manhattan","2018-07-30T00:00:00.000","-74.00485","40.712464","X","AREA OF MINIMAL FLOOD HAZARD","5","Tribeca-Civic Center"
"POINT (-73.98222200057171 40.77387300121902)","1","Manhattan","107","6","67","47","12","Broadway and West  66 Street","Manhattan","2016-08-10T00:00:00.000","-73.982222","40.773873","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Lincoln Square"
"POINT (-73.99442599946202 40.75264400064053)","1","Manhattan","104","3","75","47","12","West  34 Street between 8 Avenue and 9 Avenue","Manhattan","2012-02-07T00:00:00.000","-73.994426","40.752644","X","AREA OF MINIMAL FLOOD HAZARD",,"Chelsea-Hudson Yards"
"POINT (-73.92208699964748 40.81373100063307)","2","Bronx","201","8","84","29","15","3rd Avenue and East 144 Street","Bronx","2022-09-21T00:00:00.000","-73.922087","40.813731","X","AREA OF MINIMAL FLOOD HAZARD","6","Mott Haven-Port Morris"
"POINT (-73.76357899946974 40.71924300122101)","4","Queens","412","23","29","11","5","Hillside Avenue and 199 Street","Queens","2017-02-06T00:00:00.000","-73.763579","40.719243","X","AREA OF MINIMAL FLOOD HAZARD",,"Hollis"
"POINT (-73.77610399984616 40.67400900101211)","4","Queens","412","28","32","10","5","Guy R. Brewer and JHS 72","Queens","2020-08-24T00:00:00.000","-73.776104","40.674009","X","AREA OF MINIMAL FLOOD HAZARD","5","Springfield Gardens (North)-Rochdale Village"
"POINT (-73.79560600003622 40.70086300098993)","4","Queens","412","28","32","14","5","Liberty Avenue between 160 Street and Guy R Brewer Boulevard","Queens","2022-12-09T00:00:00.000","-73.795606","40.700863","X","AREA OF MINIMAL FLOOD HAZARD",,"Jamaica"
"POINT (-73.85323799968685 40.83624300124426)","2","Bronx","209","18","87","34","14","Purdy Street and Starling Avenue","Bronx","2022-12-08T00:00:00.000","-73.853238","40.836243","X","AREA OF MINIMAL FLOOD HAZARD","6","Parkchester"
"POINT (-73.98916799955146 40.688616001145654)","3","Brooklyn","302","33","52","26","10","Atlantic Avenue and Smith Street","Brooklyn","2013-08-15T00:00:00.000","-73.989168","40.688616","X","AREA OF MINIMAL FLOOD HAZARD",,"Downtown Brooklyn-DUMBO-Boerum Hill"
"POINT (-73.86640599988696 40.746165001182014)","4","Queens","404","21","39","13","14","43 Avenue and  97 Place","Queens","2020-01-02T00:00:00.000","-73.866406","40.746165","X","AREA OF MINIMAL FLOOD HAZARD",,"Corona"
"POINT (-73.98705500055618 40.74214100111619)","1","Manhattan","105","2","74","28","12","Madison Avenue and East  25 Street","Manhattan","2021-11-12T00:00:00.000","-73.987055","40.742141","X","AREA OF MINIMAL FLOOD HAZARD",,"Midtown South-Flatiron-Union Square"
"POINT (-73.9795459995953 40.76619800128165)","1","Manhattan","105","4","75","28","12","7 Avenue and West  58 Street","Manhattan","2021-07-18T00:00:00.000","-73.979546","40.766198","X","AREA OF MINIMAL FLOOD HAZARD",,"Midtown-Times Square"
"POINT (-74.18128400001481 40.54695700057942)","5","Staten Island","503","51","62","24","11","Arden Avenue and Drumgoole Road East and West S/R","Staten Island","2022-12-20T00:00:00.000","-74.181284","40.546957","X","AREA OF MINIMAL FLOOD HAZARD",,"Arden Heights-Rossville"
"POINT (-142.79870371803023 -90)",,,,,,,,"101 Avenue and 104 Street","Queens","2022-06-22T00:00:00.000","40.686237","-73.839061",,,,
"POINT (-73.94464999973586 40.702310001272714)","3","Brooklyn","301","33","53","18","7","Broadway and Bartlett Street","Brooklyn","2021-01-12T00:00:00.000","-73.94465","40.70231","X","AREA OF MINIMAL FLOOD HAZARD","4","South Williamsburg"
"POINT (-74.21673299954206 40.52237400049824)","5","Staten Island","503","51","62","24","11","Amboy Road and Penton Street","Staten Island","2023-03-27T00:00:00.000","-74.216733","40.522374","X","AREA OF MINIMAL FLOOD HAZARD","5","Annadale-Huguenot-Prince's Bay-Woodrow"
"POINT (-73.9326840002317 40.7726990009753)","4","Queens","401","22","36","59","14","8 Street and Astoria Boulevard","Queens","2021-08-19T00:00:00.000","-73.932684","40.772699","X","AREA OF MINIMAL FLOOD HAZARD","4","Old Astoria-Hallets Point"
"POINT (-73.96067000042615 40.757363000643444)","1","Manhattan","106","5","73","28","12","Sutton Place and East  57 Street","Manhattan","2019-09-01T00:00:00.000","-73.96067","40.757363","X","AREA OF MINIMAL FLOOD HAZARD",,"East Midtown-Turtle Bay"
"POINT (-73.9603359996997 40.66411000069863)","3","Brooklyn","309","35","57","20","9","Franklin Avenue and Sullivan Place","Brooklyn","2022-08-29T00:00:00.000","-73.960336","40.66411","X","AREA OF MINIMAL FLOOD HAZARD",,"Crown Heights (South)"
"POINT (-74.14892699941475 40.62419200051945)","5","Staten Island","501","49","61","23","11","Richmond Avenue and Monsey Place","Staten Island","2020-10-07T00:00:00.000","-74.148927","40.624192","X","AREA OF MINIMAL FLOOD HAZARD",,"Mariner's Harbor-Arlington-Graniteville"
"POINT (-73.94929599949616 40.61918800110455)","3","Brooklyn","314","48","42","22","9","Avenue M and East  26 Street","Brooklyn","2021-04-22T00:00:00.000","-73.949296","40.619188","X","AREA OF MINIMAL FLOOD HAZARD","6","Midwood"
"POINT (-73.990199000047 40.71405200126342)","1","Manhattan","103","1","65","27","10","East Broadway and Rutgers Street","Manhattan","2022-09-27T00:00:00.000","-73.990199","40.714052","X","AREA OF MINIMAL FLOOD HAZARD","6","Chinatown-Two Bridges"
"POINT (-73.91594200023695 40.83955200136289)","2","Bronx","204","16","84","32","15","East 170 Street and Walton Avenue","Bronx","2023-04-03T00:00:00.000","-73.915942","40.839552","X","AREA OF MINIMAL FLOOD HAZARD",,"Mount Eden-Claremont (West)"
"POINT (-73.76748000023186 40.6570500010846)","4","Queens","413","31","31","10","5","Guy R Brewer Boulevard and 150 Avenue","Queens","2021-05-24T00:00:00.000","-73.76748","40.65705","X","AREA OF MINIMAL FLOOD HAZARD","3","Springfield Gardens (South)-Brookville"
"POINT (-73.89654800007061 40.90750600086451)","2","Bronx","208","11","81","33","15","Broadway and West 260 Street","Bronx","2023-06-30T00:00:00.000","-73.896548","40.907506","X","AREA OF MINIMAL FLOOD HAZARD",,"Riverdale-Spuyten Duyvil"
"POINT (-73.94193700014354 40.67211800090228)","3","Brooklyn","308","36","43","20","9","Kingston Avenue and Sterling Place","Brooklyn","2020-03-24T00:00:00.000","-73.941937","40.672118","X","AREA OF MINIMAL FLOOD HAZARD",,"Crown Heights (North)"
"POINT (-73.9405080003119 40.60664200087938)","3","Brooklyn","315","46","41","22","8","Gerritsen Avenue and Fillmore Avenue","Brooklyn","2022-02-11T00:00:00.000","-73.940508","40.606642","X","AREA OF MINIMAL FLOOD HAZARD","4","Madison"
"POINT (-73.94978899989904 40.698311001186774)","3","Brooklyn","303","36","56","25","8","Marcy Avenue and Ellery Street","Brooklyn","2022-08-01T00:00:00.000","-73.949789","40.698311","X","AREA OF MINIMAL FLOOD HAZARD","3","Bedford-Stuyvesant (West)"
"POINT (-74.13862500018432 40.58906400114363)","5","Staten Island","502","50","63","24","11","Rockland Avenue and Brielle Avenue","Staten Island","2022-05-27T00:00:00.000","-74.138625","40.589064","X","AREA OF MINIMAL FLOOD HAZARD",,"Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights"
"POINT (-73.85197899976944 40.68256500069601)","4","Queens","409","32","38","15","7","Rockaway Boulevard and 101st Avenue / 88 Street","Queens","2019-10-08T00:00:00.000","-73.851979","40.682565","X","AREA OF MINIMAL FLOOD HAZARD","5","Ozone Park (North)"
"POINT (-73.86762900039433 40.85663400087963)","2","Bronx","211","13","80","33","15","Pelham Parkway South S/R and White Plains Road","Bronx","2023-05-26T00:00:00.000","-73.867629","40.856634","X","AREA OF MINIMAL FLOOD HAZARD",,"Pelham Parkway-Van Nest"
"POINT (-73.98381200032632 40.740791000995976)","1","Manhattan","105","2","74","59","12","Lexington Avenue and East  25 Street","Manhattan","2017-03-01T00:00:00.000","-73.983812","40.740791","X","AREA OF MINIMAL FLOOD HAZARD",,"Gramercy"
"POINT (-73.98532299986162 40.75868600126984)","1","Manhattan","105","4","75","28","12","Broadway /  7 Avenue and West  46 Street","Manhattan","2017-02-24T00:00:00.000","-73.985323","40.758686","X","AREA OF MINIMAL FLOOD HAZARD",,"Midtown-Times Square"
"POINT (-73.93743100050062 40.73376100049912)","4","Queens","402","26","37","12","7","Review Avenue and  37th Street","Queens","2020-08-13T00:00:00.000","-73.937431","40.733761","X","AREA OF MINIMAL FLOOD HAZARD","4","Sunnyside"
"POINT (-73.98042200016643 40.689911001217695)","3","Brooklyn","302","35","57","26","7","Dekalb Avenue and Hudson Avenue","Brooklyn","2015-05-11T00:00:00.000","-73.980422","40.689911","X","AREA OF MINIMAL FLOOD HAZARD",,"Fort Greene"
"POINT (-73.9260120004471 40.86357200061043)","1","Manhattan","112","10","72","31","13","Dyckman Street and Sherman Avenue","Manhattan","2022-09-21T00:00:00.000","-73.926012","40.863572","X","AREA OF MINIMAL FLOOD HAZARD","4","Washington Heights (North)"
"POINT (-73.98122400043867 40.65584300060347)","3","Brooklyn","307","38","44","20","10","Prospect Expressway / 19 Street and  10 Avenue","Brooklyn","2022-12-06T00:00:00.000","-73.981224","40.655843","X","AREA OF MINIMAL FLOOD HAZARD",,"Windsor Terrace-South Slope"
"POINT (-73.94818900042523 40.59296600062997)","3","Brooklyn","315","48","41","22","8","Avenue X and East  22 Street","Brooklyn","2020-02-24T00:00:00.000","-73.948189","40.592966","X","AREA OF MINIMAL FLOOD HAZARD","3","Sheepshead Bay-Manhattan Beach-Gerritsen Beach"
"POINT (-73.97802200012462 40.63555200094043)","3","Brooklyn","312","39","44","22","9","Mc Donald Avenue and Ditmas Avenue","Brooklyn","2012-07-10T00:00:00.000","-73.978022","40.635552","X","AREA OF MINIMAL FLOOD HAZARD",,"Borough Park"
"POINT (-73.99441900012597 40.77070500088927)","1","Manhattan","104","6","67","47","12","12 Avenue and West  56 Street","Manhattan","2022-10-28T00:00:00.000","-73.994419","40.770705","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2","Hell's Kitchen"
"POINT (-73.87367000036166 40.72052000120018)","4","Queens","405","30","28","15","6","Dry Harbor Road and Juniper Boulevard South","Queens","2021-04-02T00:00:00.000","-73.87367","40.72052","X","AREA OF MINIMAL FLOOD HAZARD",,"Middle Village"
"POINT (-74.10570500009204 40.63058300092858)","5","Staten Island","501","49","63","23","11","Forest Avenue with Bard Avenue and City Boulevard","Staten Island","2023-04-28T00:00:00.000","-74.105705","40.630583","X","AREA OF MINIMAL FLOOD HAZARD",,"West New Brighton-Silver Lake-Grymes Hill"
"POINT (-73.73101199990091 40.72158800086517)","4","Queens","413","23","33","14","5","Jamaica Avenue and 224 Street","Queens","2020-02-03T00:00:00.000","-73.731012","40.721588","X","AREA OF MINIMAL FLOOD HAZARD",,"Queens Village"
"POINT (-73.90703099997327 40.82581100098991)","2","Bronx","203","16","79","32","15","Boston Road and East 165 Street","Bronx","2022-08-25T00:00:00.000","-73.907031","40.825811","X","AREA OF MINIMAL FLOOD HAZARD",,"Morrisania"
"POINT (-74.18075399948677 40.56207300081573)","5","Staten Island","503","51","62","24","11","Woodrow Road and Billings Street / Tynan Street","Staten Island","2020-05-05T00:00:00.000","-74.180754","40.562073","X","AREA OF MINIMAL FLOOD HAZARD",,"Arden Heights-Rossville"
"POINT (-73.86500100017366 40.74468200090192)","4","Queens","404","21","39","13","14","Corona Avenue and 98 Street","Queens","2022-07-18T00:00:00.000","-73.865001","40.744682","X","AREA OF MINIMAL FLOOD HAZARD","6","Corona"
"POINT (-73.87854599963148 40.73999400133219)","4","Queens","404","25","30","12","6","Broadway and Saint James Avenue","Queens","2022-02-22T00:00:00.000","-73.878546","40.739994","X","AREA OF MINIMAL FLOOD HAZARD",,"Elmhurst"
"POINT (-73.91531700026792 40.639638000877305)","3","Brooklyn","318","46","59","19","8","Farragut Road and East 82 Street","Brooklyn","2021-02-22T00:00:00.000","-73.915317","40.639638","X","AREA OF MINIMAL FLOOD HAZARD","3","Canarsie"
"POINT (-73.9751030003281 40.68970600083499)","3","Brooklyn","302","35","57","25","7","Dekalb Avenue and South Portland","Brooklyn","2016-11-21T00:00:00.000","-73.975103","40.689706","X","AREA OF MINIMAL FLOOD HAZARD",,"Fort Greene"
"POINT (-73.97023199945876 40.67447600131835)","3","Brooklyn","355","39","52","20","10","Grand Army Plaza and Circle North (Ped -X-ing)","Brooklyn","2019-01-30T00:00:00.000","-73.970232","40.674476","X","AREA OF MINIMAL FLOOD HAZARD",,"Park Slope"
"POINT (-73.83048400044439 40.760270000959885)","4","Queens","407","20","40","16","6","Main Street and  39 Avenue","Queens","2023-05-18T00:00:00.000","-73.830484","40.76027","X","AREA OF MINIMAL FLOOD HAZARD",,"Flushing-Willets Point"
"POINT (-74.13979099976426 40.56773100121451)","5","Staten Island","503","50","62","24","11","Clarke Avenue and Kensico Street","Staten Island","2022-05-16T00:00:00.000","-74.139791","40.567731","X","AREA OF MINIMAL FLOOD HAZARD",,"Oakwood-Richmondtown"
"POINT (-73.8618060001044 40.85738200106608)","2","Bronx","211","13","80","33","15","Pelham Parkway North and Bronxwood Avenue (mid-block)","Bronx","2022-03-31T00:00:00.000","-73.861806","40.857382","X","AREA OF MINIMAL FLOOD HAZARD",,"Pelham Parkway-Van Nest"
"POINT (-73.92714399988178 40.81094900107999)","2","Bronx","201","8","84","29","15","East 138 Street and   3rd Avenue","Bronx","2019-10-18T00:00:00.000","-73.927144","40.810949","X","AREA OF MINIMAL FLOOD HAZARD","4","Mott Haven-Port Morris"
"POINT (-74.14233499992876 40.61661000103934)","5","Staten Island","501","50","61","24","11","Watchogue Avenue and Crystal Avenue","Staten Island","2023-04-10T00:00:00.000","-74.142335","40.61661","X","AREA OF MINIMAL FLOOD HAZARD",,"Westerleigh-Castleton Corners"
"POINT (-73.92985300011988 40.86596500061226)","1","Manhattan","112","10","71","31","13","Riverside Drive and Payson Avenue","Manhattan","2023-03-02T00:00:00.000","-73.929853","40.865965","X","AREA OF MINIMAL FLOOD HAZARD","5","Washington Heights (North)"
"POINT (-73.74469100014757 40.60565700118633)","4","Queens","414","31","23","10","5","Empire Avenue and Reads Lane and Reads Lane \ Balsam Court","Queens","2020-10-22T00:00:00.000","-73.744691","40.605657","X","AREA OF MINIMAL FLOOD HAZARD","1","Far Rockaway-Bayswater"
"POINT (-74.00803700022105 40.74928100068735)","1","Manhattan","104","3","75","47","12","12 Avenue and West  23 Street","Manhattan","2017-05-31T00:00:00.000","-74.008037","40.749281","AE",,"1","Chelsea-Hudson Yards"
"POINT (-73.94168899948541 40.83842600080757)","1","Manhattan","112","7","71","31","13","Broadway and West 164 Street","Manhattan","2018-09-24T00:00:00.000","-73.941689","40.838426","X","AREA OF MINIMAL FLOOD HAZARD",,"Washington Heights (South)"
"POINT (-73.95258999969053 40.81076400060595)","1","Manhattan","109","9","70","30","13","Saint Nicholas Avenue and West 125 Street","Manhattan","2016-10-21T00:00:00.000","-73.95259","40.810764","X","AREA OF MINIMAL FLOOD HAZARD","6","Harlem (South)"
"POINT (-73.91712999989889 40.698100000769394)","3","Brooklyn","304","37","53","18","7","Knickerbocker Avenue and Menahan Street","Brooklyn","2021-03-05T00:00:00.000","-73.91713","40.6981","X","AREA OF MINIMAL FLOOD HAZARD",,"Bushwick (East)"
"POINT (-73.97412800018228 40.797919001106)","1","Manhattan","107","6","69","47","12","Riverside Drive and West  99 Street","Manhattan","2019-02-13T00:00:00.000","-73.974128","40.797919","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Manhattan Valley"
"POINT (-73.83868500031544 40.8407470013324)","2","Bronx","211","13","82","34","14","East Tremont Avenue and Lehman HS (Pedestrian Crossing)","Bronx","2018-12-07T00:00:00.000","-73.838685","40.840747","X","AREA OF MINIMAL FLOOD HAZARD","3","Hutchinson Metro Center"
"POINT (-73.99056299951044 40.61203500098031)","3","Brooklyn","311","47","49","17","11","20 Avenue and  73 Street","Brooklyn","2023-01-24T00:00:00.000","-73.990563","40.612035","X","AREA OF MINIMAL FLOOD HAZARD",,"Bensonhurst"
"POINT (-73.93837900035119 40.81171500079323)","1","Manhattan","111","9","70","30","13","5 Avenue between East 132 Street and East 135 Street","Manhattan","2017-01-25T00:00:00.000","-73.938379","40.811715","X","AREA OF MINIMAL FLOOD HAZARD","4","East Harlem (North)"
"POINT (-73.875311999505 40.76300900085326)","4","Queens","403","21","35","13","14","Astoria Boulevard and  94 Street","Queens","2022-03-22T00:00:00.000","-73.875312","40.763009","X","AREA OF MINIMAL FLOOD HAZARD",,"East Elmhurst"
"POINT (-73.98218300014386 40.7722120013205)","1","Manhattan","107","6","75","47","12","Broadway and West  64 Street","Manhattan","2017-03-08T00:00:00.000","-73.982183","40.772212","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Lincoln Square"
"POINT (-73.98209300054832 40.76889100063703)","1","Manhattan","107","3","75","47","12","Broadway and West  60 Street","Manhattan","2023-06-29T00:00:00.000","-73.982093","40.768891","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Lincoln Square"
"POINT (-73.98041900039482 40.642385000496375)","3","Brooklyn","312","39","44","17","9","Church Avenue and Dahill Road","Brooklyn","2013-08-16T00:00:00.000","-73.980419","40.642385","X","AREA OF MINIMAL FLOOD HAZARD",,"Kensington"
"POINT (-73.9982750002111 40.73539000116455)","1","Manhattan","102","3","66","27","10","6 Avenue and West  11 Street","Manhattan","2020-02-13T00:00:00.000","-73.998275","40.73539","X","AREA OF MINIMAL FLOOD HAZARD","5","Greenwich Village"
"POINT (-73.73947000013209 40.75724300098707)","4","Queens","411","19","26","11","3","Long Island Expressway North S/R and Douglaston Parkway","Queens","2022-10-07T00:00:00.000","-73.73947","40.757243","X","AREA OF MINIMAL FLOOD HAZARD",,"Douglaston-Little Neck"
"POINT (-73.9508110002156 40.662352001139965)","3","Brooklyn","309","40","43","20","9","Nostrand Avenue and Lefferts Avenue","Brooklyn","2023-05-16T00:00:00.000","-73.950811","40.662352","X","AREA OF MINIMAL FLOOD HAZARD",,"Prospect Lefferts Gardens-Wingate"
"POINT (-74.00280900029682 40.728386001257356)","1","Manhattan","102","3","66","27","10","6 Avenue with West Houston Street and Bedford Street","Manhattan","2023-03-27T00:00:00.000","-74.002809","40.728386","X","AREA OF MINIMAL FLOOD HAZARD","4","West Village"
"POINT (-73.94610600038989 40.785613000812184)","1","Manhattan","111","8","68","29","13","2 Avenue and East  98 Street","Manhattan","2016-11-23T00:00:00.000","-73.946106","40.785613","X","AREA OF MINIMAL FLOOD HAZARD","4","East Harlem (South)"
"POINT (-73.77967999972108 40.70860500080786)","4","Queens","412","27","29","11","5","Jamaica Avenue and 181 Street","Queens","2020-06-08T00:00:00.000","-73.77968","40.708605","X","AREA OF MINIMAL FLOOD HAZARD",,"Jamaica"
"POINT (-73.77355100006383 40.73607300134198)","4","Queens","408","23","25","16","6","73 Avenue and 199 Street","Queens","2022-11-16T00:00:00.000","-73.773551","40.736073","X","AREA OF MINIMAL FLOOD HAZARD",,"Fresh Meadows-Utopia"
"POINT (-73.94397199992589 40.6800890013028)","3","Brooklyn","303","36","56","25","8","Fulton Street and Brooklyn Avenue","Brooklyn","2019-11-07T00:00:00.000","-73.943972","40.680089","X","AREA OF MINIMAL FLOOD HAZARD",,"Bedford-Stuyvesant (West)"
"POINT (-73.72937799958603 40.71162900100018)","4","Queens","413","27","33","14","5","Hempstead Avenue and 225 Street","Queens","2021-09-16T00:00:00.000","-73.729378","40.711629","X","AREA OF MINIMAL FLOOD HAZARD",,"Queens Village"
"POINT (-73.73913499976132 40.72459900057947)","4","Queens","413","23","33","11","3","Springfield Boulevard and  92 Avenue","Queens","2022-10-13T00:00:00.000","-73.739135","40.724599","X","AREA OF MINIMAL FLOOD HAZARD",,"Queens Village"
"POINT (-74.13283100036644 40.63212100073035)","5","Staten Island","501","49","61","23","11","Post Avenue and Decker Avenue","Staten Island","2022-06-04T00:00:00.000","-74.132831","40.632121","X","AREA OF MINIMAL FLOOD HAZARD","5","Port Richmond"
"POINT (-73.95802199957576 40.71087100052921)","3","Brooklyn","301","34","53","18","7","Havemyer Avenue and South  3 Street","Brooklyn","2022-09-02T00:00:00.000","-73.958022","40.710871","X","AREA OF MINIMAL FLOOD HAZARD",,"Williamsburg"
"POINT (-73.94966700039602 40.83106800129759)","1","Manhattan","109","7","71","30","13","Riverside Drive and West 151 Street (mid-block)","Manhattan","2017-05-11T00:00:00.000","-73.949667","40.831068","X","AREA OF MINIMAL FLOOD HAZARD",,"Hamilton Heights-Sugar Hill"
"POINT (-73.85767299951463 40.861956001069174)","2","Bronx","211","13","80","33","15","Williamsbridge Road between Mace and Waring Avenue","Bronx","2022-06-29T00:00:00.000","-73.857673","40.861956","X","AREA OF MINIMAL FLOOD HAZARD",,"Allerton"
"POINT (-73.85595399964542 40.858179001043545)","2","Bronx","211","13","80","36","15","Pelham Parkway and Laconia Avenue","Bronx","2014-08-01T00:00:00.000","-73.855954","40.858179","X","AREA OF MINIMAL FLOOD HAZARD",,"Pelham Gardens"
