"bldg_id","boro_id","block","lot","housenumber","streetname","borough","vacateagency","vacatenumber","vacatecode","vacatereason","monthlyrelocationtotal","month","year","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"347221","3","7584","19","1439","OCEAN AVENUE","Brooklyn","DOB","0541/22","BDV","STRUCTURAL","2015","7","2022","11230","40.627013","-73.956626","14","45","762","3206619","3075840019","Midwood"
"667233","4","9187","33","102-55","JAMAICA AVENUE","Queens","DOB","1752/22","BDV","ILLEGAL DWELLING UNITS","5850","3","2023","11418","40.695197","-73.843365","9","32","26","4191667","4091870033","Richmond Hill"
"122885","2","3733","24","1064","WHITE PLAINS ROAD","Bronx","HPD","1378/21","CEV","ILLEGAL DWELLING UNITS","325","12","2021","10472","40.827578","-73.860282","9","18","4001","2023676","2037330024","Castle Hill-Unionport"
"46211","2","3065","68","2329","ARTHUR AVENUE","Bronx","DOB","1156/22","BDV","ILLEGAL DWELLING UNITS","3965","12","2022","10458","40.854101","-73.88883","6","15","391","2011904","2030650068","Belmont"
"59811","2","2948","1","1800","CROTONA AVENUE","Bronx","HPD(EFO)","0836/22","CEV","ILLEGAL DWELLING UNITS","2925","8","2022","10457","40.842811","-73.893511","6","15","36902","2009916","2029480001","Tremont"
"532894","4","12607","35","191-15","119 AVENUE","Queens","DOB","0035/22","BDV","ILLEGAL DWELLING UNITS","9920.89","6","2022","11412","40.689325","-73.75877","12","27","394","4537439","4126070035","St. Albans"
"116696","2","3248","25","2730","UNIVERSITY AVENUE","Bronx","DOB","1695/22","BDV","ILLEGAL DWELLING UNITS","585","12","2022","10468","40.869605","-73.900013","8","14","26701","2015253","2032480025","Kingsbridge Heights-Van Cortlandt Village"
"269980","3","4607","19","16","EAST 54 STREET","Brooklyn","HPD","0428/23","CEV","ILLEGAL DWELLING UNITS","2015","7","2023","11203","40.658915","-73.927238","17","41","866","3099752","3046070019","East Flatbush-Rugby"
"207925","3","8343","68","1162","BERGEN AVENUE","Brooklyn","DOB","1605/21","BDV","ILLEGAL DWELLING UNITS","2015","2","2022","11234","40.628019","-73.914472","18","46","69601","3235306","3083430068","Marine Park-Mill Basin-Bergen Beach"
"579374","4","13306","145","146-30","177 STREET","Queens","HPD","1653/22","CEV","ILLEGAL DWELLING UNITS","437.89","11","2022","11434","40.662214","-73.76922","13","31","320","4285411","4133060145","Springfield Gardens (South)-Brookville"
"523695","4","9317","10","91-46","111 STREET","Queens","DOB","1233/22","BDV","ILLEGAL DWELLING UNITS","1950","1","2023","11418","40.693352","-73.835458","9","29","12601","4195530","4093170010","Richmond Hill"
"545160","4","11730","11","122-27","133 AVENUE","Queens","HPD","1145/22","CEV","ILLEGAL DWELLING UNITS","5182.88","3","2023","11420","40.671675","-73.816473","10","32","840","4254138","4117300011","South Ozone Park"
"53671","2","3000","10","1474","BRYANT AVENUE","Bronx","HPD","0456/22","CEV","ESSENTIAL SERVICES","3931.42","3","2023","10460","40.832175","-73.887667","3","17","157","2010847","2030000010","Crotona Park East"
"53671","2","3000","10","1474","BRYANT AVENUE","Bronx","HPD","0456/22","CEV","ESSENTIAL SERVICES","3000.71","6","2022","10460","40.832175","-73.887667","3","17","157","2010847","2030000010","Crotona Park East"
"283361","3","4597","60","69","EAST 94 STREET","Brooklyn","HPD","1213/22","CEV","ILLEGAL DWELLING UNITS","1625","10","2022","11212","40.663344","-73.926692","17","41","884","3099476","3045970060","East Flatbush-Remsen Village"
"651264","4","15741","19","31-02","DWIGHT AVENUE","Queens","DOB","0962/22","BDV","ILLEGAL DWELLING UNITS","3892.72","2","2023","11691","40.600923","-73.766868","14","31","100804","4300780","4157410019","Far Rockaway-Bayswater"
"69262","2","4668","76","736","EAST 221 STREET","Bronx","HPD","0581/22","CEV","ILLEGAL DWELLING UNITS","1395","9","2022","10467","40.884606","-73.860864","12","12","396","2058148","2046680076","Williamsbridge-Olinville"
"77378","2","2766","134","636","FAILE STREET","Bronx","DOB","0484/23","BDV","ILLEGAL DWELLING UNITS","437.89","3","2023","10474","40.81315","-73.886117","2","17","9301","2006724","2027660134","Hunts Point"
"118342","2","3768","56","1267","VIRGINIA AVENUE","Bronx","HPD","1288/22","CEV","ILLEGAL DWELLING UNITS","1950","6","2023","10472","40.832311","-73.861334","9","18","72","2024907","2037680056","Castle Hill-Unionport"
"64261","2","2406","33","371","EAST 159 STREET","Bronx","DOB","1304/21","BDV","STRUCTURAL","2422.54","4","2022","10451","40.82321","-73.915344","3","17","141","2001780","2024060033","Morrisania"
"342119","3","7005","8","3508","NEPTUNE AVENUE","Brooklyn","DOB","1578/21","BDV","ILLEGAL DWELLING UNITS","2325","9","2022","11224","40.577088","-74.001321","13","47","328","3188714","3070050008","Coney Island-Sea Gate"
"64261","2","2406","33","371","EAST 159 STREET","Bronx","DOB","1304/21","BDV","STRUCTURAL","2447.55","5","2022","10451","40.82321","-73.915344","3","17","141","2001780","2024060033","Morrisania"
"79544","2","3748","102","1154","FTELEY AVENUE","Bronx","HPD","1383/21","CEV","ILLEGAL DWELLING UNITS","2800","4","2022","10472","40.828195","-73.871291","9","18","68","2024143","2037480102","Soundview-Bruckner-Bronx River"
"326015","3","4237","26","568","LINCOLN AVENUE","Brooklyn","HPD","0145/23","CEV","ESSENTIAL SERVICES","1960","3","2023","11208","40.675365","-73.867137","5","42","1200","3095200","3042370026","East New York-City Line"
"80518","2","3761","2","1755","GLEASON AVENUE","Bronx","HPD","1237/22","CEV","ILLEGAL DWELLING UNITS","4526.72","11","2022","10472","40.829657","-73.868057","9","18","68","2024604","2037610002","Soundview-Bruckner-Bronx River"
"46211","2","3065","68","2329","ARTHUR AVENUE","Bronx","DOB","1156/22","BDV","ILLEGAL DWELLING UNITS","1950","10","2022","10458","40.854101","-73.88883","6","15","391","2011904","2030650068","Belmont"
"535974","4","11850","48","150-22","122 PLACE","Queens","HPD","1695/21","CEV","ILLEGAL DWELLING UNITS","2224.25","10","2022","11420","40.666005","-73.818414","10","28","84601","4257220","4118500048","South Ozone Park"
"837769","3","3538","101","131","BLAKE AVENUE","Brooklyn","HPD","0137/22","CEV","ESSENTIAL SERVICES","1950","1","2023","11212","40.664865","-73.914882","16","41","902","3388271","3035380101","Brownsville"
"571877","4","10183","21","109-18","167 STREET","Queens","DOB","0061/22","BDV","ILLEGAL DWELLING UNITS","5565.16","9","2022","11433","40.695673","-73.786418","12","27","258","4216744","4101830021","South Jamaica"
"118980","2","4598","24","3209","WALLACE AVENUE","Bronx","HPD","1245/21","CEV","ILLEGAL DWELLING UNITS","2190","1","2022","10467","40.871564","-73.864272","12","15","372","2056280","2045980024","Williamsbridge-Olinville"
"55880","2","2881","6","1812","CEDAR AVENUE","Bronx","DOB","1413/21","BDV","ILLEGAL DWELLING UNITS","3300","1","2022","10453","40.852722","-73.920151","5","16","20502","2009228","2028810006","University Heights (South)-Morris Heights"
"342119","3","7005","8","3508","NEPTUNE AVENUE","Brooklyn","DOB","1578/21","BDV","ILLEGAL DWELLING UNITS","2250","6","2023","11224","40.577088","-74.001321","13","47","328","3188714","3070050008","Coney Island-Sea Gate"
"490218","4","8845","49","76-21","85 DRIVE","Queens","HPD","1568/21","CEV","ILLEGAL DWELLING UNITS","437.89","12","2021","11421","40.693863","-73.865694","9","32","2","4181236","4088450049","Woodhaven"
"450828","4","1161","7","32-49","60 STREET","Queens","DOB","1746/21","BDV","ILLEGAL DWELLING UNITS","2340","10","2022","11377","40.754878","-73.902304","1","26","297","4026134","4011610007","Astoria (East)-Woodside (North)"
"53655","2","2999","24","1452","BRYANT AVENUE","Bronx","DOB","0316/22","BDV","ILLEGAL DWELLING UNITS","12594.67","10","2022","10459","40.831276","-73.888203","3","17","123","2010824","2029990024","Crotona Park East"
"680756","4","15714","86","22-79","MOTT AVENUE","Queens","DOB","1282/21","BDV","STRUCTURAL","3709.06","4","2022","11691","40.605884","-73.758089","14","31","100803","4300289","4157140086","Far Rockaway-Bayswater"
"215900","3","3461","30","1488","BUSHWICK AVENUE","Brooklyn","HPD","0011/23","CEV","ILLEGAL DWELLING UNITS","2015","5","2023","11207","40.683103","-73.906923","4","37","405","3080376","3034610030","Bushwick (East)"
"619115","4","13255","29","138-14","241 STREET","Queens","DOB","0244/23","BDV","ILLEGAL DWELLING UNITS","10279.88","5","2023","11422","40.667726","-73.736232","13","31","638","4284722","4132550029","Rosedale"
"119581","2","4424","4","611","WARING AVENUE","Bronx","HPD","0015/22","CEV","ILLEGAL DWELLING UNITS","2325","3","2023","10467","40.861407","-73.870239","11","15","33202","2051211","2044240004","Allerton"
"698301","4","11980","29","114-54","SUTPHIN BOULEVARD","Queens","DOB","1831/22","BDV","ILLEGAL DWELLING UNITS","3835","3","2023","11434","40.685005","-73.792935","12","28","190","4259579","4119800029","Baisley Park"
"112778","2","2436","87","1261","TELLER AVENUE","Bronx","DOB","1155/22","BDV","STRUCTURAL","2398.2","11","2022","10456","40.83376","-73.910749","4","16","17701","2002367","2024360087","Concourse-Concourse Village"
"865129","4","10172","11","108-25","164 STREET","Queens","HPD","0308/22","CEV","ILLEGAL DWELLING UNITS","1950","6","2023","11433","40.696407","-73.790047","12","27","258","4532388","4101720011","South Jamaica"
"250426","3","5222","102","589","EAST 22 STREET","Brooklyn","DOB","0554/22","BDV","ILLEGAL DWELLING UNITS","2850","8","2022","11226","40.637932","-73.956691","14","45","51601","3120670","3052220102","Flatbush"
"297574","3","1695","52","1793","FULTON STREET","Brooklyn","DOB","1206/23","BDV","STRUCTURAL","437.89","7","2023","11233","40.679185","-73.927237","3","36","381","3047933","3016950052","Bedford-Stuyvesant (East)"
"299548","3","1630","48","829","GATES AVENUE","Brooklyn","DOB","0726/22","BDV","ILLEGAL DWELLING UNITS","2547","8","2022","11221","40.688208","-73.933368","3","36","293","3044500","3016300048","Bedford-Stuyvesant (East)"
"702067","4","9595","11","105-28","VAN WYCK EXPRESSWAY SR WEST","Queens","HPD","0928/22","CEV","ILLEGAL DWELLING UNITS","2100","4","2023","11419","40.689865","-73.809886","10","28","15801","4205248","4095950011","South Ozone Park"
"465247","4","3536","31","60-91","70 AVENUE","Queens","HPD","1640/21","CEV","ESSENTIAL SERVICES","7930","10","2022","11385","40.702458","-73.895701","5","30","583","4085254","4035360031","Ridgewood"
"97429","2","2826","76","1820","MORRIS AVENUE","Bronx","DOB","1269/21","BDV","ILLEGAL DWELLING UNITS","6009.06","11","2021","10453","40.847515","-73.908742","5","14","22701","2007895","2028260076","Mount Hope"
"46211","2","3065","68","2329","ARTHUR AVENUE","Bronx","DOB","1156/22","BDV","ILLEGAL DWELLING UNITS","1040","9","2022","10458","40.854101","-73.88883","6","15","391","2011904","2030650068","Belmont"
"207925","3","8343","68","1162","BERGEN AVENUE","Brooklyn","DOB","1605/21","BDV","ILLEGAL DWELLING UNITS","3965","10","2022","11234","40.628019","-73.914472","18","46","69601","3235306","3083430068","Marine Park-Mill Basin-Bergen Beach"
"76051","2","3862","35","1321","ELDER AVENUE","Bronx","HPD","1521/22","CEV","ILLEGAL DWELLING UNITS","437.89","11","2022","10472","40.831739","-73.87992","9","17","56","2027392","2038620035","Soundview-Bruckner-Bronx River"
"586214","4","10457","95","88-15","192 STREET","Queens","HPD","1261/21","CEV","ILLEGAL DWELLING UNITS","437.89","10","2021","11423","40.715966","-73.769853","12","23","482","4222287","4104570095","Hollis"
"53975","2","4577","27","1038","BURKE AVENUE","Bronx","DOB","1215/22","BDV","ILLEGAL DWELLING UNITS","2626.72","11","2022","10469","40.871265","-73.857825","12","12","344","2055872","2045770027","Pelham Gardens"
"247803","3","5079","45","27","EAST 18 STREET","Brooklyn","HPD","0458/22","CEV","ILLEGAL DWELLING UNITS","2280.91","6","2023","11226","40.650637","-73.963292","14","40","506","3116526","3050790045","Flatbush (West)-Ditmas Park-Parkville"
"424853","4","1222","45","68-02","37 ROAD","Queens","DOB","0297/22","BDV","ILLEGAL DWELLING UNITS","3835","3","2023","11377","40.747589","-73.897334","2","26","263","4535446","4012220045","Woodside"
"619115","4","13255","29","138-14","241 STREET","Queens","DOB","0244/23","BDV","ILLEGAL DWELLING UNITS","2061.68","7","2023","11422","40.667726","-73.736232","13","31","638","4284722","4132550029","Rosedale"
"60058","2","2985","13","1890","CROTONA PARKWAY","Bronx","DOB","0020/23","BDV","ILLEGAL DWELLING UNITS","2120","4","2023","10460","40.840635","-73.885658","6","17","359","2010617","2029850013","West Farms"
"999420","2","5582","122","350","BALCOM AVENUE","Bronx","HPD","1390/22","CEV","ILLEGAL DWELLING UNITS","3835","3","2023","10465","40.817471","-73.823604","10","13","144","2102294","2055820122","Throgs Neck-Schuylerville"
"86984","2","4556","25","2934","HONE AVENUE","Bronx","HPD","0865/22","CEV","ILLEGAL DWELLING UNITS","1350","10","2022","10469","40.86837","-73.857633","11","12","344","2055025","2045560025","Pelham Gardens"
"599464","4","10559","53","90-28","210 STREET","Queens","HPD","0215/23","CEV","ESSENTIAL SERVICES","2015","5","2023","11428","40.71902","-73.753533","13","23","496","4225177","4105590053","Queens Village"
"170113","3","6208","18","2144","73 STREET","Brooklyn","HPD","0307/22","CEV","ILLEGAL DWELLING UNITS","2015","9","2022","11204","40.610044","-73.987333","11","43","268","3159255","3062080018","Bensonhurst"
"895010","4","9482","23","95-20","VAN WYCK EXPRESSWAY","Queens","HPD","1603/21","CEV","ILLEGAL DWELLING UNITS","437.89","12","2021","11419","40.696088","-73.813348","9","29","152","4531601","4094820023","South Richmond Hill"
"104814","2","3948","22","1538","PURDY STREET","Bronx","DOB","1468/21","BDV","ILLEGAL DWELLING UNITS","1397.53","2","2023","10462","40.837256","-73.853399","9","18","222","2041238","2039480022","Parkchester"
"516815","4","9406","21","97-36","105 STREET","Queens","HPD","1683/22","CEV","ILLEGAL DWELLING UNITS","990","5","2023","11416","40.687903","-73.83886","9","28","116","4197765","4094060021","Ozone Park (North)"
"511396","4","9406","35","104-03","101 AVENUE","Queens","DOB","1697/21","BDV","ILLEGAL DWELLING UNITS","437.89","12","2021","11416","40.686289","-73.838915","9","29","116","4197776","4094060035","Ozone Park (North)"
"597987","4","10967","152","111-18","209 STREET","Queens","HPD","1282/22","CEV","ILLEGAL DWELLING UNITS","1950","6","2023","11429","40.705689","-73.747425","13","27","512","4235004","4109670152","Queens Village"
"81668","2","2464","23","1235","GRAND CONCOURSE","Bronx","DOB","0519/23","BDV","ILLEGAL DWELLING UNITS","4650","7","2023","10452","40.835466","-73.916785","4","16","197","2002849","2024640023","Concourse-Concourse Village"
"65802","2","2800","63","234","EAST 176 STREET","Bronx","DOB","0073/23","BDV","ILLEGAL DWELLING UNITS","437.89","1","2023","10457","40.847457","-73.905298","5","14","22901","2007534","2028000063","Mount Hope"
"776643","5","1075","25","2172","RICHMOND TERRACE","Staten Island","HPD","0032/23","CEV","ESSENTIAL SERVICES","5939.99","3","2023","10302","40.640251","-74.135377","1","49","20701","5025329","5010750025","Port Richmond"
"60033","2","2952","5","811","CROTONA PARK NORTH","Bronx","DOB","0021/22","BDV","STRUCTURAL","3965","10","2022","10460","40.840355","-73.890971","6","17","367","2010000","2029520005","Tremont"
"282383","3","4612","63","129","EAST 93 STREET","Brooklyn","DOB","1403/22","BDV","ILLEGAL DWELLING UNITS","3625.4","7","2023","11212","40.661796","-73.9262","17","41","884","3099981","3046120063","East Flatbush-Remsen Village"
"184735","3","3925","56","251","ARLINGTON AVENUE","Brooklyn","DOB","0294/22","BDV","ILLEGAL DWELLING UNITS","6627.16","6","2022","11208","40.680745","-73.885388","5","37","117202","3087088","3039250056","Cypress Hills"
"81497","2","3206","60","2119","GRAND AVENUE","Bronx","DOB","1182/22","BDV","ILLEGAL DWELLING UNITS","7724.64","10","2022","10453","40.855617","-73.907936","5","14","251","2014479","2032060060","University Heights (South)-Morris Heights"
"571877","4","10183","21","109-18","167 STREET","Queens","DOB","0061/22","BDV","ILLEGAL DWELLING UNITS","1653.2","11","2022","11433","40.695673","-73.786418","12","27","258","4216744","4101830021","South Jamaica"
"448303","4","2728","18","60-20","59 AVENUE","Queens","DOB","0911/22","BDV","ILLEGAL DWELLING UNITS","455","8","2022","11378","40.7189","-73.905935","5","30","525","4060874","4027280018","Maspeth"
"689012","4","10243","86","174-23","POLHEMAS AVENUE","Queens","HPD","0486/22","CEV","ILLEGAL DWELLING UNITS","2015","9","2022","11433","40.70152","-73.782324","12","27","440","4218292","4102430086","South Jamaica"
"184735","3","3925","56","251","ARLINGTON AVENUE","Brooklyn","DOB","0294/22","BDV","ILLEGAL DWELLING UNITS","4196.98","8","2022","11208","40.680745","-73.885388","5","37","117202","3087088","3039250056","Cypress Hills"
"367377","3","4768","54","1233","SCHENECTADY AVENUE","Brooklyn","HPD","1397/22","CEV","ILLEGAL DWELLING UNITS","680","11","2022","11203","40.64277","-73.93234","17","45","840","3105631","3047680054","East Flatbush-Farragut"
"428720","4","1495","34","75-16","41 AVENUE","Queens","DOB","1272/21","BDV","ILLEGAL DWELLING UNITS","3835","3","2023","11373","40.745329","-73.889914","4","25","267","4307382","4014950034","Elmhurst"
"119581","2","4424","4","611","WARING AVENUE","Bronx","HPD","0015/22","CEV","ILLEGAL DWELLING UNITS","2325","7","2022","10467","40.861407","-73.870239","11","15","33202","2051211","2044240004","Allerton"
"207925","3","8343","68","1162","BERGEN AVENUE","Brooklyn","DOB","1605/21","BDV","ILLEGAL DWELLING UNITS","2015","7","2022","11234","40.628019","-73.914472","18","46","69601","3235306","3083430068","Marine Park-Mill Basin-Bergen Beach"
"999420","2","5582","122","350","BALCOM AVENUE","Bronx","HPD","1390/22","CEV","ILLEGAL DWELLING UNITS","2015","1","2023","10465","40.817471","-73.823604","10","13","144","2102294","2055820122","Throgs Neck-Schuylerville"
"279386","3","8037","42","1004","EAST 86 STREET","Brooklyn","DOB","0005/22","BDV","ILLEGAL DWELLING UNITS","2015","5","2022","11236","40.636552","-73.906894","18","46","994","3225769","3080370042","Canarsie"
"573960","4","12344","357","115-17","169 STREET","Queens","DOB","1339/21","BDV","ILLEGAL DWELLING UNITS","2015","5","2023","11434","40.688848","-73.779509","12","27","280","4267367","4123440357","Baisley Park"
"538598","4","11652","42","114-49","125 STREET","Queens","DOB","0549/22","BDV","ILLEGAL DWELLING UNITS","1235","6","2022","11420","40.679399","-73.814765","10","28","174","4251540","4116520042","South Ozone Park"
"680756","4","15714","86","22-79","MOTT AVENUE","Queens","DOB","1282/21","BDV","STRUCTURAL","7871.31","11","2021","11691","40.605884","-73.758089","14","31","100803","4300289","4157140086","Far Rockaway-Bayswater"
"385347","3","4042","8","411","VAN SICLEN AVENUE","Brooklyn","HPD","1332/21","CEV","ILLEGAL DWELLING UNITS","1950","10","2022","11207","40.669595","-73.889513","5","42","1160","3323478","3040420008","East New York (North)"
"71899","2","4977","60","1049","EAST 233 STREET","Bronx","DOB","1032/22","BDV","ILLEGAL DWELLING UNITS","437.89","7","2022","10466","40.890064","-73.846884","12","12","426","2067285","2049770060","Eastchester-Edenwald-Baychester"
"678692","4","6532","22","144-28","MELBOURNE AVENUE","Queens","DOB","0764/22","CEV","ILLEGAL DWELLING UNITS","975","7","2023","11367","40.734334","-73.824365","8","24","809","4141933","4065320022","Kew Gardens Hills"
"97403","2","2820","55","1517","MORRIS AVENUE","Bronx","DOB","0282/22","BDV","ILLEGAL DWELLING UNITS","2325","1","2023","10457","40.841658","-73.909513","4","16","225","2007839","2028200055","Mount Eden-Claremont (West)"
