"oid","hotspot_dataset_object_id","public_space_open_space_name","public_space_open_space","borough_name","neighborhood_tabulation_area","neighborhood_tabulation_area_1","number_of_access_points_per","provider","ssid","latitude","longitude","published_date"
"22","1387","Asser Levy Park","Inside","Brooklyn","BK21","Seagate-Coney Island","3","ALTICEUSA","GuestWiFi","40.57355","-73.97737","2019-05-30T00:00:00.000"
"23","1388","Asser Levy Park","Inside","Brooklyn","BK21","Seagate-Coney Island","3","ALTICEUSA","GuestWiFi","40.57355","-73.97737","2019-05-30T00:00:00.000"
"24","135","Astoria Park","Inside","Queens","QN99","park-cemetery-etc-Queens","1","AT&T","attwifi","40.777","-73.9252","2019-05-30T00:00:00.000"
"25","976","Baisley Pond Park","Inside","Queens","QN76","Baisley Park","3","SPECTRUM","GuestWiFi","40.67934","-73.78444","2019-05-30T00:00:00.000"
"26","977","Baisley Pond Park","Inside","Queens","QN76","Baisley Park","3","SPECTRUM","GuestWiFi","40.68079","-73.78468","2019-05-30T00:00:00.000"
"27","969","Baisley Pond Park","Inside","Queens","QN76","Baisley Park","3","SPECTRUM","GuestWiFi","40.68301","-73.78482","2019-05-30T00:00:00.000"
"28","1758","Battery Park","Inside","Manhattan","MN99","park-cemetery-etc-Manhattan","2","AT&T","attwifi","40.7016","-74.0149","2019-05-30T00:00:00.000"
"29","1759","Battery Park","Inside","Manhattan","MN99","park-cemetery-etc-Manhattan","2","AT&T","attwifi","40.703","-74.0168","2019-05-30T00:00:00.000"
"30","1354","Bensonhurst Park","Inside","Brooklyn","BK27","Bath Beach","6","ALTICEUSA","GuestWiFi","40.5977","-74.00027","2019-05-30T00:00:00.000"
"31","1355","Bensonhurst Park","Inside","Brooklyn","BK27","Bath Beach","6","ALTICEUSA","GuestWiFi","40.59759","-74.00111","2019-05-30T00:00:00.000"
"32","1356","Bensonhurst Park","Inside","Brooklyn","BK27","Bath Beach","6","ALTICEUSA","GuestWiFi","40.59718","-74.00028","2019-05-30T00:00:00.000"
"33","1357","Bensonhurst Park","Inside","Brooklyn","BK27","Bath Beach","6","ALTICEUSA","GuestWiFi","40.59715","-73.99968","2019-05-30T00:00:00.000"
"34","1358","Bensonhurst Park","Inside","Brooklyn","BK27","Bath Beach","6","ALTICEUSA","GuestWiFi","40.59716","-74.00136","2019-05-30T00:00:00.000"
"35","1359","Bensonhurst Park","Inside","Brooklyn","BK27","Bath Beach","6","ALTICEUSA","GuestWiFi","40.59815","-74.00114","2019-05-30T00:00:00.000"
"36","825","Blood Root Valley","Inside","Staten Island","SI05","New Springville-Bloomfield-Travis","5","SPECTRUM","GuestWiFi","40.59205","-74.13909","2019-05-30T00:00:00.000"
"37","826","Blood Root Valley","Inside","Staten Island","SI05","New Springville-Bloomfield-Travis","5","SPECTRUM","GuestWiFi","40.5919","-74.13857","2019-05-30T00:00:00.000"
"38","827","Blood Root Valley","Inside","Staten Island","SI05","New Springville-Bloomfield-Travis","5","SPECTRUM","GuestWiFi","40.59202","-74.13806","2019-05-30T00:00:00.000"
"39","828","Blood Root Valley","Inside","Staten Island","SI05","New Springville-Bloomfield-Travis","5","SPECTRUM","GuestWiFi","40.59185","-74.13915","2019-05-30T00:00:00.000"
"40","829","Blood Root Valley","Inside","Staten Island","SI05","New Springville-Bloomfield-Travis","5","SPECTRUM","GuestWiFi","40.59203","-74.13812","2019-05-30T00:00:00.000"
"41","1361","Bronx Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","1","ALTICEUSA","GuestWiFi","40.85398","-73.87047","2019-05-30T00:00:00.000"
"42","1360","Bronx River Parkway","Inside","Bronx","BX99","park-cemetery-etc-Bronx","1","ALTICEUSA","GuestWiFi","40.87301","-73.87135","2019-05-30T00:00:00.000"
"43","1646","Brooklyn Bridge Park","Inside","Manhattan","MN99","park-cemetery-etc-Manhattan","1","AT&T","attwifi","40.693","-74.0019","2019-05-30T00:00:00.000"
"44","1767","Brooklyn Heights Promenade","Inside","Brooklyn","BK09","Brooklyn Heights-Cobble Hill","6","SPECTRUM","GuestWiFi","40.6981","-73.99694","2019-05-30T00:00:00.000"
"45","1763","Brooklyn Heights Promenade","Inside","Brooklyn","BK09","Brooklyn Heights-Cobble Hill","6","SPECTRUM","GuestWiFi","40.69667","-73.99766","2019-05-30T00:00:00.000"
"46","1764","Brooklyn Heights Promenade","Inside","Brooklyn","BK09","Brooklyn Heights-Cobble Hill","6","SPECTRUM","GuestWiFi","40.69699","-73.99749","2019-05-30T00:00:00.000"
"47","1765","Brooklyn Heights Promenade","Inside","Brooklyn","BK09","Brooklyn Heights-Cobble Hill","6","SPECTRUM","GuestWiFi","40.69734","-73.99733","2019-05-30T00:00:00.000"
"48","1766","Brooklyn Heights Promenade","Inside","Brooklyn","BK09","Brooklyn Heights-Cobble Hill","6","SPECTRUM","GuestWiFi","40.69767","-73.99718","2019-05-30T00:00:00.000"
"49","1634","Brooklyn Heights Promenade","Inside","Brooklyn","BK09","Brooklyn Heights-Cobble Hill","6","AT&T","attwifi","40.6943","-73.9988","2019-05-30T00:00:00.000"
"50","1364","Brownsville Playground","Inside","Brooklyn","BK81","Brownsville","5","ALTICEUSA","GuestWiFi","40.6567","-73.9028","2019-05-30T00:00:00.000"
"51","1365","Brownsville Playground","Inside","Brooklyn","BK81","Brownsville","5","ALTICEUSA","GuestWiFi","40.6564","-73.9027","2019-05-30T00:00:00.000"
"52","1366","Brownsville Playground","Inside","Brooklyn","BK81","Brownsville","5","ALTICEUSA","GuestWiFi","40.6561","-73.9025","2019-05-30T00:00:00.000"
"53","1367","Brownsville Playground","Inside","Brooklyn","BK81","Brownsville","5","ALTICEUSA","GuestWiFi","40.6562","-73.90257","2019-05-30T00:00:00.000"
"54","1368","Brownsville Playground","Inside","Brooklyn","BK81","Brownsville","5","ALTICEUSA","GuestWiFi","40.6561","-73.90276","2019-05-30T00:00:00.000"
"55","1638","Bryant Park","Inside","Manhattan","MN17","Midtown-Midtown South","2","SPECTRUM","GuestWiFi","40.75278","-73.98164","2019-05-30T00:00:00.000"
"56","1645","Bryant Park","Inside","Manhattan","MN17","Midtown-Midtown South","2","Partner","BryantPark.org","40.7538","-73.9833","2019-05-30T00:00:00.000"
"57","1768","Cadman Plaza Park","Inside","Brooklyn","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","1","SPECTRUM","GuestWiFi","40.69673","-73.99035","2019-05-30T00:00:00.000"
"58","1739","Central Park","Inside","Manhattan","MN99","park-cemetery-etc-Manhattan","4","AT&T","attwifi","40.7721","-73.9771","2019-05-30T00:00:00.000"
"59","1740","Central Park","Inside","Manhattan","MN99","park-cemetery-etc-Manhattan","4","AT&T","attwifi","40.768","-73.9712","2019-05-30T00:00:00.000"
"60","943","Central Park","Inside","Manhattan","MN99","park-cemetery-etc-Manhattan","4","AT&T","attwifi","40.7729","-73.974","2019-05-30T00:00:00.000"
"61","944","Central Park","Inside","Manhattan","MN99","park-cemetery-etc-Manhattan","4","AT&T","attwifi","40.771","-73.9709","2019-05-30T00:00:00.000"
"62","1774","Chelsea Recreation Center","Inside","Manhattan","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","5","SPECTRUM","GuestWiFi","40.74827","-74.00207","2019-05-30T00:00:00.000"
"63","1775","Chelsea Recreation Center","Inside","Manhattan","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","5","SPECTRUM","GuestWiFi","40.74827","-74.00207","2019-05-30T00:00:00.000"
"64","1776","Chelsea Recreation Center","Inside","Manhattan","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","5","SPECTRUM","GuestWiFi","40.74827","-74.00207","2019-05-30T00:00:00.000"
"65","1777","Chelsea Recreation Center","Inside","Manhattan","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","5","SPECTRUM","GuestWiFi","40.74827","-74.00207","2019-05-30T00:00:00.000"
"66","1778","Chelsea Recreation Center","Inside","Manhattan","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","5","SPECTRUM","GuestWiFi","40.74827","-74.00207","2019-05-30T00:00:00.000"
"67","1779","City Hall Park","Inside","Manhattan","MN24","SoHo-TriBeCa-Civic Center-Little Italy","1","SPECTRUM","GuestWiFi","40.71231","-74.00696","2019-05-30T00:00:00.000"
"68","1377","Claremont Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","5","ALTICEUSA","GuestWiFi","40.83814","-73.90834","2019-05-30T00:00:00.000"
"69","1373","Claremont Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","5","ALTICEUSA","GuestWiFi","40.84112","-73.90548","2019-05-30T00:00:00.000"
"70","1374","Claremont Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","5","ALTICEUSA","GuestWiFi","40.8416","-73.9071","2019-05-30T00:00:00.000"
"71","1375","Claremont Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","5","ALTICEUSA","GuestWiFi","40.84122","-73.90678","2019-05-30T00:00:00.000"
"72","1376","Claremont Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","5","ALTICEUSA","GuestWiFi","40.8377","-73.90848","2019-05-30T00:00:00.000"
"73","137","Clove Lakes Park","Inside","Staten Island","SI07","Westerleigh","7","AT&T","attwifi","40.6173","-74.1063","2019-05-30T00:00:00.000"
"74","890","Clove Lakes Park","Inside","Staten Island","SI07","Westerleigh","7","SPECTRUM","GuestWiFi","40.61775","-74.10819","2019-05-30T00:00:00.000"
"75","891","Clove Lakes Park","Inside","Staten Island","SI07","Westerleigh","7","SPECTRUM","GuestWiFi","40.61775","-74.10819","2019-05-30T00:00:00.000"
"76","1781","Clove Lakes Park","Inside","Staten Island","SI07","Westerleigh","7","SPECTRUM","GuestWiFi","40.61806","-74.10819","2019-05-30T00:00:00.000"
"77","458","Clove Lakes Park","Inside","Staten Island","SI07","Westerleigh","7","SPECTRUM","GuestWiFi","40.61824","-74.10721","2019-05-30T00:00:00.000"
"78","459","Clove Lakes Park","Inside","Staten Island","SI07","Westerleigh","7","SPECTRUM","GuestWiFi","40.61824","-74.10721","2019-05-30T00:00:00.000"
"79","460","Clove Lakes Park","Inside","Staten Island","SI07","Westerleigh","7","SPECTRUM","GuestWiFi","40.61824","-74.10721","2019-05-30T00:00:00.000"
"80","805","Coffey Park","Inside","Brooklyn","BK33","Carroll Gardens-Columbia Street-Red Hook","4","SPECTRUM","GuestWiFi","40.67719","-74.00872","2019-05-30T00:00:00.000"
"81","806","Coffey Park","Inside","Brooklyn","BK33","Carroll Gardens-Columbia Street-Red Hook","4","SPECTRUM","GuestWiFi","40.67719","-74.00872","2019-05-30T00:00:00.000"
"82","807","Coffey Park","Inside","Brooklyn","BK33","Carroll Gardens-Columbia Street-Red Hook","4","SPECTRUM","GuestWiFi","40.67719","-74.00872","2019-05-30T00:00:00.000"
"83","461","Coffey Park","Inside","Brooklyn","BK33","Carroll Gardens-Columbia Street-Red Hook","4","SPECTRUM","GuestWiFi","40.67719","-74.00872","2019-05-30T00:00:00.000"
"84","1591","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.84071","-73.89605","2019-05-30T00:00:00.000"
"85","1408","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83569","-73.90009","2019-05-30T00:00:00.000"
"86","2106","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83697","-73.89377","2019-05-30T00:00:00.000"
"87","1409","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83666","-73.89498","2019-05-30T00:00:00.000"
"88","1410","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83712","-73.89331","2019-05-30T00:00:00.000"
"89","1411","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.8375","-73.89489","2019-05-30T00:00:00.000"
"90","1412","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83754","-73.89366","2019-05-30T00:00:00.000"
"91","2123","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83718","-73.89039","2019-05-30T00:00:00.000"
"92","1413","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.8377","-73.89038","2019-05-30T00:00:00.000"
"93","1414","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83806","-73.89348","2019-05-30T00:00:00.000"
"94","1415","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83822","-73.89339","2019-05-30T00:00:00.000"
"95","1416","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83899","-73.88871","2019-05-30T00:00:00.000"
"96","1417","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83899","-73.88871","2019-05-30T00:00:00.000"
"97","1420","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.83989","-73.89537","2019-05-30T00:00:00.000"
"98","1421","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.84011","-73.89522","2019-05-30T00:00:00.000"
"99","1422","Crotona Park","Inside","Bronx","BX99","park-cemetery-etc-Bronx","16","ALTICEUSA","GuestWiFi","40.84053","-73.89517","2019-05-30T00:00:00.000"
"100","813","Cunningham Park","Inside","Queens","QN99","park-cemetery-etc-Queens","3","SPECTRUM","GuestWiFi","40.72987","-73.77384","2019-05-30T00:00:00.000"
"101","810","Cunningham Park","Inside","Queens","QN99","park-cemetery-etc-Queens","3","SPECTRUM","GuestWiFi","40.73012","-73.77386","2019-05-30T00:00:00.000"
"102","811","Cunningham Park","Inside","Queens","QN99","park-cemetery-etc-Queens","3","SPECTRUM","GuestWiFi","40.73012","-73.77386","2019-05-30T00:00:00.000"
"103","970","Devoe Park","Inside","Bronx","BX30","Kingsbridge Heights","1","AT&T","attwifi","40.8631","-73.9065","2019-05-30T00:00:00.000"
"104","815","Dyker Beach Park","Inside","Brooklyn","BK99","park-cemetery-etc-Brooklyn","1","SPECTRUM","GuestWiFi","40.61299","-74.01292","2019-05-30T00:00:00.000"
"105","21","East Parade Grounds","Inside","Brooklyn","BK99","park-cemetery-etc-Brooklyn","1","ALTICEUSA","GuestWiFi","40.6507","-73.96584","2019-05-30T00:00:00.000"
"106","1604","Ferry Point Park","Inside","Bronx","BX52","Schuylerville-Throgs Neck-Edgewater Park","2","ALTICEUSA","GuestWiFi","40.81535","-73.83767","2019-05-30T00:00:00.000"
"107","1605","Ferry Point Park","Inside","Bronx","BX52","Schuylerville-Throgs Neck-Edgewater Park","2","ALTICEUSA","GuestWiFi","40.81641","-73.834","2019-05-30T00:00:00.000"
"108","148","Flushing Meadows Corona Park","Inside","Queens","QN99","park-cemetery-etc-Queens","1","AT&T","attwifi","40.7432","-73.8443","2019-05-30T00:00:00.000"
"109","1192","Forest Park","Inside","Queens","QN60","Kew Gardens","3","SPECTRUM","GuestWiFi","40.71082","-73.83553","2019-05-30T00:00:00.000"
"110","1193","Forest Park","Inside","Queens","QN60","Kew Gardens","3","SPECTRUM","GuestWiFi","40.70977","-73.8356","2019-05-30T00:00:00.000"
"111","1194","Forest Park","Inside","Queens","QN60","Kew Gardens","3","SPECTRUM","GuestWiFi","40.71069","-73.83552","2019-05-30T00:00:00.000"
"112","930","Fort Greene Park","Inside","Brooklyn","BK68","Fort Greene","1","AT&T","attwifi","40.6915","-73.9755","2019-05-30T00:00:00.000"
"113","1190","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57958","-74.07636","2019-05-30T00:00:00.000"
"114","1191","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57999","-74.0759","2019-05-30T00:00:00.000"
"115","1183","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57508","-74.08168","2019-05-30T00:00:00.000"
"116","1184","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57575","-74.08068","2019-05-30T00:00:00.000"
"117","1185","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57624","-74.07999","2019-05-30T00:00:00.000"
"118","145","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","AT&T","attwifi","40.589","-74.0667","2019-05-30T00:00:00.000"
"119","1186","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57648","-74.07962","2019-05-30T00:00:00.000"
"120","1187","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57722","-74.07858","2019-05-30T00:00:00.000"
"121","908","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57231","-74.08601","2019-05-30T00:00:00.000"
"122","1188","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57777","-74.07799","2019-05-30T00:00:00.000"
"123","909","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57334","-74.08441","2019-05-30T00:00:00.000"
"124","1189","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI36","Old Town-Dongan Hills-South Beach","16","SPECTRUM","GuestWiFi","40.57863","-74.0768","2019-05-30T00:00:00.000"
"125","904","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI45","New Dorp-Midland Beach","16","SPECTRUM","GuestWiFi","40.56837","-74.09064","2019-05-30T00:00:00.000"
"126","905","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI45","New Dorp-Midland Beach","16","SPECTRUM","GuestWiFi","40.56936","-74.08949","2019-05-30T00:00:00.000"
"127","906","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI45","New Dorp-Midland Beach","16","SPECTRUM","GuestWiFi","40.57019","-74.08855","2019-05-30T00:00:00.000"
"128","907","Franklin D. Roosevelt Boardwalk and Beach","Inside","Staten Island","SI45","New Dorp-Midland Beach","16","SPECTRUM","GuestWiFi","40.57127","-74.08729","2019-05-30T00:00:00.000"
"129","1609","Gravesend Park","Inside","Brooklyn","BK88","Borough Park","3","ALTICEUSA","GuestWiFi","40.62331","-73.98526","2019-05-30T00:00:00.000"
"130","1610","Gravesend Park","Inside","Brooklyn","BK88","Borough Park","3","ALTICEUSA","GuestWiFi","40.62383","-73.98359","2019-05-30T00:00:00.000"
"131","1612","Gravesend Park","Inside","Brooklyn","BK88","Borough Park","3","ALTICEUSA","GuestWiFi","40.62346","-73.98288","2019-05-30T00:00:00.000"
"132","1613","Gun Hill Playground","Inside","Bronx","BX44","Williamsbridge-Olinville","1","ALTICEUSA","GuestWiFi","40.87455","-73.86554","2019-05-30T00:00:00.000"
"133","830","Hamilton Fish Park","Inside","Manhattan","MN28","Lower East Side","4","SPECTRUM","GuestWiFi","40.71996","-73.98148","2019-05-30T00:00:00.000"
"134","54","Hamilton Fish Park","Inside","Manhattan","MN28","Lower East Side","4","SPECTRUM","GuestWiFi","40.72001","-73.98144","2019-05-30T00:00:00.000"
"135","831","Hamilton Fish Park","Inside","Manhattan","MN28","Lower East Side","4","SPECTRUM","GuestWiFi","40.7201","-73.9813","2019-05-30T00:00:00.000"
"136","53","Hamilton Fish Park","Inside","Manhattan","MN28","Lower East Side","4","SPECTRUM","GuestWiFi","40.71979","-73.98147","2019-05-30T00:00:00.000"
"137","1619","Heckscher Playground","Inside","Brooklyn","BK78","Bushwick South","2","ALTICEUSA","GuestWiFi","40.69484","-73.91863","2019-05-30T00:00:00.000"
"138","1620","Heckscher Playground","Inside","Brooklyn","BK78","Bushwick South","2","ALTICEUSA","GuestWiFi","40.69477","-73.91851","2019-05-30T00:00:00.000"
"139","931","Herbert Von King Park","Inside","Brooklyn","BK75","Bedford","2","AT&T","attwifi","40.6898","-73.9462","2019-05-30T00:00:00.000"
"140","1621","Herbert Von King Park","Inside","Brooklyn","BK75","Bedford","2","ALTICEUSA","GuestWiFi","40.68992","-73.94647","2019-05-30T00:00:00.000"
"141","982","Hillside Park","Inside","Brooklyn","BK09","Brooklyn Heights-Cobble Hill","1","AT&T","attwifi","40.7015","-73.9943","2019-05-30T00:00:00.000"
"142","1748","Holcombe Rucker Park","Inside","Manhattan","MN03","Central Harlem North-Polo Grounds","1","AT&T","attwifi","40.8292","-73.9361","2019-05-30T00:00:00.000"
"143","963","Hunts Point Riverside Park","Inside","Bronx","BX27","Hunts Point","1","AT&T","attwifi","40.8177","-73.8811","2019-05-30T00:00:00.000"
"144","138","J. Hood Wright Park","Inside","Manhattan","MN36","Washington Heights South","6","SPECTRUM","GuestWiFi","40.84656","-73.94086","2019-05-30T00:00:00.000"
"145","139","J. Hood Wright Park","Inside","Manhattan","MN36","Washington Heights South","6","SPECTRUM","GuestWiFi","40.84638","-73.94071","2019-05-30T00:00:00.000"
"146","129","J. Hood Wright Park","Inside","Manhattan","MN36","Washington Heights South","6","SPECTRUM","GuestWiFi","40.84689","-73.94133","2019-05-30T00:00:00.000"
"147","130","J. Hood Wright Park","Inside","Manhattan","MN36","Washington Heights South","6","SPECTRUM","GuestWiFi","40.84647","-73.94172","2019-05-30T00:00:00.000"
"148","131","J. Hood Wright Park","Inside","Manhattan","MN36","Washington Heights South","6","SPECTRUM","GuestWiFi","40.8462","-73.94135","2019-05-30T00:00:00.000"
"149","133","J. Hood Wright Park","Inside","Manhattan","MN36","Washington Heights South","6","SPECTRUM","GuestWiFi","40.84669","-73.94088","2019-05-30T00:00:00.000"
"150","140","Jackie Robinson Park","Inside","Manhattan","MN04","Hamilton Heights","7","SPECTRUM","GuestWiFi","40.82478","-73.94218","2019-05-30T00:00:00.000"
"151","141","Jackie Robinson Park","Inside","Manhattan","MN04","Hamilton Heights","7","SPECTRUM","GuestWiFi","40.82413","-73.94246","2019-05-30T00:00:00.000"
"152","142","Jackie Robinson Park","Inside","Manhattan","MN04","Hamilton Heights","7","SPECTRUM","GuestWiFi","40.82413","-73.94246","2019-05-30T00:00:00.000"
"153","174","Jackie Robinson Park","Inside","Manhattan","MN04","Hamilton Heights","7","SPECTRUM","GuestWiFi","40.82413","-73.94246","2019-05-30T00:00:00.000"
"154","143","Jackie Robinson Park","Inside","Manhattan","MN04","Hamilton Heights","7","SPECTRUM","GuestWiFi","40.82413","-73.94246","2019-05-30T00:00:00.000"
"155","144","Jackie Robinson Park","Inside","Manhattan","MN04","Hamilton Heights","7","SPECTRUM","GuestWiFi","40.82413","-73.94246","2019-05-30T00:00:00.000"
"156","175","Jackie Robinson Park","Inside","Manhattan","MN04","Hamilton Heights","7","SPECTRUM","GuestWiFi","40.82413","-73.94246","2019-05-30T00:00:00.000"
"157","1625","Joyce Kilmer Park","Inside","Bronx","BX63","West Concourse","6","ALTICEUSA","GuestWiFi","40.82783","-73.92268","2019-05-30T00:00:00.000"
