"site","location","sample_date","analysis_date_tthm_g_l_a","result_tthm_g_l_a","lraa_tthm_g_l_a","oel_tthm_g_l_a","analysis_date_haa5_g_l_b","result_haa5_g_l_b","lraa_haa5_g_l_b","oel_haa5_g_l_b"
"32350","SS - E/S Ave C, 2nd SS N/O E 7th St, IFO 116 Ave C, 12""","2023-02-07T00:00:00.000","2023-02-14T21:21:00.000","16","39","33","2023-02-11T00:00:00.000","22","35","30"
"31850","SS - S/S Warren St, 2nd SS E/O Greenwich St, IFO 82 Warren St, 12""","2023-02-07T00:00:00.000","2023-02-14T20:19:00.000","13","38","30","2023-02-10T00:00:00.000","35","39","36"
"31750","SS - N/S W 26th St, 2nd SS W/O 9th Ave, IFO 427 W. 26th St, 12""","2023-02-07T00:00:00.000","2023-02-14T20:40:00.000","16","37","33","2023-02-10T00:00:00.000","21","34","29"
"23450","SS - N/S Jefferson Ave, 2nd SS W/O Lewis Ave, OPP 518 Jefferson Ave,  20""","2023-02-07T00:00:00.000","2023-02-14T22:22:00.000","24","34","33","2023-02-09T00:00:00.000","35","32","32"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2023-02-07T00:00:00.000","2023-02-15T00:03:00.000","19","28","26","2023-02-08T00:00:00.000","31","33","32"
"15150","SS - E/S Grand Concourse, 1st SS S/O E 171st St, IFO 1420 Grand Concourse, 12""","2023-02-07T00:00:00.000","2023-02-14T23:02:00.000","18","34","28","2023-02-08T00:00:00.000","28","37","32"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2022-11-01T00:00:00.000","2022-11-01T22:17:00.000","26","28","30","2022-11-02T00:00:00.000","30","31","32"
"77650","SS - E/S 207th St, 1st N/O 111th Ave, OPP 110-52 207th St","2022-11-01T00:00:00.000","2022-11-01T15:18:00.000","34","32","35","2022-11-02T00:00:00.000","31","35","35"
"58650","SS - W/S Main St, 2nd SS S/O Hylan Blvd, IFO 510 Main St, 12""","2022-11-01T00:00:00.000","2022-11-01T19:07:00.000","41","40","43","2022-11-03T00:00:00.000","18","19","19"
"52050","SS - W/S Nicholas Ave, 1st SS S/O Charles Ave, IFO 218 Nicholas Ave, 12""","2022-11-01T00:00:00.000","2022-11-02T15:12:00.000","36","34","37","2022-11-04T00:00:00.000","34","31","32"
"50850","SS - W/S Arlene St, 1st SS N/O Dawson Ct, IFO 512 Arlene St, 12""","2022-11-01T00:00:00.000","2022-11-01T18:47:00.000","35","34","37","2022-11-04T00:00:00.000","30","28","29"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2022-11-01T00:00:00.000","2022-11-02T18:41:00.000","42","39","42","2022-11-03T00:00:00.000","22","23","25"
"50250","SS - N/S Victory Blvd, 2nd SS E/O Highland Ave, IFO 937 Victory Blvd, 20""","2022-11-01T00:00:00.000","2022-11-02T16:27:00.000","28","30","32","2022-11-04T00:00:00.000","36","38","39"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Dr, 12""","2022-11-01T00:00:00.000","2022-11-01T15:37:00.000","32","33","36","2022-11-03T00:00:00.000","32","34","35"
"44350","SS - N/S 34th Ave, 1st SS W/O 24th St,  IFO 21-55 34th Ave, 12""","2022-11-01T00:00:00.000","2022-11-01T21:01:00.000","41","41","45","2022-11-02T00:00:00.000","39","38","41"
"39650","SS - N/S E 49th St, 2nd SS W/O 2nd Ave, IFO 229 E. 49th St, 12""","2022-11-01T00:00:00.000","2022-11-02T17:44:00.000","45","42","48","2022-11-04T00:00:00.000","37","33","36"
"38250","SS - N/S E 87th St, 2nd SS W/O 1st Ave, IFO 309 E. 87th St, 12""","2022-11-01T00:00:00.000","2022-11-02T17:25:00.000","45","43","48","2022-11-02T00:00:00.000","37","39","42"
"37950","SS - N/S E 12th St, 2nd SS E/O 2nd Ave, IFO 325 E. 12th St, 12""","2022-11-01T00:00:00.000","2022-11-01T20:42:00.000","46","42","48","2022-11-03T00:00:00.000","31","32","33"
"33950","SS - N/S E 104th St, 2nd SS E/O 3rd Ave, 12""","2022-11-01T00:00:00.000","2022-11-02T17:06:00.000","39","43","45","2022-11-04T00:00:00.000","36","40","41"
"33450","SS - N/S W 112th St, 2nd SS W/O St Nicholas Ave, - IFO 135 W. 112th St, 12""","2022-11-01T00:00:00.000","2022-11-02T16:47:00.000","42","43","46","2022-11-03T00:00:00.000","33","39","40"
"32350","SS - E/S Ave C, 2nd SS N/O E 7th St, IFO 116 Ave C, 12""","2022-11-01T00:00:00.000","2022-11-01T20:23:00.000","41","42","45","2022-11-02T00:00:00.000","42","37","40"
"31850","SS - S/S Warren St, 2nd SS E/O Greenwich St, IFO 82 Warren St, 12""","2022-11-01T00:00:00.000","2022-11-01T20:04:00.000","36","40","43","2022-11-03T00:00:00.000","35","37","39"
"31750","SS - N/S W 26th St, 2nd SS W/O 9th Ave, IFO 427 W. 26th St, 12""","2022-11-01T00:00:00.000","2022-11-01T19:45:00.000","44","38","44","2022-11-03T00:00:00.000","35","37","38"
"15150","SS - E/S Grand Concourse, 1st SS S/O E 171st St, IFO 1420 Grand Concourse, 12""","2022-11-01T00:00:00.000","2022-11-01T21:20:00.000","40","35","39","2022-11-02T00:00:00.000","32","37","38"
"24350","SS - W/S Brighton 11th St, 2nd SS S/O Cass Pl, IFO 82 Brighton 11th St, 12""","2022-11-01T00:00:00.000","2022-11-02T14:53:00.000","40","38","43","2022-11-03T00:00:00.000","38","37","39"
"23450","SS - N/S Jefferson Ave, 2nd SS W/O Lewis Ave, OPP 518 Jefferson Ave,  20""","2022-11-01T00:00:00.000","2022-11-01T16:53:00.000","34","32","36","2022-11-03T00:00:00.000","26","31","30"
"15150","SS - E/S Grand Concourse, 1st SS S/O E 171st St, IFO 1420 Grand Concourse, 12""","2022-08-02T00:00:00.000","2022-08-02T16:38:00.000","35","39","33","2022-08-04T00:00:00.000","39","43","39"
"77650","SS - E/S 207th St, 1st N/O 111th Ave, OPP 110-52 207th St","2022-08-02T00:00:00.000","2022-08-02T20:51:00.000","42","39","34","2022-08-05T00:00:00.000","42","46","37"
"58650","SS - W/S Main St, 2nd SS S/O Hylan Blvd, IFO 510 Main St, 12""","2022-08-02T00:00:00.000","2022-08-02T21:28:00.000","55","47","43","2022-08-04T00:00:00.000","27","31","22"
"52050","SS - W/S Nicholas Ave, 1st SS S/O Charles Ave, IFO 218 Nicholas Ave, 12""","2022-08-02T00:00:00.000","2022-08-02T21:08:00.000","44","41","36","2022-08-05T00:00:00.000","40","46","32"
"50850","SS - W/S Arlene St, 1st SS N/O Dawson Ct, IFO 512 Arlene St, 12""","2022-08-02T00:00:00.000","2022-08-02T20:48:00.000","47","43","37","2022-08-05T00:00:00.000","37","38","29"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2022-08-02T00:00:00.000","2022-08-02T20:29:00.000","51","50","41","2022-08-04T00:00:00.000","35","26","26"
"50250","SS - N/S Victory Blvd, 2nd SS E/O Highland Ave, IFO 937 Victory Blvd, 20""","2022-08-02T00:00:00.000","2022-08-02T19:11:00.000","43","37","34","2022-08-05T00:00:00.000","48","50","41"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Dr, 12""","2022-08-02T00:00:00.000","2022-08-02T19:30:00.000","48","41","37","2022-08-05T00:00:00.000","40","43","36"
"44350","SS - N/S 34th Ave, 1st SS W/O 24th St,  IFO 21-55 34th Ave, 12""","2022-08-02T00:00:00.000","2022-08-02T18:32:00.000","59","50","46","2022-08-04T00:00:00.000","43","44","39"
"39650","SS - N/S E 49th St, 2nd SS W/O 2nd Ave, IFO 229 E. 49th St, 12""","2022-08-02T00:00:00.000","2022-08-02T19:52:00.000","58","50","46","2022-08-06T00:00:00.000","35","39","32"
"38250","SS - N/S E 87th St, 2nd SS W/O 1st Ave, IFO 309 E. 87th St, 12""","2022-08-02T00:00:00.000","2022-08-02T18:13:00.000","60","49","46","2022-08-04T00:00:00.000","44","47","41"
"37950","SS - N/S E 12th St, 2nd SS E/O 2nd Ave, IFO 325 E. 12th St, 12""","2022-08-02T00:00:00.000","2022-08-02T19:32:00.000","57","49","44","2022-08-05T00:00:00.000","32","39","32"
"33950","SS - N/S E 104th St, 2nd SS E/O 3rd Ave, 12""","2022-08-02T00:00:00.000","2022-08-02T17:54:00.000","61","45","49","2022-08-03T00:00:00.000","43","38","42"
"33450","SS - N/S W 112th St, 2nd SS W/O St Nicholas Ave, - IFO 135 W. 112th St, 12""","2022-08-02T00:00:00.000","2022-08-02T17:35:00.000","59","43","48","2022-08-03T00:00:00.000","43","38","41"
"32350","SS - E/S Ave C, 2nd SS N/O E 7th St, IFO 116 Ave C, 12""","2022-08-02T00:00:00.000","2022-08-02T20:31:00.000","57","45","46","2022-08-06T00:00:00.000","34","35","35"
"31850","SS - S/S Warren St, 2nd SS E/O Greenwich St, IFO 82 Warren St, 12""","2022-08-02T00:00:00.000","2022-08-02T18:34:00.000","57","48","46","2022-08-06T00:00:00.000","39","41","38"
"31750","SS - N/S W 26th St, 2nd SS W/O 9th Ave, IFO 427 W. 26th St, 12""","2022-08-02T00:00:00.000","2022-08-02T18:15:00.000","57","43","41","2022-08-05T00:00:00.000","39","46","38"
"24350","SS - W/S Brighton 11th St, 2nd SS S/O Cass Pl, IFO 82 Brighton 11th St, 12""","2022-08-02T00:00:00.000","2022-08-02T18:52:00.000","59","45","43","2022-08-04T00:00:00.000","42","48","38"
"23450","SS - N/S Jefferson Ave, 2nd SS W/O Lewis Ave, OPP 518 Jefferson Ave,  20""","2022-08-02T00:00:00.000","2022-08-02T20:12:00.000","49","39","36","2022-08-05T00:00:00.000","33","42","32"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2022-08-02T00:00:00.000","2022-08-02T16:58:00.000","41","36","32","2022-08-06T00:00:00.000","36","42","33"
"15150","SS - E/S Grand Concourse, 1st SS S/O E 171st St, IFO 1420 Grand Concourse, 12""","2022-05-03T00:00:00.000","2022-05-04T17:33:00.000","42","46","41","2022-05-05T00:00:00.000","48","43","46"
"77650","SS - E/S 207th St, 1st N/O 111th Ave, OPP 110-52 207th St","2022-05-03T00:00:00.000","2022-05-04T17:12:00.000","29","40","36","2022-05-05T00:00:00.000","36","48","45"
"58650","SS - W/S Main St, 2nd SS S/O Hylan Blvd, IFO 510 Main St, 12""","2022-05-03T00:00:00.000","2022-05-03T22:17:00.000","33","50","42","2022-05-04T00:00:00.000","14","35","28"
"52050","SS - W/S Nicholas Ave, 1st SS S/O Charles Ave, IFO 218 Nicholas Ave, 12""","2022-05-03T00:00:00.000","2022-05-03T21:15:00.000","32","43","38","2022-05-04T00:00:00.000","20","49","41"
"50850","SS - W/S Arlene St, 1st SS N/O Dawson Ct, IFO 512 Arlene St, 12""","2022-05-03T00:00:00.000","2022-05-03T21:56:00.000","31","46","39","2022-05-05T00:00:00.000","20","41","34"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2022-05-03T00:00:00.000","2022-05-03T21:35:00.000","32","52","45","2022-05-04T00:00:00.000","19","30","22"
"50250","SS - N/S Victory Blvd, 2nd SS E/O Highland Ave, IFO 937 Victory Blvd, 20""","2022-05-03T00:00:00.000","2022-05-03T20:54:00.000","27","38","33","2022-05-04T00:00:00.000","34","54","47"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Dr, 12""","2022-05-03T00:00:00.000","2022-05-04T16:52:00.000","30","42","37","2022-05-05T00:00:00.000","35","46","42"
"44350","SS - N/S 34th Ave, 1st SS W/O 24th St,  IFO 21-55 34th Ave, 12""","2022-05-03T00:00:00.000","2022-05-04T19:37:00.000","40","53","45","2022-05-06T00:00:00.000","42","44","44"
"39650","SS - N/S E 49th St, 2nd SS W/O 2nd Ave, IFO 229 E. 49th St, 12""","2022-05-03T00:00:00.000","2022-05-03T19:32:00.000","43","53","46","2022-05-04T00:00:00.000","34","39","39"
"38250","SS - N/S E 87th St, 2nd SS W/O 1st Ave, IFO 309 E. 87th St, 12""","2022-05-03T00:00:00.000","2022-05-03T19:12:00.000","43","49","45","2022-05-04T00:00:00.000","50","47","48"
"37950","SS - N/S E 12th St, 2nd SS E/O 2nd Ave, IFO 325 E. 12th St, 12""","2022-05-03T00:00:00.000","2022-05-03T23:39:00.000","41","52","45","2022-05-05T00:00:00.000","36","41","40"
"33950","SS - N/S E 104th St, 2nd SS E/O 3rd Ave, 12""","2022-05-03T00:00:00.000","2022-05-03T18:51:00.000","41","40","40","2022-05-04T00:00:00.000","50","31","40"
"33450","SS - N/S W 112th St, 2nd SS W/O St Nicholas Ave, - IFO 135 W. 112th St, 12""","2022-05-03T00:00:00.000","2022-05-03T18:31:00.000","41","38","39","2022-05-04T00:00:00.000","50","32","40"
"32350","SS - E/S Ave C, 2nd SS N/O E 7th St, IFO 116 Ave C, 12""","2022-05-03T00:00:00.000","2022-05-03T23:18:00.000","40","43","41","2022-05-05T00:00:00.000","43","33","37"
"31850","SS - S/S Warren St, 2nd SS E/O Greenwich St, IFO 82 Warren St, 12""","2022-05-03T00:00:00.000","2022-05-03T22:58:00.000","44","50","45","2022-05-05T00:00:00.000","45","42","43"
"31750","SS - N/S W 26th St, 2nd SS W/O 9th Ave, IFO 427 W. 26th St, 12""","2022-05-03T00:00:00.000","2022-05-03T22:37:00.000","30","44","36","2022-05-04T00:00:00.000","41","49","47"
"24350","SS - W/S Brighton 11th St, 2nd SS S/O Cass Pl, IFO 82 Brighton 11th St, 12""","2022-05-03T00:00:00.000","2022-05-03T20:34:00.000","31","46","38","2022-05-04T00:00:00.000","36","51","46"
"23450","SS - N/S Jefferson Ave, 2nd SS W/O Lewis Ave, OPP 518 Jefferson Ave,  20""","2022-05-03T00:00:00.000","2022-05-04T16:31:00.000","28","38","34","2022-05-04T00:00:00.000","34","46","43"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2022-05-03T00:00:00.000","2022-05-03T17:29:00.000","26","37","33","2022-05-04T00:00:00.000","33","44","41"
"38250","SS - N/S E 87th St, 2nd SS W/O 1st Ave, IFO 309 E. 87th St, 12""","2022-02-01T00:00:00.000","2022-02-01T22:38:00.000","22","49","44","2022-02-04T00:00:00.000","24","48","40"
"77650","SS - E/S 207th St, 1st N/O 111th Ave, OPP 110-52 207th St","2022-02-01T00:00:00.000","2022-02-01T23:17:00.000","21","42","38","2022-02-04T00:00:00.000","29","51","47"
"58650","SS - W/S Main St, 2nd SS S/O Hylan Blvd, IFO 510 Main St, 12""","2022-02-01T00:00:00.000","2022-02-01T20:21:00.000","29","52","49","2022-02-04T00:00:00.000","18","46","36"
"52050","SS - W/S Nicholas Ave, 1st SS S/O Charles Ave, IFO 218 Nicholas Ave, 12""","2022-02-01T00:00:00.000","2022-02-02T15:26:00.000","23","45","40","2022-02-02T00:00:00.000","29","60","52"
"50850","SS - W/S Arlene St, 1st SS N/O Dawson Ct, IFO 512 Arlene St, 12""","2022-02-01T00:00:00.000","2022-02-01T19:22:00.000","24","49","44","2022-02-04T00:00:00.000","23","50","42"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2022-02-01T00:00:00.000","2022-02-01T19:02:00.000","29","55","51","2022-02-04T00:00:00.000","16","38","29"
"50250","SS - N/S Victory Blvd, 2nd SS E/O Highland Ave, IFO 937 Victory Blvd, 20""","2022-02-01T00:00:00.000","2022-02-02T15:06:00.000","21","41","37","2022-02-04T00:00:00.000","32","61","54"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Dr, 12""","2022-02-01T00:00:00.000","2022-02-02T17:26:00.000","23","45","40","2022-02-02T00:00:00.000","28","53","44"
"44350","SS - N/S 34th Ave, 1st SS W/O 24th St,  IFO 21-55 34th Ave, 12""","2022-02-01T00:00:00.000","2022-02-01T17:05:00.000","25","53","49","2022-02-03T00:00:00.000","28","49","40"
"39650","SS - N/S E 49th St, 2nd SS W/O 2nd Ave, IFO 229 E. 49th St, 12""","2022-02-01T00:00:00.000","2022-02-01T22:58:00.000","23","52","48","2022-02-03T00:00:00.000","25","45","37"
"37950","SS - N/S E 12th St, 2nd SS E/O 2nd Ave, IFO 325 E. 12th St, 12""","2022-02-01T00:00:00.000","2022-02-01T21:39:00.000","22","53","47","2022-02-03T00:00:00.000","27","46","39"
"33950","SS - N/S E 104th St, 2nd SS E/O 3rd Ave, 12""","2022-02-01T00:00:00.000","2022-02-01T22:19:00.000","31","34","37","2022-02-04T00:00:00.000","30","22","26"
"33450","SS - N/S W 112th St, 2nd SS W/O St Nicholas Ave, - IFO 135 W. 112th St, 12""","2022-02-01T00:00:00.000","2022-02-01T21:59:00.000","31","31","35","2022-02-04T00:00:00.000","29","22","27"
"32350","SS - E/S Ave C, 2nd SS N/O E 7th St, IFO 116 Ave C, 12""","2022-02-01T00:00:00.000","2022-02-01T21:20:00.000","29","38","40","2022-02-04T00:00:00.000","28","26","29"
"31850","SS - S/S Warren St, 2nd SS E/O Greenwich St, IFO 82 Warren St, 12""","2022-02-01T00:00:00.000","2022-02-01T21:00:00.000","24","50","45","2022-02-03T00:00:00.000","29","44","38"
"31750","SS - N/S W 26th St, 2nd SS W/O 9th Ave, IFO 427 W. 26th St, 12""","2022-02-01T00:00:00.000","2022-02-01T20:41:00.000","21","41","42","2022-02-03T00:00:00.000","33","42","47"
"24350","SS - W/S Brighton 11th St, 2nd SS S/O Cass Pl, IFO 82 Brighton 11th St, 12""","2022-02-01T00:00:00.000","2022-02-02T14:46:00.000","22","48","43","2022-02-02T00:00:00.000","31","58","50"
"23450","SS - N/S Jefferson Ave, 2nd SS W/O Lewis Ave, OPP 518 Jefferson Ave,  20""","2022-02-01T00:00:00.000","2022-02-02T17:46:00.000","18","40","36","2022-02-04T00:00:00.000","29","50","45"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2022-02-01T00:00:00.000","2022-02-01T18:04:00.000","18","40","35","2022-02-04T00:00:00.000","26","47","42"
"15150","SS - E/S Grand Concourse, 1st SS S/O E 171st St, IFO 1420 Grand Concourse, 12""","2022-02-01T00:00:00.000","2022-02-02T15:46:00.000","21","43","41","2022-02-04T00:00:00.000","29","39","39"
"15150","SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 12""","2021-08-03T00:00:00.000","2021-08-03T16:57:00.000","63","35","43","2021-08-05T00:00:00.000","39","33","34"
"77650","SS - W/S 207th St, OPP 110-52 E/S 207th St, 6""","2021-08-03T00:00:00.000","2021-08-03T17:56:00.000","47","34","38","2021-08-05T00:00:00.000","51","44","47"
"58650","SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""","2021-08-03T00:00:00.000","2021-08-03T18:16:00.000","66","48","52","2021-08-10T00:00:00.000","41","43","47"
"52050","SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""","2021-08-03T00:00:00.000","2021-08-03T19:17:00.000","51","40","43","2021-08-10T00:00:00.000","55","52","54"
"50850","SS - IFO 512 W/S Arlene St, 1st SS N/O Dawson Ct, 12""","2021-08-03T00:00:00.000","2021-08-03T18:35:00.000","59","41","48","2021-08-10T00:00:00.000","48","47","50"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2021-08-03T00:00:00.000","2021-08-03T18:55:00.000","58","43","49","2021-08-10T00:00:00.000","52","47","52"
"50250","SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Cheshire Ave, 20""","2021-08-03T00:00:00.000","2021-08-03T18:17:00.000","46","36","39","2021-08-05T00:00:00.000","64","54","60"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Drive, 12""","2021-08-03T00:00:00.000","2021-08-03T17:16:00.000","52","40","45","2021-08-05T00:00:00.000","50","51","53"
"44350","SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""","2021-08-03T00:00:00.000","2021-08-03T16:37:00.000","70","45","53","2021-08-04T00:00:00.000","41","47","48"
"39650","SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""","2021-08-03T00:00:00.000","2021-08-03T20:15:00.000","70","46","52","2021-08-10T00:00:00.000","36","44","44"
"38250","SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""","2021-08-03T00:00:00.000","2021-08-03T19:55:00.000","59","43","47","2021-08-05T00:00:00.000","43","44","46"
