"title_description","o_c_or_prom","list_title_code","exam_no","list_agency_code","agency_desc","list_div_code","list_est_date","aac_cnt","aol_cnt","dce_cnt","dea_cnt","dlx_cnt","fra_cnt","frh_cnt","fri_cnt","frm_cnt","frp_cnt","ftr_cnt","nfp_cnt","nle_cnt","ova_cnt","rli_cnt","tin_cnt","unf_cnt","appt_cnt","cns_cnt","cns_restored_cnt","elig_restored_cnt"
"ADMINISTRATIVE ENGINEER","Promotional","10015","7516","816","DEPARTMENT OF HEALTH AND MENTAL HYGIENE",,"2017-12-27T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,
"ADMINISTRATIVE ENGINEER","Promotional","10015","7516","850","DEPARTMENT OF DESIGN AND CONSTRUCTION",,"2017-12-27T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2"
"ADMINISTRATIVE ENGINEER","Promotional","10015","7516","996","N.Y.C. HOUSING AUTHORITY",,"2017-12-27T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0"
"ADMINISTRATIVE ENGINEER","Promotional","10015","7516","998","N.Y.C. TRANSIT AUTHORITY",,"2017-12-27T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","1"
"ADMINISTRATIVE HOUSING DEVELOPMENT SPECIALIST","Open Competitive","83006","8061","000",,,"2019-03-13T00:00:00.000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0"
"ADMINISTRATIVE INVESTIGATOR","Promotional","10020","3505","069","HRA/DEPARTMENT OF SOCIAL SERVICES",,"2015-02-18T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2"
"ADMINISTRATIVE INVESTIGATOR","Promotional","10020","3505","996","N.Y.C. HOUSING AUTHORITY",,"2015-02-18T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
"ADMINISTRATIVE MANAGER","Open Competitive","10025","5010","000",,,"2016-09-28T00:00:00.000","0","0","0","1","0","0","0","0","0","0","33","0","0","0","0","0","0","2","0","0","15"
"ADMINISTRATIVE MANAGER","Promotional","10025","5516","056","POLICE DEPARTMENT",,"2016-08-17T00:00:00.000","0","0","0","4","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","1"
"ADMINISTRATIVE MANAGER","Promotional","10025","5516","057","FIRE DEPARTMENT",,"2016-08-17T00:00:00.000","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2"
"ADMINISTRATIVE MANAGER","Promotional","10025","5516","069","HRA/DEPARTMENT OF SOCIAL SERVICES",,"2016-08-17T00:00:00.000","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","2","2","4"
"ADMINISTRATIVE MANAGER","Promotional","10025","5516","806","HOUSING PRESERVATION & DEVELOPMENT",,"2016-08-17T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",,,,
"ADMINISTRATIVE MANAGER","Promotional","10025","5516","816","DEPARTMENT OF HEALTH AND MENTAL HYGIENE",,"2016-08-17T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,
"ADMINISTRATIVE MANAGER","Promotional","10025","5516","836","DEPARTMENT OF FINANCE",,"2016-08-17T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0"
"ADMINISTRATIVE MANAGER","Promotional","10025","5516","850","DEPARTMENT OF DESIGN AND CONSTRUCTION",,"2016-08-17T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,
"ADMINISTRATIVE MANAGER","Promotional","10025","5516","996","N.Y.C. HOUSING AUTHORITY",,"2016-08-17T00:00:00.000","0","0","0","6","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","7"
"ADMINISTRATIVE PARK AND RECREATION MANAGER","Promotional","10072","6523","846","DEPARTMENT OF PARKS & RECREATION",,"2017-07-12T00:00:00.000","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"ADMINISTRATIVE PROCUREMENT ANALYST","Open Competitive","82976","7041","000",,,"2018-12-26T00:00:00.000","0","23","0","7","0","4","0","0","0","0","127","0","0","0","0","0","0","14","0","0","40"
"ADMINISTRATIVE PROCUREMENT ANALYST","Promotional","82976","7541","040","DEPARTMENT OF EDUCATION",,"2018-09-26T00:00:00.000","0","0","0","4","0","2","0","0","0","0","1","0","8","0","0","0","0","0","4","0","2"
"ADMINISTRATIVE PROCUREMENT ANALYST","Promotional","82976","7541","056","POLICE DEPARTMENT",,"2018-09-26T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0",,,,
"ADMINISTRATIVE PROCUREMENT ANALYST","Promotional","82976","7541","069","HRA/DEPARTMENT OF SOCIAL SERVICES",,"2018-09-26T00:00:00.000","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0",,,,
"ADMINISTRATIVE PROCUREMENT ANALYST","Promotional","82976","7541","810","DEPARTMENT OF BUILDINGS",,"2018-09-26T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,
"ADMINISTRATIVE PROCUREMENT ANALYST","Promotional","82976","7541","826","DEPARTMENT OF ENVIRONMENTAL PROTECTION",,"2018-09-26T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0"
"ADMINISTRATIVE PROCUREMENT ANALYST","Promotional","82976","7541","850","DEPARTMENT OF DESIGN AND CONSTRUCTION",,"2018-09-26T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,
"PAINTER","Open Competitive","91830","4012","000",,,"2016-07-20T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"ADMINISTRATIVE PROCUREMENT ANALYST","Promotional","82976","7541","996","N.Y.C. HOUSING AUTHORITY",,"2018-09-26T00:00:00.000","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2"
"ADMINISTRATIVE PROJECT MANAGER","Promotional","83008","8529","072","DEPARTMENT OF CORRECTION",,"2019-05-08T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
"ADMINISTRATIVE PROJECT MANAGER","Promotional","83008","8529","826","DEPARTMENT OF ENVIRONMENTAL PROTECTION",,"2019-05-08T00:00:00.000","0","0","0","6","0","1","0","0","0","0","0","0","1","0","0","0","0","1","4","0","0"
"ADMINISTRATIVE PROJECT MANAGER","Promotional","83008","8529","827","DEPARTMENT OF SANITATION",,"2019-05-08T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"ADMINISTRATIVE PROJECT MANAGER","Promotional","83008","8529","841","DEPARTMENT OF TRANSPORTATION",,"2019-05-08T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0"
"ADMINISTRATIVE PROJECT MANAGER","Promotional","83008","8529","846","DEPARTMENT OF PARKS & RECREATION",,"2019-05-08T00:00:00.000","0","0","0","18","0","0","0","0","0","0","5","0","3","0","0","0","0","0","0","0","2"
"ADMINISTRATIVE PROJECT MANAGER","Promotional","83008","8529","850","DEPARTMENT OF DESIGN AND CONSTRUCTION",,"2019-05-08T00:00:00.000","0","0","0","4","0","0","0","0","0","0","1","0","3","0","0","0","0","4","0","0","1"
"ADMINISTRATIVE PUBLIC INFORMATION SPECIALIST","Open Competitive","10033","8051","000",,,"2019-07-03T00:00:00.000","0","0","0","1","0","0","0","0","0","0","14","0","0","0","0","0","0","31","0","0","5"
"ADMINISTRATIVE QUALITY ASSURANCE SPECIALIST","Open Competitive","10080","8071","000",,,"2019-03-20T00:00:00.000","0","0","0","15","0","12","0","0","0","0","53","0","0","0","0","0","0","1","0","0","13"
"ADMINISTRATIVE QUALITY ASSURANCE SPECIALIST","Promotional","10080","8551","040","DEPARTMENT OF EDUCATION",,"2019-01-16T00:00:00.000","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1"
"ADMINISTRATIVE STAFF ANALYST","Open Competitive","10026","5011","000",,,"2016-09-28T00:00:00.000","0","0","0","22","0","2","0","0","0","0","75","3","0","0","0","0","0","4","0","0","55"
"AREA SUPERVISOR (HIGHWAY MAINTENANCE)","Promotional","91352","7542","841","DEPARTMENT OF TRANSPORTATION",,"2018-06-06T00:00:00.000","0","0","0","7","0","0","0","0","0","0","4","0","0","0","0","0","0","5","1","1","5"
"ASSISTANT CITY ASSESSOR","Open Competitive","40201","7024","000",,,"2018-06-20T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","27","2","0","2"
"ASSISTANT HOUSING MANAGER","Promotional","80205","3541","996","N.Y.C. HOUSING AUTHORITY",,"2014-05-14T00:00:00.000","0","0","0","0","0","0","0","0","0","0","17","0","21","0","0","0","0","33","2","2","10"
"ASSISTANT PLAN EXAMINER (BUILDINGS)","Open Competitive","22405","8052","000",,,"2019-08-14T00:00:00.000","0","0","0","15","0","1","0","0","0","0","31","0","0","0","0","0","0","124","7","0","9"
"ASSISTANT PUBLIC HEALTH ADVISER (COMMUNICABLE DISEASE CONTR)","Open Competitive","51190","6011","000",,,"2016-11-02T00:00:00.000","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","8"
"ASSISTANT RETIREMENT BENEFITS EXAMINER","Open Competitive","40491","1049","000",,,"2012-03-21T00:00:00.000","0","0","0","4","0","0","0","0","0","0","61","1","0","0","0","0","0","10","0","0","8"
"ASSISTANT TRAIN DISPATCHER","Promotional","91221","5710","998","N.Y.C. TRANSIT AUTHORITY",,"2017-02-01T00:00:00.000","0","0","0","14","0","0","0","0","0","0","5","0","1","0","0","0","0","20","13","1","6"
"ASSOCIATE CASHIER (TA)","Open Competitive","10609","2614","000",,,"2014-05-14T00:00:00.000","0","0","0","3","0","0","0","0","13","0","65","0","0","0","0","0","0","13","5","0","3"
"ASSOCIATE FRAUD INVESTIGATOR","Promotional","31118","6527","069","HRA/DEPARTMENT OF SOCIAL SERVICES",,"2017-05-17T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","9","2","2","1"
"ASSOCIATE FRAUD INVESTIGATOR","Promotional","31118","6527","071","DEPARTMENT OF HOMELESS SERVICES",,"2017-05-17T00:00:00.000","0","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","5","0","0","0"
"ASSOCIATE INSPECTOR (HOUSING)","Promotional","31675","7526","806","HOUSING PRESERVATION & DEVELOPMENT",,"2018-06-27T00:00:00.000","0","0","0","4","0","0","0","0","0","0","2","0","1","0","0","0","0","10","2","0","2"
"ASSOCIATE JOB OPPORTUNITY SPECIALIST","Promotional","52316","5522","069","HRA/DEPARTMENT OF SOCIAL SERVICES",,"2017-03-22T00:00:00.000","0","0","0","16","0","0","0","0","0","0","15","0","14","0","0","0","0","42","5","3","16"
"ASSOCIATE JUVENILE COUNSELOR","Promotional","52300","5523","067","ADMINISTRATION FOR CHILDREN'S SERVICES",,"2016-08-10T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2"
"ASSOCIATE PARK SERVICE WORKER","Open Competitive","81106","8049","000",,,"2019-04-17T00:00:00.000","0","3","0","38","0","2","0","0","0","0","71","5","0","0","0","0","0","15","7","1","4"
"ASSOCIATE PARK SERVICE WORKER","Promotional","81106","8501","846","DEPARTMENT OF PARKS & RECREATION",,"2018-08-22T00:00:00.000","0","0","0","4","0","1","0","0","0","0","32","0","0","0","0","0","0","21","3","0","6"
"ASSOCIATE PROJECT MANAGER","Open Competitive","22427","5013","000",,,"2016-10-05T00:00:00.000","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","1","0","0","7"
"ASSOCIATE PUBLIC INFORMATION SPECIALIST","Open Competitive","60816","4003","000",,,"2014-06-11T00:00:00.000","0","0","0","2","0","0","0","0","0","0","13","0","0","0","0","0","0","1","0","0","1"
"ASSOCIATE STAFF ANALYST","Open Competitive","12627","5014","000",,,"2016-08-10T00:00:00.000","0","0","0","51","0","25","0","0","0","0","995","16","0","0","0","0","0","93","0","0","74"
"ASSOCIATE STAFF ANALYST","Promotional","12627","5526","025","LAW DEPARTMENT",,"2016-08-10T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
"ASSOCIATE STAFF ANALYST","Promotional","12627","5526","846","DEPARTMENT OF PARKS & RECREATION",,"2016-08-10T00:00:00.000","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,
"ASSOCIATE SUPERVISOR OF SCHOOL SECURITY","Promotional","60821","6537","056","POLICE DEPARTMENT",,"2018-01-17T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","7","1","0","0"
"ASSOCIATE URBAN PARK RANGER","Promotional","60422","8506","846","DEPARTMENT OF PARKS & RECREATION",,"2018-10-03T00:00:00.000","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","51","11","0","0"
"AUTO MACHINIST","Open Competitive","92505","8016","000",,,"2019-02-13T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0"
"AUTO MECHANIC","Open Competitive","92510","6012","000",,,"2017-09-06T00:00:00.000","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1"
"AUTO MECHANIC","Open Competitive","92510","8006","000",,,"2019-03-27T00:00:00.000","0","1","0","10","0","2","0","0","0","0","124","0","0","0","0","0","0","136","0","0","7"
"AUTO MECHANIC","Promotional","92510","8511","056","POLICE DEPARTMENT",,"2019-03-27T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0"
"AUTO MECHANIC","Promotional","92510","8511","072","DEPARTMENT OF CORRECTION",,"2019-03-27T00:00:00.000","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"AUTO MECHANIC","Promotional","92510","8511","827","DEPARTMENT OF SANITATION",,"2019-03-27T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","5","0","0","0"
"AUTO MECHANIC","Promotional","92510","8511","841","DEPARTMENT OF TRANSPORTATION",,"2019-03-27T00:00:00.000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"AUTO MECHANIC (DIESEL)","Open Competitive","92511","6014","000",,,"2017-09-06T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",,,,
"AUTO MECHANIC (DIESEL)","Open Competitive","92511","8007","000",,,"2019-03-27T00:00:00.000","0","0","0","1","0","1","0","0","0","0","19","1","0","0","0","0","0","14","0","0","6"
"AUTO MECHANIC (DIESEL)","Promotional","92511","8512","056","POLICE DEPARTMENT",,"2019-03-13T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"AUTOMOTIVE SERVICE WORKER","Open Competitive","92508","4069","000",,,"2015-05-27T00:00:00.000","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","2"
"AUTOMOTIVE SERVICE WORKER","Open Competitive","92508","8002","000",,,"2018-09-12T00:00:00.000","0","0","0","10","0","0","0","0","0","0","102","0","0","0","0","0","0","10","0","0","16"
"AUTOMOTIVE SERVICE WORKER","Open Competitive","92508","9004","000",,,"2019-09-11T00:00:00.000","0","0","0","10","0","0","0","0","0","0","101","2","0","0","0","0","0","11","0","0","2"
"BATTALION CHIEF","Promotional","70370","4508","057","FIRE DEPARTMENT",,"2015-12-09T00:00:00.000","0","2","0","2","0","0","0","0","0","0","0","0","10","0","0","0","0","47","0","0","0"
"BOOKKEEPER","Open Competitive","40526","5015","000",,,"2016-04-27T00:00:00.000","0","0","0","44","0","2","0","0","0","0","262","9","0","0","1","0","0","9","0","0","28"
"BRIDGE OPERATOR","Open Competitive","91110","8025","000",,,"2018-07-05T00:00:00.000","0","0","0","1","0","0","0","0","0","0","16","0","0","0","0","0","0","3","6","0","3"
"BUS MAINTAINER - GROUP A","Open Competitive","92515","4605","000",,,"2016-05-18T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1"
"BUS MAINTAINER - GROUP A","Open Competitive","92515","8617","000",,,"2019-08-14T00:00:00.000","0","0","0","2","0","0","0","0","7","0","10","0","0","0","0","0","0","18","2","0","6"
"BUS MAINTAINER - GROUP B","Open Competitive","92516","4601","000",,,"2016-05-11T00:00:00.000","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","1","1","0","3"
"BUS OPERATOR","Open Competitive","91203","4600","000",,,"2016-01-06T00:00:00.000","0","0","0","37","0","1","0","0","121","0","326","0","0","0","0","0","0","128","45","0","190"
"BUS OPERATOR","Open Competitive","91203","7612","000",,,"2018-10-17T00:00:00.000","0","0","0","88","0","1","0","0","187","0","710","0","0","0","0","0","0","242","58","2","79"
"BUSINESS PROMOTION COORDINATOR","Open Competitive","60860","8026","000",,,"2019-01-30T00:00:00.000","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","66","0","0","0"
"CALL CENTER REPRESENTATIVE","Open Competitive","10260","6057","000",,,"2017-07-12T00:00:00.000","0","0","0","56","0","2","0","0","0","0","344","0","0","0","0","0","0","62","8","0","35"
"CALL CENTER REPRESENTATIVE","Open Competitive","10260","9021","000",,,"2019-08-14T00:00:00.000","0","0","0","26","0","3","0","0","0","0","104","0","0","0","0","0","0","33","4","0","2"
"CAPTAIN (FIRE)","Promotional","70365","5507","057","FIRE DEPARTMENT",,"2016-08-24T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","117","0","0","0"
"CAR INSPECTOR","Open Competitive","33716","6612","000",,,"2018-06-20T00:00:00.000","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","1","0","3"
"CAR INSPECTOR","Open Competitive","33716","7615","000",,,"2019-04-17T00:00:00.000","0","6","0","8","0","0","0","0","8","0","107","0","0","0","0","0","0","130","2","0","2"
"CARPENTER","Open Competitive","92005","4024","000",,,"2015-09-23T00:00:00.000","0","0","0","2","0","1","0","0","0","0","32","0","0","0","0","0","0","5","0","0","17"
"CASEWORKER","Open Competitive","52304","2307","000",,,"2015-04-08T00:00:00.000","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","1","0","0","5"
"CASEWORKER","Open Competitive","52304","2314","000",,,"2017-06-07T00:00:00.000","0","0","0","2","0","1","0","0","0","0","13","0","0","0","0","0","0","2","0","0","9"
"CASEWORKER","Open Competitive","52304","2321","000",,,"2018-01-31T00:00:00.000","0","0","0","1","0","0","0","0","0","0","18","2","0","0","0","0","0","0","0","0","7"
"CASEWORKER","Open Competitive","52304","3337","000",,,"2018-08-22T00:00:00.000","0","0","0","50","0","5","0","0","0","0","425","13","0","0","0","0","0","27","0","0","39"
"CASEWORKER","Open Competitive","52304","3338","000",,,"2019-04-17T00:00:00.000","0","13","0","126","0","19","0","0","0","0","1163","72","0","0","0","0","0","53","0","0","59"
"CASHIER","Open Competitive","10605","2031","000",,,"2014-04-16T00:00:00.000","0","0","0","21","0","0","0","0","0","0","130","0","0","0","0","0","0","2","7","0","12"
"CEMENT MASON","Open Competitive","92210","8027","000",,,"2018-09-19T00:00:00.000","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","14","0","0","1"
"CERTIFIED IT ADMINISTRATOR (LAN/WAN)","Open Competitive","13652","6049","000",,,"2017-03-01T00:00:00.000","0","0","0","4","0","0","0","0","0","0","37","1","0","0","0","0","0","12","0","0","38"
"CERTIFIED IT DEVELOPER (APPLICATIONS)","Open Competitive","13643","8062","000",,,"2019-06-12T00:00:00.000","0","0","0","46","0","6","0","0","0","0","206","2","0","0","0","0","0","179","0","0","65"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","2332","000",,,"2015-11-04T00:00:00.000","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","2348","000",,,"2016-03-02T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","3340","000",,,"2016-03-03T00:00:00.000","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","2","2","0","3"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","3341","000",,,"2016-05-04T00:00:00.000","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","3"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","3342","000",,,"2016-05-05T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","5"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","4317","000",,,"2016-05-06T00:00:00.000","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","4"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","6337","000",,,"2017-06-28T00:00:00.000","0","0","0","2","0","1","0","0","0","0","20","4","0","0","0","0","0","5","2","0","28"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","7300","000",,,"2017-08-23T00:00:00.000","0","0","0","2","0","0","0","0","0","0","27","1","0","0","0","0","0","10","3","0","29"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","7308","000",,,"2018-01-31T00:00:00.000","0","0","0","3","0","0","0","0","0","0","27","0","0","0","0","0","0","13","3","1","18"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","8307","000",,,"2018-02-21T00:00:00.000","0","0","0","3","0","3","0","0","0","0","21","0","0","0","0","0","0","10","3","0","16"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","8317","000",,,"2018-09-12T00:00:00.000","0","0","0","25","0","14","0","0","0","0","205","7","0","0","0","0","0","89","19","1","24"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","8325","000",,,"2018-09-13T00:00:00.000","0","0","0","17","0","11","0","0","0","0","226","5","0","0","0","0","0","88","17","1","31"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","8337","000",,,"2019-01-30T00:00:00.000","0","0","0","27","0","21","0","0","0","0","294","11","0","0","0","0","0","138","35","5","48"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","9301","000",,,"2019-02-20T00:00:00.000","0","0","0","17","0","21","0","0","0","0","177","4","0","0","0","0","0","74","13","0","21"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","9304","000",,,"2019-07-31T00:00:00.000","0","0","0","25","0","10","0","0","0","0","180","8","0","0","0","0","0","59","12","8","14"
"CHILD PROTECTIVE SPECIALIST","Open Competitive","52366","9308","000",,,"2019-08-01T00:00:00.000","0","0","0","20","0","5","0","0","0","0","209","15","0","0","0","0","0","49","20","12","0"
